CLAVE	SITIO	ORGANISMO_DE_CUENCA	ESTADO	MUNICIPIO	ACUIFERO	SUBTIPO	LONGITUD	LATITUD	PERIODO	ALC_mg/L	CALIDAD_ALC	CONDUCT_mS/cm	CALIDAD_CONDUC	SDT_mg/L	CALIDAD_SDT_ra	CALIDAD_SDT_salin	FLUORUROS_mg/L	CALIDAD_FLUO	DUR_mg/L	CALIDAD_DUR	COLI_FEC_NMP/100_mL	CALIDAD_COLI_FEC	N_NO3_mg/L	CALIDAD_N_NO3	AS_TOT_mg/L	CALIDAD_AS	CD_TOT_mg/L	CALIDAD_CD	CR_TOT_mg/L	CALIDAD_CR	HG_TOT_mg/L	CALIDAD_HG	PB_TOT_mg/L	CALIDAD_PB	MN_TOT_mg/L	CALIDAD_MN	FE_TOT_mg/L	CALIDAD_FE	SEMAFORO	CONTAMINANTES	CUMPLE_CON_ALC	CUMPLE_CON_COND	CUMPLE_CON_SDT_ra	CUMPLE_CON_SDT_salin	CUMPLE_CON_FLUO	CUMPLE_CON_DUR	CUMPLE_CON_CF	CUMPLE_CON_NO3	CUMPLE_CON_AS	CUMPLE_CON_CD	CUMPLE_CON_CR	CUMPLE_CON_HG	CUMPLE_CON_PB	CUMPLE_CON_MN	CUMPLE_CON_FE	IARC
BROTE CARMINA 3	CARMINA 3 BROTE	RÍO BRAVO	COAHUILA DE ZARAGOZA	ACUÑA 	PRESA LA AMISTAD	BROTE	-101.07538	29.44255	2022	139.7	Media	884	Permisible para riego	562.4	Cultivos sensibles	Potable - Dulce	0.82	Potable - Optima	505.8	Muy dura e indeseable usos industrial y domestico	97	Buena calidad	0.591	Potable - Excelente	<0.01	Potable - Excelente	<0.003	Potable - Excelente	<0.005	Potable - Excelente	<0.0005	Potable - Excelente	<0.005	Potable - Excelente	0.032	Potable - Excelente	<0.025	Potable - Excelente	Amarillo	DT,	SI	SI	SI	SI	SI	NO	SI	SI	SI	SI	SI	SI	SI	SI	SI	NC
CAZEPA-1	POZO SAN FERNANDO 1	CUENCAS CENTRALES DEL NORTE	DURANGO	LERDO	VILLA JUAREZ	POZO	-103.53551	25.50971	2022	141.3	Media	279	Buena para riego	184.6	Excelente para riego	Potable - Dulce	0.52	Media	132	Potable - Dura	<1.1	Potable - Excelente	0.317	Potable - Excelente	<0.01	Potable - Excelente	<0.003	Potable - Excelente	<0.005	Potable - Excelente	<0.0005	Potable - Excelente	<0.005	Potable - Excelente	<0.0015	Potable - Excelente	<0.025	Potable - Excelente	Verde		SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	NC
CAZEPA-10	POZO EL HUARACHE	CUENCAS CENTRALES DEL NORTE	DURANGO	LERDO	PRINCIPAL-REGION LAGUNERA	POZO	-103.49819	25.52886	2022	200	Alta	519	Buena para riego	378	Excelente para riego	Potable - Dulce	0.43	Media	230	Potable - Dura	<1.1	Potable - Excelente	3.182	Potable - Excelente	0.01	Potable - Excelente	<0.003	Potable - Excelente	<0.005	Potable - Excelente	<0.0005	Potable - Excelente	0.015	No apta como FAAP	0.025	Potable - Excelente	0.375	Sin efectos en la salud - Puede dar color al agua	Rojo	PB,FE,	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	NO	SI	NO	1
CAZEPA-11	POZO LAS AURAS	CUENCAS CENTRALES DEL NORTE	DURANGO	LERDO	PRINCIPAL-REGION LAGUNERA	POZO	-103.51438	25.54889	2022	176.8	Alta	548	Buena para riego	322	Excelente para riego	Potable - Dulce	0.5	Media	188	Potable - Dura	<1.1	Potable - Excelente	3.843	Potable - Excelente	0.021	Apta como FAAP	<0.003	Potable - Excelente	<0.005	Potable - Excelente	<0.0005	Potable - Excelente	<0.005	Potable - Excelente	0.002	Potable - Excelente	0.029	Potable - Excelente	Verde		SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	NC
CAZEPA-2	POZO SAN FERNANDO 2	CUENCAS CENTRALES DEL NORTE	DURANGO	LERDO	VILLA JUAREZ	POZO	-103.53953	25.50946	2022	168.4	Alta	378	Buena para riego	247.4	Excelente para riego	Potable - Dulce	0.55	Media	152	Potable - Dura	<1.1	Potable - Excelente	0.295	Potable - Excelente	<0.01	Potable - Excelente	<0.003	Potable - Excelente	<0.005	Potable - Excelente	<0.0005	Potable - Excelente	<0.005	Potable - Excelente	0.088	Potable - Excelente	<0.025	Potable - Excelente	Verde		SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	NC
CAZEPA-25	POZO RAYMUNDO	CUENCAS CENTRALES DEL NORTE	DURANGO	LERDO	VILLA JUAREZ	POZO	-103.54054	25.51169	2022	170.2	Alta	372	Buena para riego	242.8	Excelente para riego	Potable - Dulce	0.48	Media	162	Potable - Dura	<1.1	Potable - Excelente	0.44	Potable - Excelente	<0.01	Potable - Excelente	<0.003	Potable - Excelente	<0.005	Potable - Excelente	<0.0005	Potable - Excelente	<0.005	Potable - Excelente	0.003	Potable - Excelente	<0.025	Potable - Excelente	Verde		SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	NC
CAZEPA-3	POZO SAN FERNANDO 3	CUENCAS CENTRALES DEL NORTE	DURANGO	LERDO	VILLA JUAREZ	POZO	-103.53687	25.50951	2022	203.4	Alta	540	Buena para riego	384.4	Excelente para riego	Potable - Dulce	0.47	Media	220	Potable - Dura	<1.1	Potable - Excelente	1.748	Potable - Excelente	0.016	Apta como FAAP	<0.003	Potable - Excelente	<0.005	Potable - Excelente	<0.0005	Potable - Excelente	<0.005	Potable - Excelente	0.003	Potable - Excelente	0.051	Potable - Excelente	Verde		SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	NC
CAZEPA-4	POZO SAN FERNANDO 4	CUENCAS CENTRALES DEL NORTE	DURANGO	LERDO	VILLA JUAREZ	POZO	-103.53752	25.50777	2022	206.8	Alta	551	Buena para riego	387.8	Excelente para riego	Potable - Dulce	0.52	Media	216	Potable - Dura	<1.1	Potable - Excelente	1.058	Potable - Excelente	0.013	Apta como FAAP	<0.003	Potable - Excelente	<0.005	Potable - Excelente	<0.0005	Potable - Excelente	<0.005	Potable - Excelente	0.049	Potable - Excelente	<0.025	Potable - Excelente	Verde		SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	NC
CAZEPA-5	POZO SAN FERNANDO 5	CUENCAS CENTRALES DEL NORTE	DURANGO	LERDO	VILLA JUAREZ	POZO	-103.5385	25.50933	2022	207.9	Alta	546	Buena para riego	395.2	Excelente para riego	Potable - Dulce	0.46	Media	226	Potable - Dura	<1.1	Potable - Excelente	0.891	Potable - Excelente	0.015	Apta como FAAP	<0.003	Potable - Excelente	<0.005	Potable - Excelente	<0.0005	Potable - Excelente	<0.005	Potable - Excelente	0.009	Potable - Excelente	<0.025	Potable - Excelente	Verde		SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	NC
CAZEPA-7	POZO SAN FERNANDO 7	CUENCAS CENTRALES DEL NORTE	DURANGO	LERDO	VILLA JUAREZ	POZO	-103.53713	25.50861	2022	203.4	Alta	532	Buena para riego	378.8	Excelente para riego	Potable - Dulce	0.46	Media	220	Potable - Dura	<1.1	Potable - Excelente	1.21	Potable - Excelente	0.011	Apta como FAAP	<0.003	Potable - Excelente	<0.005	Potable - Excelente	<0.0005	Potable - Excelente	<0.005	Potable - Excelente	<0.0015	Potable - Excelente	<0.025	Potable - Excelente	Verde		SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	NC
