_id,cas,iarc,name
64f656e0145188be35837cfb,100-00-5,2B,4-Chloronitrobenzene
64f656e0145188be35837cfc,100-17-4,2B,para-Nitroanisole
64f656e0145188be35837cfd,100-40-3,2B,4-Vinylcyclohexene
64f656e0145188be35837cfe,100-41-4,2B,Ethylbenzene
64f656e0145188be35837cff,100-42-5,2A,Styrene
64f656e0145188be35837d00,100-44-7,2A,"alpha-Chlorinated toluenes (benzal chloride, benzotrichloride, benzyl chloride) and benzoyl chloride (combined exposures)"
64f656e0145188be35837d01,100-75-4,2B,N-Nitrosopiperidine
64f656e0145188be35837d02,10043-92-2,1,Radon-222 and its decay products
64f656e0145188be35837d03,10048-13-2,2B,Sterigmatocystin
64f656e0145188be35837d04,10048-32-5,3,Parasorbic acid
64f656e0145188be35837d05,101-14-4,1,"4,4'-Methylenebis(2-chloroaniline) (MOCA)"
64f656e0145188be35837d06,101-21-3,3,Chloropropham
64f656e0145188be35837d07,101-25-7,3,Dinitrosopentamethylenetetramine
64f656e0145188be35837d08,101-61-1,2B,"Michler’s base [4,4´-methylenebis(N,N-dimethyl)­benzenamine]"
64f656e0145188be35837d09,101-68-8,3,"4,4'-Methylenediphenyl diisocyanate"
64f656e0145188be35837d0a,101-77-9,2B,"4,4'-Methylenedianiline"
64f656e0145188be35837d0b,101-80-4,2B,"4,4'-Diaminodiphenyl ether"
64f656e0145188be35837d0c,101-90-6,2B,Diglycidyl resorcinol ether
64f656e0145188be35837d0d,101043-37-2,2B,Microcystin-LR
64f656e0145188be35837d0e,102-50-1,3,meta-Cresidine
64f656e0145188be35837d0f,102-71-6,3,Triethanolamine
64f656e0145188be35837d10,103-03-7,3,Phenicarbazide
64f656e0145188be35837d11,103-11-7,2B,2-Ethylhexyl acrylate
64f656e0145188be35837d12,103-23-1,3,Di(2-ethylhexyl) adipate
64f656e0145188be35837d13,103-33-3,3,Azobenzene
64f656e0145188be35837d14,103-90-2,3,Paracetamol (Acetaminophen)
64f656e0145188be35837d15,10380-28-6,3,Copper 8-hydroxyquinoline
64f656e0145188be35837d16,104-94-9,3,para-Anisidine
64f656e0145188be35837d17,105-11-3,3,para-Benzoquinone dioxime
64f656e0145188be35837d18,105-55-5,3,"N,N'-Diethylthiourea"
64f656e0145188be35837d19,105-60-2,3,Caprolactam
64f656e0145188be35837d1a,105-74-8,3,Lauroyl peroxide
64f656e0145188be35837d1b,10540-29-1,1,Tamoxifen
64f656e0145188be35837d1c,105650-23-5,2B,"PhIP (2-Amino-1-methyl-6-phenylimidazo[4,5-b]pyridine)"
64f656e0145188be35837d1d,105735-71-5,2B,"3,7-Dinitrofluoranthene"
64f656e0145188be35837d1e,10595-95-6,2B,N-Nitrosomethylethylamine
64f656e0145188be35837d1f,10599-90-3,3,Chloramine
64f656e0145188be35837d20,106-46-7,2B,para-Dichlorobenzene
64f656e0145188be35837d21,106-47-8,2B,para-Chloroaniline
64f656e0145188be35837d22,106-50-3,3,para-Phenylenediamine
64f656e0145188be35837d23,106-51-4,3,para-Quinone
64f656e0145188be35837d24,106-87-6,2B,4-Vinylcyclohexene diepoxide
64f656e0145188be35837d25,106-88-7,2B,"1,2-Epoxybutane"
64f656e0145188be35837d26,106-89-8,2A,Epichlorohydrin
64f656e0145188be35837d27,106-91-2,2A,Glycidyl methacrylate
64f656e0145188be35837d28,106-93-4,2A,Ethylene dibromide
64f656e0145188be35837d29,106-94-5,2B,1-Bromopropane
64f656e0145188be35837d2a,106-99-0,1,"1,3-Butadiene"
64f656e0145188be35837d2b,107-02-8,2A,Acrolein
64f656e0145188be35837d2c,107-05-1,3,Allyl chloride
64f656e0145188be35837d2d,107-06-2,2B,"1,2-Dichloroethane"
64f656e0145188be35837d2e,107-13-1,2B,Acrylonitrile
64f656e0145188be35837d2f,107-14-2,3,Chloroacetonitrile
64f656e0145188be35837d30,107-30-2,1,Bis(chloromethyl)ether; chloromethyl methyl ether (technical-grade)
64f656e0145188be35837d31,1071-83-6,2A,Glyphosate
64f656e0145188be35837d32,1072-52-2,3,2-(1-Aziridinyl)ethanol
64f656e0145188be35837d33,108-05-4,2B,Vinyl acetate
64f656e0145188be35837d34,108-10-1,2B,Methyl isobutyl ketone
64f656e0145188be35837d35,108-30-5,3,Succinic anhydride
64f656e0145188be35837d36,108-45-2,3,meta-Phenylenediamine
64f656e0145188be35837d37,108-46-3,3,Resorcinol
64f656e0145188be35837d38,108-60-1,3,Bis(2-chloro-1-methylethyl)ether
64f656e0145188be35837d39,108-78-1,2B,Melamine
64f656e0145188be35837d3a,108-88-3,3,Toluene
64f656e0145188be35837d3b,108-94-1,3,Cyclohexanone
64f656e0145188be35837d3c,108-95-2,3,Phenol
64f656e0145188be35837d3d,108-99-6,3,β-Picoline
64f656e0145188be35837d3e,109-70-6,2B,1-Bromo-3-chloropropane
64f656e0145188be35837d3f,109-99-9,2B,Tetrahydrofuran
64f656e0145188be35837d40,110-00-9,2B,Furan
64f656e0145188be35837d41,110-57-6,3,"trans-1,4-Dichlorobutene"
64f656e0145188be35837d42,110-86-1,2B,Pyridine
64f656e0145188be35837d43,110-91-8,3,Morpholine
64f656e0145188be35837d44,11056-06-7,2B,Bleomycins
64f656e0145188be35837d45,111-42-2,2B,Diethanolamine
64f656e0145188be35837d46,111-44-4,3,Bis(2-chloroethyl)ether
64f656e0145188be35837d47,111-76-2,3,2-Butoxyethanol
64f656e0145188be35837d48,111025-46-8,2A,Pioglitazone
64f656e0145188be35837d49,111189-32-3,3,"Naphtho[1,2-b]fluoranthene"
64f656e0145188be35837d4a,1116-54-7,2B,N-Nitrosodiethanolamine
64f656e0145188be35837d4b,1120-71-4,2A,"1,3-Propane sultone"
64f656e0145188be35837d4c,1143-38-0,3,Dithranol
64f656e0145188be35837d4d,115-02-6,2B,Azaserine
64f656e0145188be35837d4e,115-07-1,3,Propylene
64f656e0145188be35837d4f,115-28-6,2B,Chlorendic acid
64f656e0145188be35837d50,115-32-2,3,Dicofol
64f656e0145188be35837d51,115-96-8,3,Tris(2-chloroethyl) phosphate
64f656e0145188be35837d52,116-06-3,3,Aldicarb
64f656e0145188be35837d53,116-14-3,2A,Tetrafluoroethylene
64f656e0145188be35837d54,1163-19-5,3,Decabromodiphenyl oxide
64f656e0145188be35837d55,116355-83-0,2B,Fumonisin B1
64f656e0145188be35837d56,117-10-2,2B,"Dantron (Chrysazin; 1,8-Dihydroxyanthraquinone)"
64f656e0145188be35837d57,117-39-5,3,Quercetin
64f656e0145188be35837d58,117-79-3,3,2-Aminoanthraquinone
64f656e0145188be35837d59,117-81-7,2B,Di(2-ethylhexyl)phthalate
64f656e0145188be35837d5a,118-74-1,2B,Hexachlorobenzene
64f656e0145188be35837d5b,118-92-3,3,Anthranilic acid
64f656e0145188be35837d5c,118-96-7,3,"2,4,6-Trinitrotoluene"
64f656e0145188be35837d5d,118399-22-7,3,Nodularins
64f656e0145188be35837d5e,119-34-6,3,4-Amino-2-nitrophenol
64f656e0145188be35837d5f,119-61-9,2B,Benzophenone
64f656e0145188be35837d60,119-90-4,2B,"3,3'-Dimethoxybenzidine (ortho-Dianisidine)"
64f656e0145188be35837d61,119-93-7,2B,"3,3'-Dimethylbenzidine (ortho-Tolidine)"
64f656e0145188be35837d62,120-12-7,2B,Anthracene
64f656e0145188be35837d63,120-58-1,3,Isosafrole
64f656e0145188be35837d64,120-71-8,2B,para-Cresidine
64f656e0145188be35837d65,120-80-9,2B,Catechol
64f656e0145188be35837d66,12001-28-4,1,"Asbestos (all forms, including actinolite, amosite, anthophyllite, chrysotile, crocidolite, tremolite)"
64f656e0145188be35837d67,12001-29-5,1,"Asbestos (all forms, including actinolite, amosite, anthophyllite, chrysotile, crocidolite, tremolite)"
64f656e0145188be35837d68,12001-79-5,3,Vitamin K substances
64f656e0145188be35837d69,12070-12-1,2A,Cobalt metal with tungsten carbide
64f656e0145188be35837d6a,121-14-2,2B,"2,4-Dinitrotoluene"
64f656e0145188be35837d6b,121-66-4,3,2-Amino-5-nitrothiazole
64f656e0145188be35837d6c,121-69-7,3,"N,N-Dimethylaniline"
64f656e0145188be35837d6d,121-73-3,3,3-Chloronitrobenzene
64f656e0145188be35837d6e,121-75-5,2A,Malathion
