_id,cas,grupo,iarc,silentsprint,ssi_nombre,ssi_url,sustancia
65bd5c5f7d2fe1563734df9e,76-13-1,Sustancias Agotadoras de la Capa de Ozono,No aparece en el listado,No aparece en el listado,No aplica,No aplica,"1,1,2-Tricloro-1.2.2-Trifluoroetano (CFC-113)"
65bd5c5f7d2fe1563734df9f,75-01-4,Sustancias Organohalogenadas,1,Industrial chemicals,vinyl chloride,http://sciencereview.silentspring.org/mamm_detail.cfm?cid=75-01-4,Cloruro de vinilo
65bd5c5f7d2fe1563734dfa0,PFCs,Gases de Efecto Invernadero (GEI),No aparece en el listado,No aparece en el listado,No aplica,No aplica,Perfluorocarbonos
65bd5c5f7d2fe1563734dfa1,HFCs,Gases de Efecto Invernadero (GEI),No aparece en el listado,No aparece en el listado,No aplica,No aplica,Hidrofluorocarbonos
65bd5c5f7d2fe1563734dfa2,87-68-3,Sustancias Organohalogenadas,3,No aparece en el listado,No aplica,No aplica,"Hexacloro-1,3-Butadieno"
65bd5c5f7d2fe1563734dfa3,S/C1,Metales y sus Compuestos,No aparece en el listado,No aparece en el listado,No aplica,No aplica,Arsénico (compuestos)
65bd5c5f7d2fe1563734dfa4,Pb,Metales y sus Compuestos,No aparece en el listado,No aparece en el listado,No aplica,No aplica,Plomo (compuestos)
65bd5c5f7d2fe1563734dfa5,1717-00-6,Sustancias Agotadoras de la Capa de Ozono,No aparece en el listado,No aparece en el listado,No aplica,No aplica,"1,1-Dicloro-1-Fluoroetano (HCFC-141b)"
65bd5c5f7d2fe1563734dfa6,58-89-9,Plaguicidas,1,No aparece en el listado,No aplica,No aplica,Lindano (HCH)
65bd5c5f7d2fe1563734dfa7,7440-47-3,Metales y sus Compuestos,3,No aparece en el listado,No aplica,No aplica,"Cromo (polvos respirables, humos o vapores)"
65bd5c5f7d2fe1563734dfa8,83-32-9,,3,No aparece en el listado,No aplica,No aplica,Acenafteno
65bd5c5f7d2fe1563734dfa9,108-90-7,Sustancias Organohalogenadas,No aparece en el listado,No aparece en el listado,No aplica,No aplica,Clorobenceno (monoclorobenceno)
65bd5c5f7d2fe1563734dfaa,124-38-9,Gases de Efecto Invernadero (GEI),No aparece en el listado,No aparece en el listado,No aplica,No aplica,Bióxido de carbono
65bd5c5f7d2fe1563734dfab,138261-41-3,,No aparece en el listado,No aparece en el listado,No aplica,No aplica,Imidacloprid
65bd5c5f7d2fe1563734dfac,74-83-9,Sustancias Agotadoras de la Capa de Ozono,3,No aparece en el listado,No aplica,No aplica,Bromuro de metilo
65bd5c5f7d2fe1563734dfad,87-86-5,Sustancias Organohalogenadas,1,No aparece en el listado,No aplica,No aplica,Pentaclorofenol
65bd5c5f7d2fe1563734dfae,101-14-4,,1,Industrial chemicals,"4,4 '-methylene-bis(2-chloroaniline)",http://sciencereview.silentspring.org/mamm_detail.cfm?cid=101-14-4,"4,4'metileno-bis (2-cloroanilina) (MBOCA)"
65bd5c5f7d2fe1563734dfaf,71-55-6,Sustancias Agotadoras de la Capa de Ozono,2A,No aparece en el listado,No aplica,No aplica,"1,1,1-Tricloroetano"
65bd5c5f7d2fe1563734dfb0,5124-30-1,Sustancias Agotadoras de la Capa de Ozono,No aparece en el listado,No aparece en el listado,No aplica,No aplica,"1,1-metileno bis(4-isocianato de ciclohexano)"
65bd5c5f7d2fe1563734dfb1,76-15-3,Sustancias Agotadoras de la Capa de Ozono,No aparece en el listado,No aparece en el listado,No aplica,No aplica,Cloropentafluoroetano (CFC-115)
65bd5c5f7d2fe1563734dfb2,S/C4,Metales y sus Compuestos,No aparece en el listado,No aparece en el listado,No aplica,No aplica,Mercurio (compuestos)
65bd5c5f7d2fe1563734dfb3,88-06-2,Sustancias Organohalogenadas,2B,No aparece en el listado,No aplica,No aplica,"2,4,6-Triclorofenol"
65bd5c5f7d2fe1563734dfb4,26628-22-8,,No aparece en el listado,No aparece en el listado,No aplica,No aplica,Azida de sodio
65bd5c5f7d2fe1563734dfb5,100-42-5,Hidrocarburos Aromáticos y Alifáticos,2A,Industrial chemicals,styrene,http://sciencereview.silentspring.org/mamm_detail.cfm?cid=100-42-5,Estireno (fenil etileno)
