"NRA"	"Nombre"	"Estado"	"Sector"	"Descripción"	"No. CAS"	"Unidad"	"Aire"	"Agua"	"Suelo"	"Reuso"	"Reciclado"	"Coprocesamiento"	"Tratamiento"	"Disposición final"	"Alcantarillado"	"Otros"	"Incineración"
"AADEA1500211"	"TALLER DE REHABILITACIÓN DE TAMBORES AMADOR DÍAZ BONIFACIO"	"MEXICO"	"Servicios de apoyo a los negocios, manejo de residuos peligrosos (no incluye tratamiento) y servicios de remediación"	"Mercurio (compuestos)"	"S/C4"	"ton/año"		0.00000000129									
"AADEA1500211"	"TALLER DE REHABILITACIÓN DE TAMBORES AMADOR DÍAZ BONIFACIO"	"MEXICO"	"Servicios de apoyo a los negocios, manejo de residuos peligrosos (no incluye tratamiento) y servicios de remediación"	"Cianuro inorgánico/orgánico"	"57-12-5"	"ton/año"		0.00000000132									
"AADEA1500211"	"TALLER DE REHABILITACIÓN DE TAMBORES AMADOR DÍAZ BONIFACIO"	"MEXICO"	"Servicios de apoyo a los negocios, manejo de residuos peligrosos (no incluye tratamiento) y servicios de remediación"	"Arsénico"	"7440-38-2"	"ton/año"		0.00000000012									
"AAG8A1403911"	"ALVARADO GARCIA JESUS"	"JALISCO"	"Quimica"	"Cianuro inorgánico/orgánico"	"57-12-5"	"ton/año"		0.00000138									
"AAG8A1403911"	"ALVARADO GARCIA JESUS"	"JALISCO"	"Quimica"	"Mercurio (compuestos)"	"S/C4"	"ton/año"		0.00000126									
"AAG8A1403911"	"ALVARADO GARCIA JESUS"	"JALISCO"	"Quimica"	"Arsénico"	"7440-38-2"	"ton/año"		0.00000246									
"AAGND0100511"	"ALAN DE AGUASCALIENTES S.A. DE C.V."	"AGUASCALIENTES"	"Metalurgica (incluye la siderurgica) "	"Cianuro inorgánico/orgánico"	"57-12-5"	"ton/año"		0.0000675							0.0000675		
"AAGND0100511"	"ALAN DE AGUASCALIENTES S.A. DE C.V."	"AGUASCALIENTES"	"Metalurgica (incluye la siderurgica) "	"Mercurio"	"7439-97-6"	"ton/año"									0.000000297		
"AAGND0100511"	"ALAN DE AGUASCALIENTES S.A. DE C.V."	"AGUASCALIENTES"	"Metalurgica (incluye la siderurgica) "	"Arsénico"	"7440-38-2"	"ton/año"		0.000003132							0.000003132		
"AAGND0100511"	"ALAN DE AGUASCALIENTES S.A. DE C.V."	"AGUASCALIENTES"	"Metalurgica (incluye la siderurgica) "	"Mercurio (compuestos)"	"S/C4"	"ton/año"		0.000000297									
"AAL7Q1510911"	"AZINSA ALUMINIO S.A. DE C.V."	"MEXICO"	"Metalurgica (incluye la siderurgica) "	"Arsénico"	"7440-38-2"	"ton/año"		0.000000001863									
"AAL7Q1510911"	"AZINSA ALUMINIO S.A. DE C.V."	"MEXICO"	"Metalurgica (incluye la siderurgica) "	"Cianuro inorgánico/orgánico"	"57-12-5"	"ton/año"		0.002									
"AAL7Q1510911"	"AZINSA ALUMINIO S.A. DE C.V."	"MEXICO"	"Metalurgica (incluye la siderurgica) "	"Mercurio (compuestos)"	"S/C4"	"ton/año"		0.000000001863									
"AAL7Q1510911"	"AZINSA ALUMINIO S.A. DE C.V."	"MEXICO"	"Metalurgica (incluye la siderurgica) "	"Plomo (compuestos)"	"S/C6"	"ton/año"		0.018									
"AAMEA1503911"	"ACEROS AMERICA S.A. DE C.V."	"MEXICO"	"Metalurgica (incluye la siderurgica) "	"Bióxido de carbono"	"124-38-9"	"ton/año"	20123										
"AAMRP1103711"	"AMERICAN AXLE & MANUFACTURING DE MEXICO S. DE R.L. DE C.V."	"GUANAJUATO"	"Automotriz "	"Bióxido de carbono"	"124-38-9"	"ton/año"	8585.447										
"AAMRP1103711"	"AMERICAN AXLE & MANUFACTURING DE MEXICO S. DE R.L. DE C.V."	"GUANAJUATO"	"Automotriz "	"Cianuro inorgánico/orgánico"	"57-12-5"	"ton/año"		0.01									
