"NRA"	"NOMBRE"	"SECTOR"	"ESTADO"	"MUNICIPIO"	"CAS"	"SUSTANCIA"	"UNIDAD"	"AIRE"	"AGUA"	"SUELO"	"REUTILIZACIÓN"	"RECICLADO"	"COPROCESAMIENTO"	"TRATAMIENTO"	"DISPOSICIÓN
FINAL"	"ALCANTARILLADO"	"INCINERACIÓN"	"OTROS"
"AAGKE1700711"	"AUTOMOTRIZ Y AGRICOLA S.A. DE C.V."	"Otros"	"MORELOS"	"Cuernavaca"	"57-12-5"	"Cianuro inorgánico/orgánico"	"kg"	0	0	0.00239157	0	0	0	0	0	0	0	0
"AAGKE1700711"	"AUTOMOTRIZ Y AGRICOLA S.A. DE C.V."	"Otros"	"MORELOS"	"Cuernavaca"	"S/C1"	"Arsénico (compuestos)"	"kg"	0	0	0.0006696396	0	0	0	0	0	0	0	0
"AAGKE1700711"	"AUTOMOTRIZ Y AGRICOLA S.A. DE C.V."	"Otros"	"MORELOS"	"Cuernavaca"	"S/C2"	"Cadmio (compuestos)"	"kg"	0	0	0.0421394634	0	0	0	0	0	0	0	0
"AAGKE1700711"	"AUTOMOTRIZ Y AGRICOLA S.A. DE C.V."	"Otros"	"MORELOS"	"Cuernavaca"	"S/C3"	"Cromo (compuestos)"	"kg"	0	0	0.1528691544	0	0	0	0	0	0	0	0
"AAGKE1700711"	"AUTOMOTRIZ Y AGRICOLA S.A. DE C.V."	"Otros"	"MORELOS"	"Cuernavaca"	"S/C4"	"Mercurio (compuestos)"	"kg"	0	0	0.0013392792	0	0	0	0	0	0	0	0
"AAGKE1700711"	"AUTOMOTRIZ Y AGRICOLA S.A. DE C.V."	"Otros"	"MORELOS"	"Cuernavaca"	"S/C5"	"Níquel (compuestos)"	"kg"	0	0	0.2393004942	0	0	0	0	0	0	0	0
"AAGKE1700711"	"AUTOMOTRIZ Y AGRICOLA S.A. DE C.V."	"Otros"	"MORELOS"	"Cuernavaca"	"S/C6"	"Plomo (compuestos)"	"kg"	0	0	0.2407832676	0	0	0	0	0	0	0	0
"AAGND0100511"	"ALAN DE AGUASCALIENTES S.A. DE C.V."	"Metalurgica (incluye la siderurgica)"	"AGUASCALIENTES"	"Jesus Maria"	"S/C5"	"Níquel (compuestos)"	"kg"	0	0	0	0	0	0	0	0	0.0528	0	0
"AAGND0100511"	"ALAN DE AGUASCALIENTES S.A. DE C.V."	"Metalurgica (incluye la siderurgica)"	"AGUASCALIENTES"	"Jesus Maria"	"S/C4"	"Mercurio (compuestos)"	"kg"	0	0	0	0	0	0	0	0	0.00009504	0	0
"AAGND0100511"	"ALAN DE AGUASCALIENTES S.A. DE C.V."	"Metalurgica (incluye la siderurgica)"	"AGUASCALIENTES"	"Jesus Maria"	"S/C3"	"Cromo (compuestos)"	"kg"	0	0	0	0	0	0	0	0	0.001056	0	0
"AAGND0100511"	"ALAN DE AGUASCALIENTES S.A. DE C.V."	"Metalurgica (incluye la siderurgica)"	"AGUASCALIENTES"	"Jesus Maria"	"S/C2"	"Cadmio (compuestos)"	"kg"	0	0	0	0	0	0	0	0	0.01056	0	0
"AAGND0100511"	"ALAN DE AGUASCALIENTES S.A. DE C.V."	"Metalurgica (incluye la siderurgica)"	"AGUASCALIENTES"	"Jesus Maria"	"S/C1"	"Arsénico (compuestos)"	"kg"	0	0	0	0	0	0	0	0	0.0011616	0	0
"AAGND0100511"	"ALAN DE AGUASCALIENTES S.A. DE C.V."	"Metalurgica (incluye la siderurgica)"	"AGUASCALIENTES"	"Jesus Maria"	"57-12-5"	"Cianuro inorgánico/orgánico"	"kg"	0	0	0	0	0	0	0	0	0.0020064	0	0
"AAGND0100511"	"ALAN DE AGUASCALIENTES S.A. DE C.V."	"Metalurgica (incluye la siderurgica)"	"AGUASCALIENTES"	"Jesus Maria"	"S/C6"	"Plomo (compuestos)"	"kg"	0	0	0	0	0	0	0	0	0.0528	0	0
"AAGND0100511"	"ALAN DE AGUASCALIENTES S.A. DE C.V."	"Metalurgica (incluye la siderurgica)"	"AGUASCALIENTES"	"Jesus Maria"	"124-38-9"	"Bióxido de carbono"	"ton"	0.0103	0	0	0	0	0	0	0	0	0	0
