"NRA"	"Establecimiento"	"Sector"	"Entidad Federativa"	"Municipio"	"Grupo Sustancia"	"Sustancia"	"CAS"	"Unidad"	"Aire"	"Agua"	"Suelo"	"Reutilización"	"Reciclado"	"Coprocesamiento"	"Tratamiento"	"Disposición Final"	"Alcantarillado"	"Incineración"	"Otro"
"AACL71200111"	"AEROPUERTO DE ACAPULCO, S.A. DE C.V."	"Otros"	"GUERRERO"	"Acapulco de Juarez"	"Otros"	"Cianuro inorgánico/orgánico"	"57-12-5"	"kg/año"			0.000182903								
"AACL71200111"	"AEROPUERTO DE ACAPULCO, S.A. DE C.V."	"Otros"	"GUERRERO"	"Acapulco de Juarez"	"Metales"	"Mercurio"	"7439-97-6"	"kg/año"			0.0000365806								
"AACL71200111"	"AEROPUERTO DE ACAPULCO, S.A. DE C.V."	"Otros"	"GUERRERO"	"Acapulco de Juarez"	"Metales"	"Arsénico"	"7440-38-2"	"kg/año"			0.00034019958								
"AACL71200111"	"AEROPUERTO DE ACAPULCO, S.A. DE C.V."	"Otros"	"GUERRERO"	"Acapulco de Juarez"	"Metales"	"Cadmio"	"7440-43-9"	"kg/año"			0.000731612								
"AACL71200111"	"AEROPUERTO DE ACAPULCO, S.A. DE C.V."	"Otros"	"GUERRERO"	"Acapulco de Juarez"	"Metales"	"Cromo (compuestos)"	"S/C3"	"kg/año"			0.00182903								
"AACL71200111"	"AEROPUERTO DE ACAPULCO, S.A. DE C.V."	"Otros"	"GUERRERO"	"Acapulco de Juarez"	"Metales"	"Níquel (compuestos)"	"S/C5"	"kg/año"			0.002194836								
"AACL71200111"	"AEROPUERTO DE ACAPULCO, S.A. DE C.V."	"Otros"	"GUERRERO"	"Acapulco de Juarez"	"Metales"	"Plomo (compuestos)"	"S/C6"	"kg/año"			0.00365806								
"AAGKE1700711"	"AUTOMOTRIZ Y AGRICOLA S.A DE C.V"	"Otros"	"MORELOS"	"Cuernavaca"	"Otros"	"Cianuro inorgánico/orgánico"	"57-12-5"	"kg/año"		0.05552									
"AAGKE1700711"	"AUTOMOTRIZ Y AGRICOLA S.A DE C.V"	"Otros"	"MORELOS"	"Cuernavaca"	"Metales"	"Mercurio"	"7439-97-6"	"kg/año"		0.0016656									
"AAGKE1700711"	"AUTOMOTRIZ Y AGRICOLA S.A DE C.V"	"Otros"	"MORELOS"	"Cuernavaca"	"Metales"	"Arsénico"	"7440-38-2"	"kg/año"		0.0049968									
"AAGKE1700711"	"AUTOMOTRIZ Y AGRICOLA S.A DE C.V"	"Otros"	"MORELOS"	"Cuernavaca"	"Metales"	"Cadmio"	"7440-43-9"	"kg/año"		0.019432									
"AAGKE1700711"	"AUTOMOTRIZ Y AGRICOLA S.A DE C.V"	"Otros"	"MORELOS"	"Cuernavaca"	"Metales"	"Cromo (compuestos)"	"S/C3"	"kg/año"		0.11104									
"AAGKE1700711"	"AUTOMOTRIZ Y AGRICOLA S.A DE C.V"	"Otros"	"MORELOS"	"Cuernavaca"	"Metales"	"Níquel (compuestos)"	"S/C5"	"kg/año"		0.11104									
"AAGKE1700711"	"AUTOMOTRIZ Y AGRICOLA S.A DE C.V"	"Otros"	"MORELOS"	"Cuernavaca"	"Metales"	"Plomo (compuestos)"	"S/C6"	"kg/año"		0.19432									
"AAGND0100511"	"ALAN DE AGUASCALIENTES S.A. DE C.V."	"Metalurgica (incluye la siderurgica)"	"AGUASCALIENTES"	"Jesus Maria"	"Gases de Efecto Invernadero"	"Bióxido de carbono"	"124-38-9"	"ton/año"	0.009502296										
"AAGND0100511"	"ALAN DE AGUASCALIENTES S.A. DE C.V."	"Metalurgica (incluye la siderurgica)"	"AGUASCALIENTES"	"Jesus Maria"	"Otros"	"Cianuro inorgánico/orgánico"	"57-12-5"	"kg/año"									0.008208		
"AAGND0100511"	"ALAN DE AGUASCALIENTES S.A. DE C.V."	"Metalurgica (incluye la siderurgica)"	"AGUASCALIENTES"	"Jesus Maria"	"Metales"	"Arsénico (compuestos)"	"S/C1"	"kg/año"									0.004752		
"AAGND0100511"	"ALAN DE AGUASCALIENTES S.A. DE C.V."	"Metalurgica (incluye la siderurgica)"	"AGUASCALIENTES"	"Jesus Maria"	"Metales"	"Cadmio (compuestos)"	"S/C2"	"kg/año"									0.0432		
"AAGND0100511"	"ALAN DE AGUASCALIENTES S.A. DE C.V."	"Metalurgica (incluye la siderurgica)"	"AGUASCALIENTES"	"Jesus Maria"	"Metales"	"Cromo (compuestos)"	"S/C3"	"kg/año"									0.00432		
"AAGND0100511"	"ALAN DE AGUASCALIENTES S.A. DE C.V."	"Metalurgica (incluye la siderurgica)"	"AGUASCALIENTES"	"Jesus Maria"	"Metales"	"Mercurio (compuestos)"	"S/C4"	"kg/año"									0.0003888		
