"NRA"	"NOMBRE"	"SECTOR"	"ESTADO"	"MUNICIPIO"	"CAS"	"SUSTANCIA"	"UNIDAD"	"AIRE"	"AGUA"	"SUELO"	"REUTILIZACIÓN"	"RECICLADO"	"COPROCESAMIENTO"	"TRATAMIENTO"	"DISPOSICIÓN
FINAL"	"ALCANTARILLADO"	"INCINERACIÓN"	"OTROS"
"AMEMC1605311"	"AAK MEXICO S.A. DE C.V.,AAK MÉXICO"	"Quimica"	"MICHOACAN"	"Morelia"	"124-38-9"	"Bióxido de carbono"	"Kg"	35467800	0	0	0	0	0	0	0	0	0	0
"AMEMC1605311"	"AAK MEXICO S.A. DE C.V.,AAK MÉXICO"	"Quimica"	"MICHOACAN"	"Morelia"	"Cd"	"Cadmio (compuestos)"	"Kg"	0	0	0	0	0	0	0	0	5.8485	0	0
"AMEMC1605311"	"AAK MEXICO S.A. DE C.V.,AAK MÉXICO"	"Quimica"	"MICHOACAN"	"Morelia"	"Cr"	"Cromo (compuestos)"	"Kg"	0	0	0	0	0	0	0	0	14.4751	0	0
"AMEMC1605311"	"AAK MEXICO S.A. DE C.V.,AAK MÉXICO"	"Quimica"	"MICHOACAN"	"Morelia"	"Ni"	"Níquel (compuestos)"	"Kg"	0	0	0	0	0	0	0	0	73.8376	0	0
"AMEMC1605311"	"AAK MEXICO S.A. DE C.V.,AAK MÉXICO"	"Quimica"	"MICHOACAN"	"Morelia"	"Pb"	"Plomo (compuestos)"	"Kg"	0	0	0	0	0	0	0	0	23.1017	0	0
"AMM1103700160"	"AAM MAQUILADORA MEXICO S DE RL DE CV,PLANTA 6"	"Automotriz"	"GUANAJUATO"	"Silao"	"124-38-9"	"Bióxido de carbono"	"Kg"	1260980	0	0	0	0	0	0	0	0	0	0
"ACABF2102111"	"AB CALSA S.A. DE C.V.,"	"Alimenticio y/o de consumo humano"	"PUEBLA"	"Atzala"	"Cr"	"Cromo (compuestos)"	"Kg"	0	4.2717	0	0	0	0	0	0	0	0	0
"ACABF2102111"	"AB CALSA S.A. DE C.V.,"	"Alimenticio y/o de consumo humano"	"PUEBLA"	"Atzala"	"Ni"	"Níquel (compuestos)"	"Kg"	0	3.3789	0	0	0	0	0	0	0	0	0
"ACABF2102111"	"AB CALSA S.A. DE C.V.,"	"Alimenticio y/o de consumo humano"	"PUEBLA"	"Atzala"	"Pb"	"Plomo (compuestos)"	"Kg"	0	1.7332	0	0	0	0	0	0	0	0	0
"ACAS73005311"	"AB CALSA S.A. DE C.V.,"	"Alimenticio y/o de consumo humano"	"VERACRUZ"	"Cuitlahuac"	"As"	"Arsénico (compuestos)"	"Kg"	0	0	0	0	0	0	0	0	0	0	4.8317
"ACAS73005311"	"AB CALSA S.A. DE C.V.,"	"Alimenticio y/o de consumo humano"	"VERACRUZ"	"Cuitlahuac"	"124-38-9"	"Bióxido de carbono"	"Kg"	120213516	0	0	0	0	0	0	0	0	0	0
"ACAS73005311"	"AB CALSA S.A. DE C.V.,"	"Alimenticio y/o de consumo humano"	"VERACRUZ"	"Cuitlahuac"	"Cd"	"Cadmio (compuestos)"	"Kg"	0	0	0	0	0	0	0	0	0	0	60.3958
"ACAS73005311"	"AB CALSA S.A. DE C.V.,"	"Alimenticio y/o de consumo humano"	"VERACRUZ"	"Cuitlahuac"	"Cr"	"Cromo (compuestos)"	"Kg"	0	0	0	0	0	0	0	0	0	0	362.3748
"ACAS73005311"	"AB CALSA S.A. DE C.V.,"	"Alimenticio y/o de consumo humano"	"VERACRUZ"	"Cuitlahuac"	"Hg"	"Mercurio (compuestos)"	"Kg"	0	0	0	0	0	0	0	0	0	0	6.0396
"ACAS73005311"	"AB CALSA S.A. DE C.V.,"	"Alimenticio y/o de consumo humano"	"VERACRUZ"	"Cuitlahuac"	"Ni"	"Níquel (compuestos)"	"Kg"	0	0	0	0	0	0	0	0	0	0	1207.916
"ACAS73005311"	"AB CALSA S.A. DE C.V.,"	"Alimenticio y/o de consumo humano"	"VERACRUZ"	"Cuitlahuac"	"Pb"	"Plomo (compuestos)"	"Kg"	0	0	0	0	0	0	0	0	0	0	181.1874
"TBM911902611"	"ABB INSTALLATION PRODUCTS MONTERREY, S. DE R.L. DE C.V., PTA. BLACKBURN,"	"Articulos y productos metalicos"	"NUEVO LEON"	"Guadalupe"	"124-38-9"	"Bióxido de carbono"	"Kg"	6992220	0	0	0	0	0	0	0	0	0	0
"TBM1900600314"	"ABB INSTALLATION PRODUCTS MONTRREY, DE R.L. DE C.V. PLANTA APODACA,"	"Articulos y productos plasticos"	"NUEVO LEON"	"Apodaca"	"7439-92-1"	"Plomo (polvos respirables, humos o vapores)"	"Kg"	0	0	0	0	730.8	0	0	0	0	0	0
"T&B1902600103"	"ABB INSTALLATION PRODUCTS PROCESOS DE MANUFACTURA, S. DE R.L. DE C.V.,"	"Metalurgica (incluye la siderurgica)"	"NUEVO LEON"	"Guadalupe"	"124-38-9"	"Bióxido de carbono"	"Kg"	590077.3	0	0	0	0	0	0	0	0	0	0
"AME912402811"	"ABB MEXICO  S.A DE C.V.,"	"Equipos y articulos electronicos, electricos y domesticos"	"SAN LUIS POTOSI"	"San Luis Potosi"	"2551-62-4"	"Hexafluoruro de azufre"	"Kg"	3.44	0	0	0	0	0	0	0	0	0	0
"ALM5T0900322"	"ABBOTT LABORATORIES DE MEXICO SA DE CV,"	"Quimica"	"DISTRITO FEDERAL"	"Coyoacan"	"124-38-9"	"Bióxido de carbono"	"Kg"	12779665.19	0	0	0	0	0	0	0	0	0	0
"AIM2201600336"	"ABC INOAC DE MEXICO S.A. DE C.V.,ABC INOAC DE MÉXICO, S.A. DE C.V."	"Automotriz"	"QUERETARO"	"San Juan del Rio"	"124-38-9"	"Bióxido de carbono"	"Kg"	4031890.53	0	0	0	0	0	0	0	0	0	0
"ATX2700400508"	"ABENT 3T S.A.P.I DE C.V,ABENT 3T"	"Generación de energia electrica"	"TABASCO"	"Centro"	"As"	"Arsénico (compuestos)"	"Kg"	0	1.1115	0.0394	0	0	0	0	0	0	0	0
"ATX2700400508"	"ABENT 3T S.A.P.I DE C.V,ABENT 3T"	"Generación de energia electrica"	"TABASCO"	"Centro"	"124-38-9"	"Bióxido de carbono"	"Kg"	600353943.635196	0	0	0	0	0	0	0	0	0	0
"ATX2700400508"	"ABENT 3T S.A.P.I DE C.V,ABENT 3T"	"Generación de energia electrica"	"TABASCO"	"Centro"	"Cd"	"Cadmio (compuestos)"	"Kg"	0	1.1115	0.0394	0	0	0	0	0	0	0	0
"ATX2700400508"	"ABENT 3T S.A.P.I DE C.V,ABENT 3T"	"Generación de energia electrica"	"TABASCO"	"Centro"	"Cr"	"Cromo (compuestos)"	"Kg"	0	1.2042	0.0394	0	0	0	0	0	0	0	0
"ATX2700400508"	"ABENT 3T S.A.P.I DE C.V,ABENT 3T"	"Generación de energia electrica"	"TABASCO"	"Centro"	"Ni"	"Níquel (compuestos)"	"Kg"	0	1.1115	0.0394	0	0	0	0	0	0	0	0
"ATX2700400508"	"ABENT 3T S.A.P.I DE C.V,ABENT 3T"	"Generación de energia electrica"	"TABASCO"	"Centro"	"Pb"	"Plomo (compuestos)"	"Kg"	0	1.1115	0.0394	0	0	0	0	0	0	0	0
"ABI861900611"	"ABINSA SA DE CV,ABINSA S.A DE C.V. AB STEEL PLANTA PUEBLO NUEVO"	"Metalurgica (incluye la siderurgica)"	"NUEVO LEON"	"Apodaca"	"Cr"	"Cromo (compuestos)"	"Kg"	0	0	0	0	0	0	0	0	1.974	0	0
"ABI861900611"	"ABINSA SA DE CV,ABINSA S.A DE C.V. AB STEEL PLANTA PUEBLO NUEVO"	"Metalurgica (incluye la siderurgica)"	"NUEVO LEON"	"Apodaca"	"Ni"	"Níquel (compuestos)"	"Kg"	0	0	0	0	0	0	0	0	3.948	0	0
"ABI861900611"	"ABINSA SA DE CV,ABINSA S.A DE C.V. AB STEEL PLANTA PUEBLO NUEVO"	"Metalurgica (incluye la siderurgica)"	"NUEVO LEON"	"Apodaca"	"Pb"	"Plomo (compuestos)"	"Kg"	0	0	0	0	0	0	0	0	3.948	0	0
"IPG562800312"	"ABSORMEX CMPC TISSUE SA DE CV,ABSORMEX S.A. DE C.V."	"Celulosa y papel"	"TAMAULIPAS"	"Altamira"	"124-38-9"	"Bióxido de carbono"	"Kg"	65548911.851	0	0	0	0	0	0	0	0	0	0
"IPG562800312"	"ABSORMEX CMPC TISSUE SA DE CV,ABSORMEX S.A. DE C.V."	"Celulosa y papel"	"TAMAULIPAS"	"Altamira"	"Cd"	"Cadmio (compuestos)"	"Kg"	0	96.0724	0	0	0	0	0	0	0	0	0
"IPG562800312"	"ABSORMEX CMPC TISSUE SA DE CV,ABSORMEX S.A. DE C.V."	"Celulosa y papel"	"TAMAULIPAS"	"Altamira"	"Cr"	"Cromo (compuestos)"	"Kg"	0	548.1276	0	0	0	0	0	0	0	0	0
"IPG562800312"	"ABSORMEX CMPC TISSUE SA DE CV,ABSORMEX S.A. DE C.V."	"Celulosa y papel"	"TAMAULIPAS"	"Altamira"	"7439-97-6"	"Mercurio"	"Kg"	0	0	0	0	0	0	0	3.66	0	0	0
"IPG562800312"	"ABSORMEX CMPC TISSUE SA DE CV,ABSORMEX S.A. DE C.V."	"Celulosa y papel"	"TAMAULIPAS"	"Altamira"	"Hg"	"Mercurio (compuestos)"	"Kg"	0	9.6072	0	0	0	0	0	0	0	0	0
