"NRA"	"Nombre"	"Sector"	"Actividad principal SEMARNAT"	"Actividad principal"	"Coordenada UTM X"	"Coordenada UTM Y"	"Latitud Norte"	"Longitud Oeste"	"Estado"	"Delegación\Municipio"	"Calle"	"No. Exterior"	"No. Interior"	"Entre calle 1"	"Entre calle 2"	"Colonia"	"Localidad"	"Parque o puerto industrial"	"Código postal"
"AADEA1500211"	"TALLER DE REHABILITACIÓN DE TAMBORES AMADOR DÍAZ BONIFACIO"	"Servicios de apoyo a los negocios, manejo de residuos peligrosos (no incluye tratamiento) y servicios de remediación"	"Autorizacion para el reciclaje de residuos peligrosos"	"REHABILITACIÓN DE TAMBORES"	0	0	"19°36'58"""	"-98°55'59"""	"MEXICO"	"Acolman"	"AVENIDA DE LAS GRANJAS"	"SN"				"TEPEXPAN"	"TEPEXPAN"		55885
"AAG8A1403911"	"ALVARADO GARCIA JESUS"	"Quimica"	"Galvanoplastia"	"GALVANOPLASTIA (EN PIEZAS METÁLICAS; NO INCLUYE JOYERÍA)."	0	0	20.64233	-103.34879	"JALISCO"	"Guadalajara"	"CALLE 10 A"	2083		"CALLE 9"	"CALLE 11"	"FERROCARRIL"	"GUADALAJARA"	"GUADALAJARA ZONA MIXTA"	44440
"AAGND0100511"	"ALAN DE AGUASCALIENTES S.A. DE C.V."	"Metalurgica (incluye la siderurgica) "	"Fundicion y moldeo de piezas de metales no ferrosos"	"FUNDICIÓN Y MOLDEO DE PIEZAS DE METALES NO FERROSOS."	1961282	2710708	21.95113	-102.32801	"AGUASCALIENTES"	"Jesus Maria"	"AVENIDA GUADALUPE"	224		"NARANJO"	"INDEPENDENCIA"	"MARAVILLAS"	"MARAVILLAS"		20900
"AAL7Q1510911"	"AZINSA ALUMINIO S.A. DE C.V."	"Metalurgica (incluye la siderurgica) "	"Afinacion y laminacion de aluminio"	"LAMINACION DE ALUMINIO (INCLUYE FUNDICION EXTRUSION O ESTIRAJE)."	0	0	19.64103	-99.1526	"MEXICO"	"Tultitlan"	"AV. DOS PASANDO POR UN VERIFICENTRO"	4	4	"AV. UNO"	"VIA LOPEZ MATEOS"	"FRACCIONAMIENTO INDUSTRIAL CARTAGENA"	"TULTITLAN"	"FRACCIONAMIENTO INDUSTRIAL CARTAGENA"	54900
"AAMEA1503911"	"ACEROS AMERICA S.A. DE C.V."	"Metalurgica (incluye la siderurgica) "	"Laminacion secundaria de hierro y acero"	"PRODUCCIÓN DE BARILLA"	0	0	"0°0'0"""	"0°0'0"""	"MEXICO"	"Ixtapaluca"	"SEMINARIO"	3				"TLALPIZAHUAC"	"TLALPIZAHUAC"		56560
"AAMRP1103711"	"AMERICAN AXLE & MANUFACTURING DE MEXICO S. DE R.L. DE C.V."	"Automotriz "	"Produccion de otras auto partes"	"PRODUCCIÓN DE OTRAS AUTOPARTES (SI INCLUYE PROCESOS TÉRMICOS O DE FUNDICIÓN)."	0	0	20.90493	-101.38575	"GUANAJUATO"	"Silao"	"COMERCIANTES"	1300		"PASEO INDUSTRIALES"		"PARQUE IND. FIPASI"	"SILAO"	"PARQUE INDUSTRIAL FIPASI"	36100
"AAU5U1904611"	"ACABADOS AUTOMOTRICES S.A. DE C.V."	"Pinturas y tintas "	"Produccion de pinturas, recubrimientos e impermeabilizantes"	"PRODUCCIÓN DE TODO TIPO DE PINTURAS, RECUBRIMIENTOS E IMPERMEABILIZANTES (EXCLUYE PRODUCTO"	0	0	"25°43'25.27"""	"100°16'46.10"""	"NUEVO LEON"	"San Nicolas de los Garza"	"DIEGO DIAZ DE BERLANGA"	251		"AVENIDA DE LA JUVENTUD"	"CALZADA VIA A MATAMOROS"	"IND. NOGALAR"	"SAN NICOLAS DE LOS GARZA"	"FRACCIONAMIENTO INDUSTRIAL NOGALAR"	66480
"ABA621000711"	"AUSTIN BACIS S.A. DE C.V."	"Quimica"	"Produccion de explosivos"	"PRODUCCIÓN DE EXPLOSIVOS (NO INCLUYE FUEGOS ARTIFICIALES)."	0	0	25.72484	-103.63808	"DURANGO"	"Gomez Palacio"	"DOMICILIO CONOCIDO"	"NA"	"NA"	"NA"	"NA"	"NA"	"DINAMITA"	"AREA RURAL"	35100
"ABCEA0200411"	"Aluminio de Baja California SA de CV"	"Quimica"	"Galvanoplastia"	"GALVANOPLASTIA (EN PIEZAS METÁLICAS; NO INCLUYE JOYERÍA)."	0	0	"32°26'55"""	"-117°1'48"""	"BAJA CALIFORNIA"	"Tijuana"	"Km 16.432 carretera libre Tijuana Ensena"	"SNo"		"Camino vecinal"	"Carretera libre Tijuana Ensenada"	"San Antonio de los Buenos"	"San Antonio de los Buenos"	"Delegación San Antonio de los Buenos"	22710
"ABPMC1000711"	"ADM BIO PRODUCTOS S.A. DE C.V."	"Quimica"	"Fabricacion de aceites y grasas alimenticias"	"PRODUCCIÓN DE ACEITES Y GRASAS CUANDO EN SU FABRICACIÓN EXISTE REACCIÓN QUÍMICA O EXTRACCI"	0	0	25.55178	-103.48431	"DURANGO"	"Gomez Palacio"	"BLVD. MIGUEL ALEMAN"	"Km."	11.4			"CENTRO"	"GOMEZ PALACIO"		35000
"ACE1I1904611"	"Acerex SA de CV"	"Metalurgica (incluye la siderurgica) "	"Laminacion secundaria de hierro y acero"	"Corte de rollos de acero en hojas y cintas."	0	0	"25°43'34.53"""	"100°18'0.26"""	"NUEVO LEON"	"San Nicolas de los Garza"	"Ave. Nogalar"	330		"Privada Famosa"	"Munich"	"Cuauhtemoc"			66452
"ACE7T2201611"	"ACERLAN S.A. DE C.V."	"Metalurgica (incluye la siderurgica) "	"Fundicion y moldeo de piezas de hierro y acero"	"FUNDICIÓN Y MOLDEO DE PIEZAS DE HIERRO Y ACERO."	2209599	2545416	20.42301	-99.98039	"QUERETARO"	"San Juan del Rio"	"camino a San Pedro Ahuacatlán No. 3"	3		"av central salida a Tequisquiapan"	"Empresa Cartones Ponderosa"	"zona industrial"	"San Juan del Río"	"ZONA INDUSTRIAL"	76802
"ACE8V0801711"	"Alambrados y Circuitos Eléctricos, S.A. de C.V. Planta IV"	"Equipos y articulos electronicos, electricos y domesticos "	"Produccion de aparatos, equipos y/o accesorios electricos y/o electronicos"	"ENSAMBLE DE ARNESES AUTOMOTRICES"	0	0	"28°25'42"""	"0.106°50'6"""	"CHIHUAHUA"	"Cuauhtemoc"	"Morelos"	"S/N"	"km. 5 Carretera a An"	"Vialidad Morelos"	"Rios Chuviscar"	"Parque Industrial Cuauhtémoc"	"Cuahtémoc"	"Parque Industrial Cuauhtemoc"	35579
"ACE8V0801911"	"Alambrados y Circuitos Eléctricos, S.A. de C.V. Planta I"	"Equipos y articulos electronicos, electricos y domesticos "	"Produccion de aparatos, equipos y/o accesorios electricos y/o electronicos"	"Ensamble de arneses automotrices"	0	0	28.65116	-106.12561	"CHIHUAHUA"	"Chihuahua"	"Prologación Ave. de las Americas"	36		"Circuito industrial en comunicacion"	"Circuito industrial automotriz"	"Parque Industrial Americas"	"Chihuahua"	"Parque Industrial Americas"	32000
"ACE8V0803211"	"Alambrados y Circuitos Eléctricos, S.A. de C.V. Planta X"	"Equipos y articulos electronicos, electricos y domesticos "	"Produccion de aparatos, equipos y/o accesorios electricos y/o electronicos"	"Elaboracion de Arneses Automotrices"	0	0	"26°55'4"""	"105°41'43"""	"CHIHUAHUA"	"Hidalgo del Parral"	"ANILLO PERIMETRAL SUR"	"S/N"		"NA"	"NA"	"PREDIO SANTO TOMAS"	"Hidalgo del Parral"		33800
"ACE8V0804511"	"Alambrados y Circuitos Eléctricos, S.A. de C.V. Planta VI"	"Equipos y articulos electronicos, electricos y domesticos "	"Produccion de aparatos, equipos y/o accesorios electricos y/o electronicos"	"Elaboración de Arneses para Automoviles"	0	0	"28°16'31"""	"105°29'04"""	"CHIHUAHUA"	"Meoqui"	"Carretera Panamericana Km. 1588"	2700		"Calle Cedro"	"Calle Fresno"	"NA"	"Meoqui"	"Zona Industrial"	33130
"ACE8V0805011"	"Alambrados y Circuitos Eléctricos, S.A. de C.V. Planta II"	"Equipos y articulos electronicos, electricos y domesticos "	"Produccion de aparatos, equipos y/o accesorios electricos y/o electronicos"	"Manufactura de Arneses automotrices"	0	0	30.38462	-107.89153	"CHIHUAHUA"	"Nuevo Casas Grandes"	"Parque Ind. Paquime"	5101		"TULUM"	"MONTEALBAN"	"Parque Industrial Paquime"	"Nuevo Casas Grandes"	"Parque Industrial Paquime"	31700
"ACE9K2201111"	"Alambrados y Circuitos Eléctricos, S.A. de C.V. P-66"	"Automotriz "	"Produccion de partes para el sistema de suspension y direccion"	"Fabricación de flechas intermedias,columnas y flechas homocinéticas."	0	0	20.62508	-100.43776	"QUERETARO"	"El Marques"	"Convento de la Cruz"	12	"NA"	"Santa Rosa de Viterbo"	"Avenida de las Fuentes"	"Parque Industrial FINSA"	"El Marques"	"Parque Industrial Bernardo Quintana"	76246
"ACE9K2201112"	"Alambrados y Circuitos Eléctricos, S.A. de C.V. P-65"	"Automotriz "	"Produccion de partes para el sistema de suspension y direccion"	"Fabricación de Cajas de dirección Hidráulica Manual e Integral"	0	0	"20°37'32"""	"100°26'16"""	"QUERETARO"	"El Marques"	"Santa Rosa de Viterbo"	12	"NA"	"Convento de la Cruz"	"Avenida de las Fuentes"	"Zona Industrial Bernardo Quintana"	"El Marques"	"Parque Industrial Bernardo Quintana"	76246
"ACM6E0503011"	"ALCOA CSI DE MEXICO EN SALTILLO S.A. DE C.V."	"Articulos y productos plasticos "	"Fabricacion de productos y articulos de plastico"	"Fabricacion de tapas plasticas"	0	0	25.47413	-100.99611	"COAHUILA"	"Saltillo"	"Calle Indiana"	"No. 45"				"Ind. Valle De Saltillo"	"Saltillo"	"Fraccionamiento Industrial"	25217
"ACM9M2201111"	"Autoliv Components Mexico S. de R.L. de C.V."	"Articulos y productos plasticos "	"Fabricacion de productos y articulos de plastico"	"Costura y Ensamble de Bolsas de aire para autopartes"	372539.7054	2280118.4441	"0°0'0"""	"0°0'0"""	"QUERETARO"	"El Marques"	"Av. Tepeyac No. 1360"	"Km. 2.5"	1360	"Carr. Chichimequillas Km. 2.5"		"El Tepeyac"	"Chichimequillas"	"Parque Industrial Tepeyac"	76250
"ACMEA1510911"	"ADS Composites de México S.A. de C.V."	"vidrio"	"Produccion de fibra y lana de vidrio"	"PRODUCCIÓN DE AUTOPARTES DE FIBRA DE VIDRIO REFORZADA"	0	0	"19°38'35"""	"-99°9'9"""	"MEXICO"	"Tultitlan"	"Avenida 2"	1	3	"Avenida 1"	"Avenida Cartagena"	"Fracc. Ind. Cartagena"	"Tultitlán"	"Parque Industrial Cartagena"	54900
"ACO5V1100711"	"AVON COSMETICS S. DE R.L. DE C.V."	"Quimica"	"Produccion de materias primas para perfumes y cosmeticos"	"FABRICACION DE PERFUMERIA Y COSMETICOS."	0	0	20.4876	-100.80152	"GUANAJUATO"	"Celaya"	"GUERRERO No. 149"	149				"RANCHO SECO"	"CELAYA"		38090
"ACO5W1510411"	"ASTRO COMERCIAL S.A. DE C.V."	"Quimica"	"Produccion de jabones y detergentes"	"PRODUCCIÓN DE JABONES Y DETERGENTES (SÓLO SI SE PRODUCEN LAS SUSTANCIAS BÁSICAS; INCLUYE O"	0	0	19.52775	-99.21127	"MEXICO"	"Tlalnepantla de Baz"	"PROLONGACIÓN GALEANA"	273				"MIGUEL HIDALGO"	"TLALNEPANTLA"		54060
"ACO7F1510411"	"ACEROS CORSA S.A. DE C.V."	"Metalurgica (incluye la siderurgica) "	"Laminacion primaria de hierro y acero"	"LAMINACIÓN PRIMARIA DE HIERRO Y ACERO (INCLUYE FERROALEACIONES, ACEROS COMUNES Y ESPECIALE"	0	0	19.52053	-99.12399	"MEXICO"	"Tlalnepantla de Baz"	"AV. DE LA PRESA"	2		"PERIFERICO ORIENTE"	"AV. INDUSTRIAS"	"FRACC. INDUSTRIAL LA PRESA"		"FRACCIONAMIENTO INDUSTRIAL LA PRESA"	54187
"ACO8N2803211"	"ALCO CONTROLS S.A. DE C.V."	"Articulos y productos metalicos "	"Produccion de valvulas metalicas"	"FABRICACION DE VALVULAS DE REFRIGERACION"	0	0	26.04288	-98.36888	"TAMAULIPAS"	"Reynosa"	"AVENIDA INDUSTRIAL FALCON"	"M4"	"1 a 3"	"AVE. INDUTRIAL DEL NORTE"	"NINGUNA"	"PARQUE INDUSTRIAL DEL NORTE"	"REYNOSA"	"PARQUE INDUSTRIAL DEL NORTE"	88730
"ACOEA1510611"	"CIA ABASTECEDORA DE COMBUSTIBLE S.A. DE C.V."	"Otros"	"Comercializacion, almacenamiento y distribucion de productos derivados del petroleo a usuarios finales"	"COMPRA- VENTA ALMACENAMIENTO Y DISTRIBUCIÓN DE COMBUSTIBLES"	2133	433	"19°17'35"""	"99°35'0"""	"MEXICO"	"Toluca"	"Av. Primero de Mayo Ote."	1220				"Electricistas"	"Toluca"		50070
"ACORP0900311"	"AVON COSMETICS S DE R L DE C V"	"Quimica"	"Produccion de perfumes, cosmeticos y similares a base de mezclas"	"FABRICACION DE PERFUMERIA Y COSMETICOS"	0	0	"0°0'0"""	"0°0'0"""	"DISTRITO FEDERAL"	"Coyoacan"	"UNIVERSIDAD"	1778		"UNIVERSIDAD"	"MIGUEL ANGEL DE QUEVEDO"	"PEDREGAL DE PANZACOLA"			4318
"ACV5H1605311"	"ALKEMIN S. DE R.L. DE C.V."	"Quimica"	"Produccion de acidos organicos"	"PRODUCCIÓN DE ÁCIDOS, BASES Y SALES ORGÁNICAS."	0	0	"19°41'44"""	"101°12'44"""	"MICHOACAN"	"Morelia"	"MARTIN MONGE"	307		"18 DE MARZO"	"ALONSO DE TOLEDO"	"NUEVA VALLADOLID"	"MORELIA"		58190
"ADHEA2901511"	"ADHESIVOS S.A. DE C.V."	"Petroleo y petroquimica "	"Petroquimica basica"	"PETROQUIMICA"	2379992	2424564	"19°18'6"""	"98°23'0"""	"TLAXCALA"	"Ixtacuixtla de Mariano Matamoros"	"KM 6.5 CARRETERA FEDERAL SAN MARTIN TLAX"	"NA"	"NA"	"NA"	"NA"	"CORR. IND. IXTACUIXTLA"	"SAN FELIPE IXTACUIXTLA"	"CORREDOR INDUSTRIAL IXTACUIXTLA TLAXCALA"	90120
"AEA910500211"	"APARATOS ELECTRICOS DE ACUÑA S.A. DE C.V."	"Equipos y articulos electronicos, electricos y domesticos "	"Produccion de aparatos, equipos y/o accesorios electricos y/o electronicos"	"ENSAMBLADO DE DIFERENTES PARTES QUE SON UTILIZADAS EN LA INDUSTRIA ELECTRICA."	0	0	"29°20'31"""	"101°0'2"""	"COAHUILA"	"Acuna"	"CARRETERA A PRESA LA AMISTAD"	"KM 7.0"					"CIUDAD ACUÑA"	"PARQUE INDUSTRIAL LA AMISTAD"	26220
"AEBRP2201411"	"AUTOBUSES ESTELLA BLANCA S.A. DE C.V."	"Otros"	"Reparacion y mantenimiento automotriz"	"REPARACION MECANICA EN GENERAL Y LAVADO DE CAMIONES Y AUTOBUSES"	365377.9965	2275340.7178	"20°34'26"""	"100°17'10"""	"QUERETARO"	"Queretaro"	"AVENIDA TRES"	"SN"		"DOS"	"CUATRO"	"LA NORIA"	"EL MARQUEZ"	"PI LA NORIA"	76246
"AECEA0801911"	"Visteon Electrónica Planta Altec"	"Equipos y articulos electronicos, electricos y domesticos "	"Produccion de aparatos, equipos y/o accesorios electricos y/o electronicos"	"MAQUILADO DE ACCESORIOS ELECTRONICOS Y AUTOTRICES PARA VEHICULOS AUTOMOTORES"	0	0	"28°40'25"""	"-106°8'1"""	"CHIHUAHUA"	"Chihuahua"	"PERIFERICO DE LA JUVENTUD SN"	"SN"		"PERIFERICO DE LA JUVENTUD"	"BUSTAMANTE"		"CHIHUAHUA"	"PARQUE INDUSTRIAL EL SAUCITO"	31100
"AEJ9M0803712"	"Autoelectronica de Juárez S.A de C.V.Planta II"	"Equipos y articulos electronicos, electricos y domesticos "	"Produccion de aparatos, equipos y/o accesorios electricos y/o electronicos"	"Diseño y fabricación de productos electricos y electrónicos S.A de C.V."	0	0	"31°43'9"""	"106°27'50"""	"CHIHUAHUA"	"Juarez"	"Av. Eje vial Juan Gabriel"	2150		"Lopez Mateos"	"EJuan Gabriel"		"Cd Juarez"	"Parque Eje vial Juan Gabriel"	32630
"AEM972803211"	"ALCOM ELECTRONICOS DE MEXICO, S.A. DE C.V."	"Equipos y articulos electronicos, electricos y domesticos "	"Produccion de aparatos, equipos y/o accesorios electricos y/o electronicos"	"PRODUCCION DE EQUIPO ELECTRICO Y ELECTRONICO DE USO AUTOMOTRIZ"	0	0	"26°2'27"""	"98°21'56"""	"TAMAULIPAS"	"Reynosa"	"AV. INDUSTRIAL DEL NORTE"	"LOTE 5-1"				"PARQUE INDUSTRIAL DEL NORTE"	"REYNOSA"	"PARQUE INDUSTRIAL DEL NORTE"	88740
"AEMEA1507011"	"ANODIZADOS ESPECIALES DE MEXICO S.A."	"Quimica"	"Galvanoplastia"	"GALVANOPLASTIA (EN PIEZAS METÁLICAS; NO INCLUYE JOYERÍA)."	0	0	"0°0'0"""	"0°0'0"""	"MEXICO"	"La Paz"	"Carretera federal Mexico Puebla Camino"	"km 21"		"Camino a Bombas"	"Carretera a texcoco"	"Los Reyes Acacquilpan"	"Los Reyes la Paz"		56400
"AEO8A0901011"	"ACABADOS ELECTROLITICOS OLIVAR S.A. DE C.V."	"Quimica"	"Galvanoplastia"	"MAQUILA DE GALVANOPLASTIA"	0	0	19.37596	-99.20882	"DISTRITO FEDERAL"	"Alvaro Obregon"	"CALLE 14"	"M30A"	"L2"	"CALLE 20"	"VICENTE GUERRERO"	"OLIVAR DEL CONDE"			1400
"AES641510611"	"ACEITES ESPECIALES S.A. DE C.V."	"Quimica"	"Produccion de aceites esenciales"	"FABRICACIÓN DE ACEITE VEGETAL PARA USO INDUSTRIAL"	0	0	19.29217	-99.62428	"MEXICO"	"Toluca"	"INDEPENDENCIA ORIENTE"	1700		"ALFREDO NOBEL"	"ROBERTO FULTON"	"ZONA INDUSTRIAL TOLUCA"	"TOLUCA"	"ZONA INDUSTRIAL"	50070
"AFI7T0502711"	"ACEROS FUNDIDOS INTERNACIONALES S DE RL DE CV"	"Metalurgica (incluye la siderurgica) "	"Fundicion y moldeo de piezas de hierro y acero"	"FUNDICIÓN Y MOLDEO DE PIEZAS DE HIERRO Y ACERO."	0	0	25.56799	-100.92327	"COAHUILA"	"Ramos Arizpe"	"INDUSTRIA DE LA TRANSFORMACION"	3135				"PARQ. IND. SALTILLO R. ARIZPE"	"RAMOS ARIZPE"	"PARQUE INDUSTRIAL SALTILLO RAMOS ARIZPE"	25090
