"NRA"	"NOMBRE"	"SCIAN"	"DESCRIPCIÓN SCIAN"	"SECTOR"	"CLAVE
AMBIENTAL"	"SUBSECTOR"	"PRINCIPAL ACTIVIDAD PRODUCTIVA"	"PARQUE INDUSTRIAL"	"COORDENADA 
UTM X"	"COORDENADA 
UTM Y"	"LATITUD 
NORTE"	"LONGITUD 
OESTE"	"CALLE"	"NÚM. EXT"	"NÚM. INT"	"COLONIA"	"LOCALIDAD"	"ESTADO"	"MUNICIPIO"	"C.P."
"AAGND0100511"	"ALAN DE AGUASCALIENTES S.A. DE C.V."	331520	"Moldeo por fundición de piezas metálicas no ferrosas."	"Metalurgica (incluye la siderurgica)"	"ND"	"Fundicion  y moldeo de piezas de metales no ferrosos"	"FUNDICIÓN Y MOLDEO DE PIEZAS DE METALES NO FERROSOS."				21.95113	-102.32801	"AVENIDA GUADALUPE"	"224"		"MARAVILLAS"	"MARAVILLAS"	"AGUASCALIENTES"	"Jesus Maria"	"20900"
"AAL7Q1510411"	"ALMEXA ALUMINIO S.A. DE C.V."	331310	"Industria básica del aluminio."	"Metalurgica (incluye la siderurgica)"	"7Q"	"Afinacion y laminacion de aluminio"	"AFINACIÓN Y LAMINACIÓN DE ALUMINIO (INCLUYE FUNDICIÓN, EXTRUSIÓN O ESTIRAJE)."	"BARRIENTOS"			19.57988	-99.20186	"VIA GUSTAVO BAZ"	"4874"		"SAN PEDRO BARRIENTOS"	"TLALNEPANTLA"	"MEXICO"	"Tlalnepantla de Baz"	"54100"
"AAM9M1103711"	"AMERICAN AXLE & MANUFACTURING DE MEXICO S. DE R.L. DE C.V."	336390	"Fabricación de otras partes para vehículos automotrices."	"Automotriz"	"9M"	"Produccion de otras auto partes"	"PRODUCCIÓN DE OTRAS AUTOPARTES (SI INCLUYE PROCESOS TÉRMICOS O DE FUNDICIÓN)."	"PARQUE INDUSTRIAL FIPASI"	0	0	"20°54'55"""	"101°23'41"""	"COMERCIANTES"	"1300"		"PARQUE IND. FIPASI"	"SILAO"	"GUANAJUATO"	"Silao"	"36100"
"AAN7L1510611"	"ACEROS ANGLO S.A .DE C.V."	331510	"Moldeo por fundición de piezas de hierro y acero."	"Metalurgica (incluye la siderurgica)"	"7L"	"Afinacion y refinacion de otros metales no ferrosos"	"FABRICACION DE ACEROS ESPECIALES"	"ZONA INDUSTRIAL"			"19°19'23"""	"99°6'0"""	"ELECTRIFICACION"	"103"		"INDEPENDENCIA"		"MEXICO"	"Toluca"	"50070"
"AAN8Z1503311"	"ACUMULADORES ANAHUAC S.A DE C.V."	335910	"Fabricación de acumuladores y pilas."	"Metalurgica (incluye la siderurgica)"	"8Z"	"Produccion de acumuladores y pilas electricas"	"FABRICACIÓN DE ACUMULADORES AUTOMOTRICES Y  SERVICIO ELECTRICO"	"ZONA INDRUSTIAL XALOSTOC"	0	0	"19°19'24"""	"19°19'49"""	"VIA MORELOS"	"45"		"XALOSTOC"	"MÉXICO"	"MEXICO"	"Ecatepec de Morelos"	"55310"
"ABA621000711"	"AUSTIN BACIS, S.A. DE C.V."	325920	"Fabricación de explosivos."	"Quimica"	"62"	"Produccion de explosivos"	"PRODUCCIÓN DE EXPLOSIVOS (NO INCLUYE FUEGOS ARTIFICIALES)."	"AREA RURAL"			25.72484	-103.63808	"DOMICILIO CONOCIDO"	"SN"		"NA"	"DINAMITA"	"DURANGO"	"Gomez Palacio"	"35100"
"ABC8A0200411"	"ALUMINIO DE BAJA CALIFORNIA, S.A DE C.V."	332810	"Recubrimientos y terminados metálicos."	"Quimica"	"QU"	"Anodizado de aluminio"	"EXTRUSION, ANODIZADO Y PINTURA DE PERFILES DE ALUMINIO"				"32°25'45"""	"117°1'52"""	"KM. 16,432 CARRETERA LIBRE TIJUANA-ENSEN"	"0"		"SAN ANTONIO DE LOS BUENOS"	"TIJUANA"	"BAJA CALIFORNIA"	"Tijuana"	"22563"
"ABFLJ1508111"	"Aleaciones de Bronces Finos, S.A. de C.V."	331510	"Moldeo por fundición de piezas de hierro y acero."	"Metalurgica (incluye la siderurgica)"	"LJ"	"Fundicion de chatarra de fierro, de aluminio, de bronce, de plomo y de otros materiales metalicos"	"FUNDICIÓN DE CHATARRA DE FIERRO, DE ALUMINIO, DE BRONCE, DE PLOMO Y DE OTROS MATERIALES ME"				"19°29'35"""	"99°11'51"""	"Aquiles Serdan"	"6"		"San Pedro Atzompan"	"NA"	"MEXICO"	"Tecamac"	"55770"
"ABPMC1000711"	"ADM BIO PRODUCTOS S.A. DE C.V."	311222	"Elaboración de aceites y grasas vegetales comestibles."	"Quimica"	"MC"	"Fabricacion de aceites y grasas alimenticias"	"PRODUCCIÓN DE ACEITES Y GRASAS CUANDO EN SU FABRICACIÓN EXISTE REACCIÓN QUÍMICA O EXTRACCI"				25.55178	-103.48431	"BLVD. MIGUEL ALEMAN"	"KM. 11.40"		"CENTRO"	"GOMEZ PALACIO"	"DURANGO"	"Gomez Palacio"	"35000"
"ACA8A1502411"	"ACEROS CAMESA S.A. DE C.V."	332810	"Recubrimientos y terminados metálicos."	"Quimica"	"8A"	"Galvanoplastia"	"GALVANOPLASTIA (EN PIEZAS METÁLICAS; NO INCLUYE JOYERÍA)."	"ZONA INDUSTRIAL CUAUTITLAN"			"19°31'26"""	"99°9'1"""	"Km17.5 CARRETERA TLALNEPANTLA CUAUTITLAN"	"SIN NUMERO"		"EL PILAR"	"CUATITLAN"	"MEXICO"	"Cuautitlan"	"54879"
