"NRA"	"Establecimiento"	"Sector"	"Número SCIAN"	"SCIAN"	"Clave Ambiental"	"Actividad Principal"	"Nombre Parque Industrial"	"Latitud Norte"	"Longitud Oeste"	"Calle"	"Número Exterior"	"Número Interior"	"Entre Calle 1"	"Entre Calle 2"	"Colonia"	"Localidad"	"Municipio"	"Entidad Federativa"	"Código Postal"
"ZEM910803711"	"ZF ELECTRONICS DE MEXICO S. DE R.L. DE C.V."	"Equipos y articulos electronicos, electricos y domesticos"	"336320"	"Fabricación de equipo eléctrico y electrónico y sus partes para vehículos automotores."	"91"	"ENSAMBLE DE INTERRUPTORES COMERCIALES AUTOMOTRICES Y COMPONENTES ELECTRICOS"	"PARQUE  INDUSTRIAL  INTERMEX"	"31°37'57"""	"106°23'20"""	"AV, VALLE DE LOS CEDROS"	"1650"		"FENIX"	"AV. INTERMEX"	"PARQUE  INDUSTRIAL INTERMEX"		"Juarez"	"CHIHUAHUA"	"32690"
"ZEPQY0600711"	"ZETA GAS DEL PACIFICO S.A. DE C.V."	"Petroleo y petroquimica"	"486990"	"Transporte por ductos de otros productos, excepto de productos refinados del petróleo."	"M9"	"RECEPCION ALMACENAMIENTO Y DISTRUBUCION DE GAS L.P."	"LOCALIDAD CAMPOS"	"19°0'34"""	"104°16'22"""	"KM. 3.5 CARRETERA MANZANILLO-CUYUTLAN"	"KM. 3.5"		"POBLADO DE CAMPOS"	"PUENTE DE TEPALCATES"		"CAMPOS"	"Manzanillo"	"COLIMA"	"28809"
"ZHS520900521"	"ZAPATA HERMANOS SUCESORES S. A. DE C. V."	"Articulos y productos compuestos de diferentes materiales"	"339999"	"Otras industrias manufactureras."	"52"	"ELABORACION DE LAMINA LITOGRAFIADO Y CORCHO"		"19°28'56"""	"99°6'32"""	"CALZADA SAN JUAN DE ARAGON"	"135"		"ND"	"ND"	"VILLA DE GUADALUPE"		"Gustavo A. Madero"	"DISTRITO FEDERAL"	"7000"
"ZJAMG0400311"	"ZACATECAS JACKUP S.A. DE C.V."	"Otros"	"213111"	"Perforación de pozos petroleros y de gas."	"R9"	"PERFORACIN DE POZO PETROLEROS Y DE GAS"		"18°36'18"""	"91°50'7"""	"AVENIDA AVIACION"	"0"	"0"	"AVENIDA AEROPUERTO"	"AVENIDA PERIFERICA"	"PETROLERA"	"CIUDAD DEL CARMEN"	"Carmen"	"CAMPECHE"	"24180"
"ZME5S1407011"	"ZOLTEK DE MEXICO, S.A. DE C.V."	"Quimica"	"325220"	"Fabricación de fibras químicas."	"5S"	"PRODUCCIÓN DE FIBRAS Y FILAMENTOS SINTÉTICOS Y ARTIFICIALES (SÓLO SI  INVOLUCRA REACCIÓN Q"	"ZONA INDUSTRIAL"	"20°28'56"""	"103°13'53"""	"CARRETERA A EL SALTO KM 3 S/N"	"na"					"EL SALTO"	"El Salto"	"JALISCO"	"45680"
"ZMOEE1509911"	"ZAPATA MOTORS, S.A. DE C.V."	"Otros"	"811111"	"Reparación mecánica en general de automóviles y camiones."	"KE"	"COMPRA, VENTA Y MANTENIMIENTO DE AUTOS NUEVOS Y USADOS"		"19°31'33"""	"98°53'50"""	"CARRETERA VIA RAPIDA LECHERIA-TEXCOCO"	"KM 23"		"VIA RAPIDA LECHERIATEXCOCO"	"MUNICIPIO DE TEXCOCO"	"TEXCOCO DE MORA"	"TEXCOCO DE MORA"	"Texcoco"	"MEXICO"	"56100"
"ZMOND1901211"	"ZINKPOWER MONTERREY S.A. DE C.V."	"Metalurgica (incluye la siderurgica)"	"332310"	"Fabricación de estructuras metálicas."	"7U"	"FUNDICIÓN Y MOLDEO DE PIEZAS DE METALES NO FERROSOS."	"Monterrey Technology Park"	"25°53'47"""	"100°14'15"""	"Avenida del Parque"	"2120"		"Avenida del Parque"	"Avenida Tecnologico"	"Monterrey Technology Park"	"Ciénega de Flores"	"Cienega de Flores"	"NUEVO LEON"	"65550"
"ZNA571904611"	"ZINC NACIONAL S.A. PLANTA DE CARTON Y CARTONCILLO"	"Celulosa y papel"	"322132"	"Fabricación de cartón y cartoncillo a partir de pulpa."	"57"	"PRODUCCIÓN DE CARTÓN Y CARTONCILLO (SI INVOLUCRA OPERACIONES TÉRMICAS; NO INCLUYE  LA MICR"	"ZONA INDUSTRIAL"	"25°45'11"""	"100°19'18"""	"MANUEL M. PONCE"	"SN"		"MANUEL M. PONCE"	"PEDRO GALINDO"	"LOMAS DEL ROBLE"		"San Nicolas de los Garza"	"NUEVO LEON"	"66450"
"ZNA5I1904611"	"ZINC NACIONAL S.A."	"Quimica"	"325180"	"Fabricación de otros productos químicos básicos inorgánicos."	"5I"	"PRODUCCIÓN DE ÁCIDOS, BASES Y SALES INORGANICAS."	"ZONA INDUSTRIAL"	"25°44'43"""	"100°19'15"""	"M. M. PONCE"	"SIN NUM"		"M. M. PONCE"	"PEDRO GALINDO"	"LOMAS DEL ROBLE"	"SAN NICOLAS DE LOS GARZA"	"San Nicolas de los Garza"	"NUEVO LEON"	"66450"
"ZPM6E1512111"	"ZELLER PLASTIK MEXICO, S.A. DE C.V."	"Articulos y productos plasticos"	"326199"	"Fabricación de otros productos de plástico sin reforzamiento."	"6E"	"FABRICACION, COMPRA VENTA DE MOLDES Y ARTICULOS DE PLASTICO"	"SAN MARTIN OBISPO"	"19°36'11"""	"99°12'27"""	"AV. TEJOCOTES"	"SN"				"SAN MARTIN TEPETLIXPAN"		"Cuautitlan Izcalli"	"MEXICO"	"54763"
"ZPOAD1610711"	"ZACAPU POWER S. DE R.L. DE C.V."	"Generación de energía eléctrica"	"221110"	"Generación, transmisión y distribución de energía eléctrica."	"AD"	"GENERACIÓN Y TRANSMISIÓN DE ENERGÍA ELÉCTRICA (SOLO GENERACIÓN INCLUYE LAS INSTALACIONES)"	"ZONA INDUSTRIAL"	"19°49'38"""	"101°46'29"""	"KM 3.5 CARRETERA ZACAPU PANINDICUARO"	"SN"				"CELANESE"	"ZACAPU"	"Zacapu"	"MICHOACAN"	"58616"
"WTM9M0200211"	"WABASH TECHNOLOGIES DE MEXICO, S. DE R.L. DE C.V."	"Automotriz"	"336390"	"Fabricación de otras partes para vehículos automotrices."	"9M"	"Fabricación y ensamble de sensores, cables, actuadores de uso automotriz y  relavadores"	"Parque Industrial Mexicali IV"	"32°40'53"""	"115°23'51"""	"AV. de la eficiencia"	"2700"		"Acmex"	"Amistad Este"	"Parque Industrial Mexicali IV"	"Mexicali"	"Mexicali"	"BAJA CALIFORNIA"	"21210"
"XIGLJ2902521"	"RODOLFO SANTIAGO XINAXTLE GASPARIANO        FUNDIDORA SAN MIGUEL"	"Metalurgica (incluye la siderurgica)"	"331510"	"Moldeo por fundición de piezas de hierro y acero."	"LJ"	"FUNDICIÓN DE CHATARRA DE FIERRO, DE ALUMINIO, DE BRONCE, DE PLOMO Y DE OTROS MATERIALES ME"		"19°7'5"""	"98°12'15"""	"CERRADA DEL PROGRESO SUR"	"15"		"PROGRESO SUR"	"10  DE MARZO"	"SAN PEDRO"	"VILLA VICENTE GUERRERO"	"San Pablo del Monte"	"TLAXCALA"	"90970"
"YAC361200111"	"Yoli de Acapulco, S.A. de C.V. Planta Cayaco"	"Bebidas y tabaco"	"312111"	"Elaboración de refrescos y otras bebidas no alcohólicas."	"36"	"Elaboración, Almacenamiento y Distribución de Aguas y Bebidas Gaseosas"		"16°51'7"""	"99°47'44"""	"Carretera Acapulco Pinotepa Nacional"	"Km. 10.5"		"Sin nombre"	"Emiliano Zapata"	"El Cayaco"	"Acapulco"	"Acapulco de Juarez"	"GUERRERO"	"39690"
"YACKE1203512"	"Yoli de Acapulco S.A. de C.V. Planta Iguala"	"Bebidas y tabaco"	"312111"	"Elaboración de refrescos y otras bebidas no alcohólicas."	"36"	"Almacenamiento, distribución de aguas y bebidas gaseosas"		"18°20'59"""	"99°31'59"""	"Av. Vicente Guerrero"	"117"		"Federal a Taxco"	"Asia"	"Centro"	"Iguala"	"Iguala de la Independencia"	"GUERRERO"	"40000"
