"NRA"	"NOMBRE"	"SCIAN"	"DESCRIPCIÓN SCIAN"	"SECTOR"	"CLAVE
AMBIENTAL"	"SUBSECTOR"	"PRINCIPAL ACTIVIDAD PRODUCTIVA"	"PARQUE INDUSTRIAL"	"COORDENADA
UTM X"	"COORDENADA
UTM Y"	"LATITUD NORTE"	"LONGITUD 
OESTE"	"CALLE"	"NÚM. EXT"	"NÚM. INT"	"COLONIA"	"LOCALIDAD"	"ESTADO"	"MUNICIPIO"	"C.P."
"AAA3107600009"	"JUSTINA ANSELMA ABASCAL ALMADA,GRANJA SAN ANTONIO"	112211	"Explotación de porcinos en granja"	"Alimenticio y/o de consumo humano"	"1M"	"Matanza de ganado y aves"	"Granja Porcicola"		236289.4717	2296818.2889	"20°45'8"""	"89°31'57"""	"Camino TABLAJE CATASTRAL 584, KM 1.8 CARR. HACIENDA ITZINCAB CAMARA-HACIENDA DTZOYALCHE"	"SN "	"SN "	"Pueblo TECOH"	"Tecoh"	"YUCATAN"	"Tecoh"	"97822"
"AAF0901700150"	"AAACESA ALMACENES FISCALIZADOS SA DE CV A EN P,ADUANA DEL AEROPUERTO INTERNACIONAL DE LA CIUDAD DE MÉXICO"	488112	"Administración de aeropuertos y helipuertos"	"Otros"	"L7"	"Servicios de administracion de aeropuertos y helipuertos"	"SERVICIOS DE AGENCIAS ADUANALES"		492402.2267	2150372.7507	"19°26'51"""	"99°4'20"""	"Avenida 602"	"S/N "	"RF 22 Y 23 "	"Aeropuerto Aeropuerto Internacional de la Ciudad de México"	"Venustiano Carranza"	"DISTRITO FEDERAL"	"Venustiano Carranza"	"15620"
"AAG1100900010"	"AISIN AUTOMOTIVE GUANAJUATO S.A. DE C.V.,AAGT"	336390	"Fabricación de otras partes para vehículos automotrices"	"Automotriz"	"9M"	"Produccion de otras auto partes"	"FABRICACIÓN DE OTRAS PARTES PARA VEHÍCULOS AUTOMOTRICES"	"MARABIS COMONFORT"	313845.239	2293607.4904	"20°43'58"""	"100°47'16"""	"Avenida MONOZUKURI"	"4"	" "		"Comonfort"	"GUANAJUATO"	"Comonfort"	"38200"
"AAG1403901019"	"JESUS ALVARADO GARCIA,TALLER DEL SR. JESUS ALVARADO"	332810	"Recubrimientos y terminados metálicos"	"Quimica"	"8A"	"Galvanoplastia"	"MAQUILA DE GALVANOPLASTIA"		671986.3405	2283474.4223	"20°38'33"""	"103°20'57"""	"Calle  10a"	"2083"	" "	"Colonia FERROCARRIL"	"Guadalajara"	"JALISCO"	"Guadalajara"	"44440"
"AAL1512102650"	"ALMEXA ALUMINIO SA DE CV,"	331310	"Industria básica del aluminio"	"Metalurgica (incluye la siderurgica)"	"LJ"	"Fundicion de chatarra de fierro, de aluminio, de bronce, de plomo y de otros materiales metalicos"	"FUNDICIÓN Y LAMINACIÓN DE ALUMINIO"		478326.458	2171540.3221	"19°38'20"""	"99°12'24"""	"Calle BENJAMIN FRANKLIN"	"9"	" "	"Colonia CONJUNTO IND. LA JOYA"	"Cuautitlán Izcalli"	"MEXICO"	"Cuautitlan Izcalli"	"54730"
"AAL7Q1503321"	"ALMEXA ALUMINIO SA DE CV,"	331310	"Industria básica del aluminio"	"Metalurgica (incluye la siderurgica)"	"7Q"	"Afinacion y laminacion de aluminio"	"TRANSFORMACIÓN DE ALUMINIO"		494746.4971	2162444.2738	"19°33'24"""	"99°3'0"""	"Calle VIA MORELOS"	"347"	" "	"Colonia STA. MARIA TULPETLAC"	"Ecatepec de Morelos"	"MEXICO"	"Ecatepec de Morelos"	"55400"
"AAL7Q1510911"	"AZINSA ALUMINIO, S.A.P.I. DE C.V.,"	331310	"Industria básica del aluminio"	"Metalurgica (incluye la siderurgica)"	"7Q"	"Afinacion y laminacion de aluminio"	"AFINACIÓN Y LAMINACION DE ALUMINIO (INCLUYE FUNDICION, EXTRUSION O ESTIRAJE)"		483998.7598	2171967.9268	"19°38'34"""	"99°9'9"""	"Calle AV. DOS"	"4"	" "	"Colonia FRACC. INDUSTRIAL CARTAGENA"	"Tultitlán de Mariano Escobedo"	"MEXICO"	"Tultitlan"	"54900"
"AAM1103700017"	"ASAHI ALUMINIUM MEXICO, S.A. DE C.V.,ASAHI"	331520	"Moldeo por fundición de piezas metálicas no ferrosas"	"Automotriz"	"9M"	"Produccion de otras auto partes"	"Fabricación de Partes de Aluminio para Motores y Transmisiones"	"PUERTO INTERIOR"	242476.2698	2325538.4811	"21°0'45"""	"101°28'39"""	"Avenida  DE MINERAL DE VALENCIANA"	"140"	" "		"Silao de la Victoria"	"GUANAJUATO"	"Silao"	"36275"
"AAM1503900040"	"ACEROS AMERICA S.A. DE C.V.,"	331111	"Complejos siderúrgicos"	"Metalurgica (incluye la siderurgica)"	"7I"	"Laminacion secundaria de hierro y acero"	"LAMINACIÓN DE VARILLA Y SIMILARES"		505305.747	2137438.0757	"19°19'51"""	"98°56'58"""	"Calle Seminario"	"3"	" "	"Colonia SAN JUAN TLALPIZAHUAC"	"Ixtapaluca"	"MEXICO"	"Ixtapaluca"	"56576"
"AAM2402800314"	"AISAN AUTOPARTES MÉXICO, S.A. DE C.V.,"	336310	"Fabricación de motores y sus partes para vehículos automotrices"	"Automotriz"	"9I"	"Produccion de motores automotrices a gasolina y diesel"	"Manufactura y venta de partes automotrices"		312936.8919	2447357.0094	"22°7'16"""	"100°48'48"""	"Calle CIRCUITO SAN MIGUELITO PONIENTE"	"106"	" "	"Colonia CIUDAD SATELITE"	"San Luis Potosí"	"SAN LUIS POTOSI"	"San Luis Potosi"	"78423"
