codigo_act,nombre_act
212210,Minería de hierro
212329,Minería de otras arcillas y de otros minerales refractarios
212398,Minería de minerales no metálicos para productos químicos
212397,Minería de azufre
212312,Minería de mármol
212221,Minería de oro
212323,Minería de feldespato
212319,Minería de otras piedras dimensionadas
212396,Minería de grafito
212399,Minería de otros minerales no metálicos
212299,Minería de otros minerales metálicos
212393,Minería de barita
212322,Minería de tezontle y tepetate
212231,Minería de cobre
212325,Minería de caolín
212291,Minería de manganeso
212391,Minería de sal
212395,Minería de fluorita
212232,Minería de plomo y zinc
212392,Minería de piedra de yeso
212292,Minería de mercurio y antimonio
212311,Minería de piedra caliza
212394,Minería de roca fosfórica
212110,Minería de carbón mineral
212321,Minería de arena y grava para la construcción
212324,Minería de sílice
212222,Minería de plata
213119,Otros servicios relacionados con la minería
