CLEE,Name,Stratum,Entity,Municipality,Locality,AGEB,rdate,NAICSCode,NAICSName,Latitude,Longitude
02001212221000011000000000U9,OJOS NEGROS MINING,0 a 5 personas,Baja California,Ensenada,Ensenada,628,2020-11,212221,Minería de oro,31.86015795,-116.63179153
02001212291000013000000000U8,B.C. MINING CO. SA DE CV,11 a 30 personas,Baja California,Ensenada,Ensenada,076A,2012-06,212291,Minería de manganeso,31.85883281,-116.61208314
02002212221000011000000000S7,MINERA REAL DE ANGELES SA DE CV,0 a 5 personas,Baja California,Mexicali,Mineral Real de Ángeles,3738,2014-12,212221,Minería de oro,31.58400194,-115.11213778
02002212221000021000040128S6,MINERA REAL DE ANGELES SAN FELIPE,251 y más personas,Baja California,Mexicali,Mineral Real de Ángeles,3738,2020-04,212221,Minería de oro,31.58400194,-115.11213778
02003212110000021000000000U8,INDUSTRIAS CAL STONE S.A DE C.V.,6 a 10 personas,Baja California,Tecate,La Rumorosa,726,2020-11,212110,Minería de carbón mineral,32.52464931,-116.0582705
05002212395000013100055025S2,MINERA PICO ETEREO SA DE CV,11 a 30 personas,Coahuila de Zaragoza,Frontera,Frontera,175,2012-06,212395,Minería de fluorita,26.94745985,-101.45161162
05010213119000013000055025M8,MINERA PICO ETEREO SA DE CV,0 a 5 personas,Coahuila de Zaragoza,Frontera,Frontera,175,2016-01,212395,Minería de fluorita,26.94745985,-101.45161162
05018212110000045001000000U3,MINERA SIDERURGICA COAHUILA,101 a 250 personas,Coahuila de Zaragoza,Monclova,Almacén de Coimsa [Minera Siderúrgica],1519,2014-12,212110,Minería de carbón mineral,26.85733528,-101.37438278
05018213119000016010000000U4,CONSORCIO INDUSTRIAL DE CONSTRUCCION TITANES,101 a 250 personas,Coahuila de Zaragoza,Monclova,La Cola de Agua,1449,2019-04,212110,Minería de carbón mineral,26.9841325,-101.20339611
05020212110000011000023164S1,UNIDAD MIMOSA,0 a 5 personas,Coahuila de Zaragoza,Múzquiz,Ciudad Melchor Múzquiz,220A,2011-03,212110,Minería de carbón mineral,27.87380443,-101.49615301
05020212110000102000000000U8,COMERCIALIZADORA HÉRCULES S.A. DE C.V.,6 a 10 personas,Coahuila de Zaragoza,Múzquiz,Minas de Barroterán,1343,2014-12,212110,Minería de carbón mineral,27.64791892,-101.28077706
05020212110000141000023164S6,PLANTA LAVADORA AREA CARBON,0 a 5 personas,Coahuila de Zaragoza,Múzquiz,Palaú,59,2010-07,212110,Minería de carbón mineral,27.90646245,-101.42629465
05020212110000151001000000U5,UNIDAD MIMOSA,251 y más personas,Coahuila de Zaragoza,Múzquiz,Palaú,2500,2014-12,212110,Minería de carbón mineral,27.88808592,-101.40119171
05020212110000173000000000U9,MINERA SIN NOMBRE,11 a 30 personas,Coahuila de Zaragoza,Múzquiz,Ciudad Melchor Múzquiz,1220,2019-11,212110,Minería de carbón mineral,27.87595683,-101.5107138
05020212110000201000000000U8,OFICINA MINERA JIPA,0 a 5 personas,Coahuila de Zaragoza,Múzquiz,Ciudad Melchor Múzquiz,1220,2020-11,212110,Minería de carbón mineral,27.87597982,-101.51074389
05020212210000024000000000U2,SERVICIO AREA CARBON,31 a 50 personas,Coahuila de Zaragoza,Múzquiz,Palaú,2500,2020-11,212110,Minería de carbón mineral,27.88828052,-101.40026269
05020212222000016101000000S3,GRUPO FIRST MAJESTIC SILVER CORP.,101 a 250 personas,Coahuila de Zaragoza,Ocampo,La Encantada [Mina],2907,2010-07,212222,Minería de plata,28.36023472,-102.55853278
05020212222000031000019774S2,OFICINA AUXILIAR DE ENLACE,0 a 5 personas,Coahuila de Zaragoza,Múzquiz,Ciudad Melchor Múzquiz,220A,2019-04,212222,Minería de plata,27.87378422,-101.49712942
05020212395000011200055027S8,MINA LA SABINA BUENAVISTA,101 a 250 personas,Coahuila de Zaragoza,Ocampo,La Sabina,2822,2010-07,212395,Minería de fluorita,28.53573926,-102.50236421
