_id,actprincipal,aire,anio,calculada,calle,cas,colonia,coordenadaUTMX,coordenadaUTMY,cp,cve_ent,cve_mun,cveamb,descscian,enmunicipio,entrec1,entrec2,estado,flat,flng,iarc,lat,latitudnorte,lng,localidad,longitudoeste,municipio,nombre,nra,numexterior,numinterior,parqueind,scian,sector,subsector,sustancia,unidad
65298ba1bb426186d904981b,Ensamble de arneses electricos y/o electronicos,3.03,2018,1,Carretera  PRESA LA AMISTAD,7439-92-1,No disponible,306011.4933,3247690.1942,26220,5,2,91,Fabricación de equipo eléctrico y electrónico y sus partes para vehículos automotores,1,No disponible,No disponible,COAHUILA,29.3433333333333,-100.998055555556,2B,29.3433333333333,"29°20'36""",-100.998055555556,CIUDAD ACUÑA,"100°59'53""",Acuña,"AEES MANUFACTURERA S DE RL DE CV,",AFM910500221,KM. 5.0 , ,PARQUE INDUSTRIAL AMISTAD,336320,"Equipos y articulos electronicos, electricos y domesticos","Produccion de aparatos, equipos y/o accesorios electricos y/o electronicos","Plomo (polvos respirables, humos o vapores)",kg/año
65298ba8bb426186d904f209,Ensamble de arneses electricos y/o electronicos,9.3,2014,1,Carretera  PRESA LA AMISTAD,7439-92-1,No disponible,No disponible,No disponible,26220,5,2,91,Fabricación de equipo eléctrico y electrónico y sus partes para vehículos automotores,1,No disponible,No disponible,COAHUILA,29.3433333333333,-100.998055555556,2B,29.3433333333333,"29°20'36""",-100.998055555556,Ciudad Acuña,"100°59'53""",Acuña,"AEES MANUFACTURERA S DE RL DE CV,",AFM910500221,KM. 5.0 , ,PARQUE INDUSTRIAL AMISTAD,336320,"Equipos y articulos electronicos, electricos y domesticos","Produccion de aparatos, equipos y/o accesorios electricos y/o electronicos","Plomo (polvos respirables, humos o vapores)",kg/año
65298ba9bb426186d904fb5b,"Limpieza de partes metalicas, Elaboracion de moldes de cera y ceramica.",3.98,2014,1,Calle CARR. PRESA LA AMISTAD,7440-02-0,No disponible,No disponible,No disponible,26220,5,2,1I,Recubrimientos y terminados metálicos,1,No disponible,No disponible,COAHUILA,29.3427777777778,-100.999722222222,2B,29.3427777777778,"29°20'34""",-100.999722222222,Ciudad Acuña,"100°59'59""",Acuña,"HOWMET DE MÉXICO, S. DE R.L. DE C.V.,",HME8A0500211,KM. 7.100.5 , ,PARQUE INDUSTRIAL AMISTAD,332810,Otros,Maquila de acabado y pintado de piezas metalicas y de otros materiales,"Níquel (polvos respirables, humos o vapores)",kg/año
65298baabb426186d90508d0,Fabricación de otros productos metálicos,29.7,2016,1,Calle HIDALGO,7439-92-1,No disponible,306042.336,3247604.5485,26220,5,2,83,"Fabricación de tornillos, tuercas, remaches y similares",1,No disponible,No disponible,COAHUILA,29.3425,-100.9975,2B,29.3425,"29°20'33""",-100.9975,Ciudad Acuña,"100°59'51""",Acuña,"ARCONIC FASTENING SYSTEMS & RINGS (MEXICO I), S. DE R.L. DE C.V.,ARCONIC FASTENING SYSTEMS & RINGS (MEXICO I), S. DE R.L. DE C.V",AFS1I0500211,120,No disponible,PARQUE INDUSTRIAL AMISTAD,332720,Articulos y productos metalicos,"Produccion de tornillos, clavos, tuercas y similares","Plomo (polvos respirables, humos o vapores)",kg/año
65298baabb426186d90508d1,Fabricación de otros productos metálicos,4.39,2016,1,Calle HIDALGO,7440-02-0,No disponible,306042.336,3247604.5485,26220,5,2,83,"Fabricación de tornillos, tuercas, remaches y similares",1,No disponible,No disponible,COAHUILA,29.3425,-100.9975,2B,29.3425,"29°20'33""",-100.9975,Ciudad Acuña,"100°59'51""",Acuña,"ARCONIC FASTENING SYSTEMS & RINGS (MEXICO I), S. DE R.L. DE C.V.,ARCONIC FASTENING SYSTEMS & RINGS (MEXICO I), S. DE R.L. DE C.V",AFS1I0500211,120,No disponible,PARQUE INDUSTRIAL AMISTAD,332720,Articulos y productos metalicos,"Produccion de tornillos, clavos, tuercas y similares","Níquel (polvos respirables, humos o vapores)",kg/año
65298badbb426186d9052280,Ensamble de arneses electricos y/o electronicos,9.39,2017,1,Carretera  PRESA LA AMISTAD,7439-92-1,No disponible,306011.4933,3247690.1942,26220,5,2,91,Fabricación de equipo eléctrico y electrónico y sus partes para vehículos automotores,1,No disponible,No disponible,COAHUILA,29.3433333333333,-100.998055555556,2B,29.3433333333333,"29°20'36""",-100.998055555556,CIUDAD ACUÑA,"100°59'53""",Acuña,"AEES MANUFACTURERA S DE RL DE CV,",AFM910500221,KM. 5.0 , ,PARQUE INDUSTRIAL AMISTAD,336320,"Equipos y articulos electronicos, electricos y domesticos","Produccion de aparatos, equipos y/o accesorios electricos y/o electronicos","Plomo (polvos respirables, humos o vapores)",kg/año
65298bbdbb426186d905e10d,Ensamble de arneses electricos y/o electronicos,8.02,2020,1,Carretera  PRESA LA AMISTAD,7439-92-1,No disponible,306011.4933,3247690.1942,26220,5,2,91,Fabricación de equipo eléctrico y electrónico y sus partes para vehículos automotores,1,No disponible,No disponible,COAHUILA,29.3433333333333,-100.998055555556,2B,29.3433333333333,"29°20'36""",-100.998055555556,CIUDAD ACUÑA,"100°59'53""",Acuña,"AEES MANUFACTURERA S DE RL DE CV,",AFM910500221,KM. 5.0 , ,PARQUE INDUSTRIAL AMISTAD,336320,"Equipos y articulos electronicos, electricos y domesticos","Produccion de aparatos, equipos y/o accesorios electricos y/o electronicos","Plomo (polvos respirables, humos o vapores)",kg/año
65298bbfbb426186d905ee01,Fabricación de otros productos metálicos,1.73,2020,1,Calle HIDALGO,7439-92-1,No disponible,306042.336,3247604.5485,26220,5,2,83,"Fabricación de tornillos, tuercas, remaches y similares",1,No disponible,No disponible,COAHUILA,29.3425,-100.9975,2B,29.3425,"29°20'33""",-100.9975,CIUDAD ACUÑA,"100°59'51""",Acuña,"HOWMET FASTENING SYSTEMS MEXICO I, S. DE R.L. DE C.V.,HOWMET FASTENING SYSTEMS MEXICO I, S. DE R.L. DE C.V",AFS1I0500211,120, ,PARQUE INDUSTRIAL AMISTAD,332720,Articulos y productos metalicos,"Produccion de tornillos, clavos, tuercas y similares","Plomo (polvos respirables, humos o vapores)",kg/año
65298bc1bb426186d9061232,Ensamble de arneses electricos y/o electronicos,2.335,2019,1,Carretera  PRESA LA AMISTAD,7439-92-1,No disponible,306011.4933,3247690.1942,26220,5,2,91,Fabricación de equipo eléctrico y electrónico y sus partes para vehículos automotores,1,No disponible,No disponible,COAHUILA,29.3433333333333,-100.998055555556,2B,29.3433333333333,"29°20'36""",-100.998055555556,CIUDAD ACUÑA,"100°59'53""",Acuña,"AEES MANUFACTURERA S DE RL DE CV,",AFM910500221,KM. 5.0 , ,PARQUE INDUSTRIAL AMISTAD,336320,"Equipos y articulos electronicos, electricos y domesticos","Produccion de aparatos, equipos y/o accesorios electricos y/o electronicos","Plomo (polvos respirables, humos o vapores)",kg/año
65298bc8bb426186d9066f23,Ensamble de arneses electricos y/o electronicos,5.3,2015,1,Carretera  PRESA LA AMISTAD,7439-92-1,No disponible,306011.4933,3247690.1942,26220,5,2,91,Fabricación de equipo eléctrico y electrónico y sus partes para vehículos automotores,1,No disponible,No disponible,COAHUILA,29.3433333333333,-100.998055555556,2B,29.3433333333333,"29°20'36""",-100.998055555556,Ciudad Acuña,"100°59'53""",Acuña,"AEES MANUFACTURERA S DE RL DE CV,",AFM910500221,KM. 5.0,No disponible,PARQUE INDUSTRIAL AMISTAD,336320,"Equipos y articulos electronicos, electricos y domesticos","Produccion de aparatos, equipos y/o accesorios electricos y/o electronicos","Plomo (polvos respirables, humos o vapores)",kg/año
