_id,aire,anio,cas,cve_ent,estado,iarc,nombre,nra,sector,sustancia,unidad,actprincipal,calle,colonia,coordenadaUTMX,coordenadaUTMY,cp,cve_mun,cveamb,descscian,entrec1,entrec2,latitudnorte,localidad,longitudoeste,municipio,numexterior,numinterior,parqueind,scian,subsector,lat,lng,calculada,enmunicipio,flat,flng
65298ba1bb426186d904956f,0,2011,7440-43-9,5,COAHUILA,1,"TOTER DE MEXICO, S DE R.L. DE C.V.",TME6E0500211,Articulos y productos plasticos,Cadmio,kg/año,FABRICACION DE PRODUCTOS PLASTICOS,BLV. INTERNACIONAL,PARQUE INTERNACIONAL,No disponible,No disponible,26269,2,6E,Fabricación de otros productos de plástico sin reforzamiento,No disponible,No disponible,"29°16'34""",ACUNA,"100°54'26""",Acuña,SN,15,PARQUE INDUSTRIAL INTERNACIONAL,326199,Fabricacion de productos y articulos de plastico,29.2761111111111,-100.907222222222,1,1,29.2761111111111,-100.907222222222
65298ba1bb426186d904981b,3.03,2018,7439-92-1,5,COAHUILA,2B,"AEES MANUFACTURERA S DE RL DE CV,",AFM910500221,"Equipos y articulos electronicos, electricos y domesticos","Plomo (polvos respirables, humos o vapores)",kg/año,Ensamble de arneses electricos y/o electronicos,Carretera  PRESA LA AMISTAD,No disponible,306011.4933,3247690.1942,26220,2,91,Fabricación de equipo eléctrico y electrónico y sus partes para vehículos automotores,No disponible,No disponible,"29°20'36""",CIUDAD ACUÑA,"100°59'53""",Acuña,KM. 5.0 , ,PARQUE INDUSTRIAL AMISTAD,336320,"Produccion de aparatos, equipos y/o accesorios electricos y/o electronicos",29.3433333333333,-100.998055555556,1,1,29.3433333333333,-100.998055555556
65298ba1bb426186d9049a6c,0,2018,7439-92-1,5,COAHUILA,2B,"BENDIX CVS DE MEXICO S.A. DE C.V.,BENDIX CVS DE MÉXICO S.A DE C.V.",BCM9L0500211,Automotriz,"Plomo (polvos respirables, humos o vapores)",kg/año,PRODUCCIÓN DE PARTES PARA EL SISTEMA DE FRENOS AUTOMOTRIZ,Carretera  PRESA LA AMISTAD KM6 MAS 500,No disponible,305409.9436,3247812.6207,26220,2,9L,Fabricación de partes de sistemas de frenos para vehículos automotrices,No disponible,No disponible,"29°20'39""",CIUDAD ACUÑA,"101°0'15""",Acuña,SN ,SN ,PARQUE INDUSTRIAL LA AMISTAD,336340,Produccion de partes para el sistema de frenos automotriz,29.3441666666667,-101.004166666667,1,1,29.3441666666667,-101.004166666667
65298ba1bb426186d904a4e2,0,2018,7440-43-9,5,COAHUILA,1,"HOWMET DE MÉXICO, S. DE R.L. DE C.V.,",HME8A0500211,Otros,Cadmio,kg/año,"Limpieza de partes metalicas, Elaboracion de moldes de cera y ceramica.",Calle CARR. PRESA LA AMISTAD,No disponible,305826.9684,3247631.2964,26220,2,1I,Otras industrias manufactureras,No disponible,No disponible,"29°20'34""",CIUDAD ACUÑA,"100°59'59""",Acuña,KM. 7.100.5 , ,PARQUE INDUSTRIAL AMISTAD,339999,Maquila de acabado y pintado de piezas metalicas y de otros materiales,29.3427777777778,-100.999722222222,1,1,29.3427777777778,-100.999722222222
65298ba8bb426186d904f209,9.3,2014,7439-92-1,5,COAHUILA,2B,"AEES MANUFACTURERA S DE RL DE CV,",AFM910500221,"Equipos y articulos electronicos, electricos y domesticos","Plomo (polvos respirables, humos o vapores)",kg/año,Ensamble de arneses electricos y/o electronicos,Carretera  PRESA LA AMISTAD,No disponible,No disponible,No disponible,26220,2,91,Fabricación de equipo eléctrico y electrónico y sus partes para vehículos automotores,No disponible,No disponible,"29°20'36""",Ciudad Acuña,"100°59'53""",Acuña,KM. 5.0 , ,PARQUE INDUSTRIAL AMISTAD,336320,"Produccion de aparatos, equipos y/o accesorios electricos y/o electronicos",29.3433333333333,-100.998055555556,1,1,29.3433333333333,-100.998055555556
65298ba9bb426186d904fb5b,3.98,2014,7440-02-0,5,COAHUILA,2B,"HOWMET DE MÉXICO, S. DE R.L. DE C.V.,",HME8A0500211,Otros,"Níquel (polvos respirables, humos o vapores)",kg/año,"Limpieza de partes metalicas, Elaboracion de moldes de cera y ceramica.",Calle CARR. PRESA LA AMISTAD,No disponible,No disponible,No disponible,26220,2,1I,Recubrimientos y terminados metálicos,No disponible,No disponible,"29°20'34""",Ciudad Acuña,"100°59'59""",Acuña,KM. 7.100.5 , ,PARQUE INDUSTRIAL AMISTAD,332810,Maquila de acabado y pintado de piezas metalicas y de otros materiales,29.3427777777778,-100.999722222222,1,1,29.3427777777778,-100.999722222222
65298ba9bb426186d904fb5c,0,2014,7440-43-9,5,COAHUILA,1,"HOWMET DE MÉXICO, S. DE R.L. DE C.V.,",HME8A0500211,Otros,Cadmio,kg/año,"Limpieza de partes metalicas, Elaboracion de moldes de cera y ceramica.",Calle CARR. PRESA LA AMISTAD,No disponible,No disponible,No disponible,26220,2,1I,Recubrimientos y terminados metálicos,No disponible,No disponible,"29°20'34""",Ciudad Acuña,"100°59'59""",Acuña,KM. 7.100.5 , ,PARQUE INDUSTRIAL AMISTAD,332810,Maquila de acabado y pintado de piezas metalicas y de otros materiales,29.3427777777778,-100.999722222222,1,1,29.3427777777778,-100.999722222222
65298baabb426186d90508d0,29.7,2016,7439-92-1,5,COAHUILA,2B,"ARCONIC FASTENING SYSTEMS & RINGS (MEXICO I), S. DE R.L. DE C.V.,ARCONIC FASTENING SYSTEMS & RINGS (MEXICO I), S. DE R.L. DE C.V",AFS1I0500211,Articulos y productos metalicos,"Plomo (polvos respirables, humos o vapores)",kg/año,Fabricación de otros productos metálicos,Calle HIDALGO,No disponible,306042.336,3247604.5485,26220,2,83,"Fabricación de tornillos, tuercas, remaches y similares",No disponible,No disponible,"29°20'33""",Ciudad Acuña,"100°59'51""",Acuña,120,No disponible,PARQUE INDUSTRIAL AMISTAD,332720,"Produccion de tornillos, clavos, tuercas y similares",29.3425,-100.9975,1,1,29.3425,-100.9975
65298baabb426186d90508d1,4.39,2016,7440-02-0,5,COAHUILA,2B,"ARCONIC FASTENING SYSTEMS & RINGS (MEXICO I), S. DE R.L. DE C.V.,ARCONIC FASTENING SYSTEMS & RINGS (MEXICO I), S. DE R.L. DE C.V",AFS1I0500211,Articulos y productos metalicos,"Níquel (polvos respirables, humos o vapores)",kg/año,Fabricación de otros productos metálicos,Calle HIDALGO,No disponible,306042.336,3247604.5485,26220,2,83,"Fabricación de tornillos, tuercas, remaches y similares",No disponible,No disponible,"29°20'33""",Ciudad Acuña,"100°59'51""",Acuña,120,No disponible,PARQUE INDUSTRIAL AMISTAD,332720,"Produccion de tornillos, clavos, tuercas y similares",29.3425,-100.9975,1,1,29.3425,-100.9975
65298babbb426186d9051409,0,2016,7440-02-0,5,COAHUILA,2B,"HOWMET DE MÉXICO, S. DE R.L. DE C.V.,",HME8A0500211,Otros,"Níquel (polvos respirables, humos o vapores)",kg/año,"Limpieza de partes metalicas, Elaboracion de moldes de cera y ceramica.",Calle CARR. PRESA LA AMISTAD,No disponible,305826.9684,3247631.2964,26220,2,1I,Otras industrias manufactureras,No disponible,No disponible,"29°20'34""",Ciudad Acuña,"100°59'59""",Acuña,KM. 7.100.5,No disponible,PARQUE INDUSTRIAL AMISTAD,339999,Maquila de acabado y pintado de piezas metalicas y de otros materiales,29.3427777777778,-100.999722222222,1,1,29.3427777777778,-100.999722222222
