_id	aire	anio	cas	cve_ent	estado	iarc	nombre	nra	sector	sustancia	unidad	actprincipal	calle	colonia	coordenadaUTMX	coordenadaUTMY	cp	cve_mun	cveamb	descscian	entrec1	entrec2	latitudnorte	localidad	longitudoeste	municipio	numexterior	numinterior	parqueind	scian	subsector	lat	lng	calculada	enmunicipio	flat	flng
65298ba1bb426186d904981b	3.03	2018	7439-92-1	5	COAHUILA	2B	AEES MANUFACTURERA S DE RL DE CV,	AFM910500221	Equipos y articulos electronicos, electricos y domesticos	Plomo (polvos respirables, humos o vapores)	kg/año	Ensamble de arneses electricos y/o electronicos	Carretera  PRESA LA AMISTAD	No disponible	306011.4933	3247690.1942	26220	2	91	Fabricación de equipo eléctrico y electrónico y sus partes para vehículos automotores	No disponible	No disponible	"29°20'36"""	CIUDAD ACUÑA	"100°59'53"""	Acuña	KM. 5.0 	 	PARQUE INDUSTRIAL AMISTAD	336320	Produccion de aparatos, equipos y/o accesorios electricos y/o electronicos	29.3433333333333	-100.998055555556	1	1	29.3433333333333	-100.998055555556
65298ba8bb426186d904f209	9.3	2014	7439-92-1	5	COAHUILA	2B	AEES MANUFACTURERA S DE RL DE CV,	AFM910500221	Equipos y articulos electronicos, electricos y domesticos	Plomo (polvos respirables, humos o vapores)	kg/año	Ensamble de arneses electricos y/o electronicos	Carretera  PRESA LA AMISTAD	No disponible	No disponible	No disponible	26220	2	91	Fabricación de equipo eléctrico y electrónico y sus partes para vehículos automotores	No disponible	No disponible	"29°20'36"""	Ciudad Acuña	"100°59'53"""	Acuña	KM. 5.0 	 	PARQUE INDUSTRIAL AMISTAD	336320	Produccion de aparatos, equipos y/o accesorios electricos y/o electronicos	29.3433333333333	-100.998055555556	1	1	29.3433333333333	-100.998055555556
65298ba9bb426186d904fb5b	3.98	2014	7440-02-0	5	COAHUILA	2B	HOWMET DE MÉXICO, S. DE R.L. DE C.V.,	HME8A0500211	Otros	Níquel (polvos respirables, humos o vapores)	kg/año	Limpieza de partes metalicas, Elaboracion de moldes de cera y ceramica.	Calle CARR. PRESA LA AMISTAD	No disponible	No disponible	No disponible	26220	2	1I	Recubrimientos y terminados metálicos	No disponible	No disponible	"29°20'34"""	Ciudad Acuña	"100°59'59"""	Acuña	KM. 7.100.5 	 	PARQUE INDUSTRIAL AMISTAD	332810	Maquila de acabado y pintado de piezas metalicas y de otros materiales	29.3427777777778	-100.999722222222	1	1	29.3427777777778	-100.999722222222
65298baabb426186d90508d0	29.7	2016	7439-92-1	5	COAHUILA	2B	ARCONIC FASTENING SYSTEMS & RINGS (MEXICO I), S. DE R.L. DE C.V.,ARCONIC FASTENING SYSTEMS & RINGS (MEXICO I), S. DE R.L. DE C.V	AFS1I0500211	Articulos y productos metalicos	Plomo (polvos respirables, humos o vapores)	kg/año	Fabricación de otros productos metálicos	Calle HIDALGO	No disponible	306042.336	3247604.5485	26220	2	83	Fabricación de tornillos, tuercas, remaches y similares	No disponible	No disponible	"29°20'33"""	Ciudad Acuña	"100°59'51"""	Acuña	120	No disponible	PARQUE INDUSTRIAL AMISTAD	332720	Produccion de tornillos, clavos, tuercas y similares	29.3425	-100.9975	1	1	29.3425	-100.9975
65298baabb426186d90508d1	4.39	2016	7440-02-0	5	COAHUILA	2B	ARCONIC FASTENING SYSTEMS & RINGS (MEXICO I), S. DE R.L. DE C.V.,ARCONIC FASTENING SYSTEMS & RINGS (MEXICO I), S. DE R.L. DE C.V	AFS1I0500211	Articulos y productos metalicos	Níquel (polvos respirables, humos o vapores)	kg/año	Fabricación de otros productos metálicos	Calle HIDALGO	No disponible	306042.336	3247604.5485	26220	2	83	Fabricación de tornillos, tuercas, remaches y similares	No disponible	No disponible	"29°20'33"""	Ciudad Acuña	"100°59'51"""	Acuña	120	No disponible	PARQUE INDUSTRIAL AMISTAD	332720	Produccion de tornillos, clavos, tuercas y similares	29.3425	-100.9975	1	1	29.3425	-100.9975
65298badbb426186d9052280	9.39	2017	7439-92-1	5	COAHUILA	2B	AEES MANUFACTURERA S DE RL DE CV,	AFM910500221	Equipos y articulos electronicos, electricos y domesticos	Plomo (polvos respirables, humos o vapores)	kg/año	Ensamble de arneses electricos y/o electronicos	Carretera  PRESA LA AMISTAD	No disponible	306011.4933	3247690.1942	26220	2	91	Fabricación de equipo eléctrico y electrónico y sus partes para vehículos automotores	No disponible	No disponible	"29°20'36"""	CIUDAD ACUÑA	"100°59'53"""	Acuña	KM. 5.0 	 	PARQUE INDUSTRIAL AMISTAD	336320	Produccion de aparatos, equipos y/o accesorios electricos y/o electronicos	29.3433333333333	-100.998055555556	1	1	29.3433333333333	-100.998055555556
65298bbdbb426186d905e10d	8.02	2020	7439-92-1	5	COAHUILA	2B	AEES MANUFACTURERA S DE RL DE CV,	AFM910500221	Equipos y articulos electronicos, electricos y domesticos	Plomo (polvos respirables, humos o vapores)	kg/año	Ensamble de arneses electricos y/o electronicos	Carretera  PRESA LA AMISTAD	No disponible	306011.4933	3247690.1942	26220	2	91	Fabricación de equipo eléctrico y electrónico y sus partes para vehículos automotores	No disponible	No disponible	"29°20'36"""	CIUDAD ACUÑA	"100°59'53"""	Acuña	KM. 5.0 	 	PARQUE INDUSTRIAL AMISTAD	336320	Produccion de aparatos, equipos y/o accesorios electricos y/o electronicos	29.3433333333333	-100.998055555556	1	1	29.3433333333333	-100.998055555556
65298bbfbb426186d905ee01	1.73	2020	7439-92-1	5	COAHUILA	2B	HOWMET FASTENING SYSTEMS MEXICO I, S. DE R.L. DE C.V.,HOWMET FASTENING SYSTEMS MEXICO I, S. DE R.L. DE C.V	AFS1I0500211	Articulos y productos metalicos	Plomo (polvos respirables, humos o vapores)	kg/año	Fabricación de otros productos metálicos	Calle HIDALGO	No disponible	306042.336	3247604.5485	26220	2	83	Fabricación de tornillos, tuercas, remaches y similares	No disponible	No disponible	"29°20'33"""	CIUDAD ACUÑA	"100°59'51"""	Acuña	120	 	PARQUE INDUSTRIAL AMISTAD	332720	Produccion de tornillos, clavos, tuercas y similares	29.3425	-100.9975	1	1	29.3425	-100.9975
65298bc1bb426186d9061232	2.335	2019	7439-92-1	5	COAHUILA	2B	AEES MANUFACTURERA S DE RL DE CV,	AFM910500221	Equipos y articulos electronicos, electricos y domesticos	Plomo (polvos respirables, humos o vapores)	kg/año	Ensamble de arneses electricos y/o electronicos	Carretera  PRESA LA AMISTAD	No disponible	306011.4933	3247690.1942	26220	2	91	Fabricación de equipo eléctrico y electrónico y sus partes para vehículos automotores	No disponible	No disponible	"29°20'36"""	CIUDAD ACUÑA	"100°59'53"""	Acuña	KM. 5.0 	 	PARQUE INDUSTRIAL AMISTAD	336320	Produccion de aparatos, equipos y/o accesorios electricos y/o electronicos	29.3433333333333	-100.998055555556	1	1	29.3433333333333	-100.998055555556
65298bc8bb426186d9066f23	5.3	2015	7439-92-1	5	COAHUILA	2B	AEES MANUFACTURERA S DE RL DE CV,	AFM910500221	Equipos y articulos electronicos, electricos y domesticos	Plomo (polvos respirables, humos o vapores)	kg/año	Ensamble de arneses electricos y/o electronicos	Carretera  PRESA LA AMISTAD	No disponible	306011.4933	3247690.1942	26220	2	91	Fabricación de equipo eléctrico y electrónico y sus partes para vehículos automotores	No disponible	No disponible	"29°20'36"""	Ciudad Acuña	"100°59'53"""	Acuña	KM. 5.0	No disponible	PARQUE INDUSTRIAL AMISTAD	336320	Produccion de aparatos, equipos y/o accesorios electricos y/o electronicos	29.3433333333333	-100.998055555556	1	1	29.3433333333333	-100.998055555556
65298bcebb426186d906b523	36.79	2012	7440-43-9	5	COAHUILA	1	ALCOA FASTENING SYSTEMS MEXICO I S DE RL DE CV	AFS1I0500211	Articulos y productos metalicos	Cadmio	kg/año	MAQUILADO DE PIEZAS METALICAS	HIDALGO	PARQUE INDUSTRIAL	No disponible	No disponible	26220	2	7X	Fabricación de otros productos metálicos.	CARRETERA PRESA AMISTAD	MEXICO	"29°20'34"""	Acuna	"100°59'51"""	Acuña	120	23	PARQUE INDUSTRIAL AMISTAD	332999	No disponible	29.3427777777778	-100.9975	1	1	29.3427777777778	-100.9975
65298ba1bb426186d9049da7	699.75	2018	7440-38-2	5	COAHUILA	1	CFE GENERACIÓN VI,CFE GENERACIÓN VI CENTRAL TERMOELÉCTRICA JOSÉ LÓPEZ PORTILLO	CGV0502200023	Generación de energía eléctrica	Arsénico	kg/año	GENERACIÓN DE ENERGÍA ELÉCTRICA	Carretera  FEDERAL 57 KM 27.5	No disponible	334387.8057	3152258.7753	26170	22	AD	Generación, transmisión y distribución de energía eléctrica	No disponible	No disponible	"28°29'11"""	NAVA	"100°41'30"""	Nava	S/N 	 	NAVA 	221110	Generacion y transmision de energia electrica	28.4863888888889	-100.691666666667	1	1	28.4863888888889	-100.691666666667
65298ba1bb426186d9049da9	2218.74	2018	71-43-2	5	COAHUILA	1	CFE GENERACIÓN VI,CFE GENERACIÓN VI CENTRAL TERMOELÉCTRICA JOSÉ LÓPEZ PORTILLO	CGV0502200023	Generación de energía eléctrica	Benceno	kg/año	GENERACIÓN DE ENERGÍA ELÉCTRICA	Carretera  FEDERAL 57 KM 27.5	No disponible	334387.8057	3152258.7753	26170	22	AD	Generación, transmisión y distribución de energía eléctrica	No disponible	No disponible	"28°29'11"""	NAVA	"100°41'30"""	Nava	S/N 	 	NAVA 	221110	Generacion y transmision de energia electrica	28.4863888888889	-100.691666666667	1	1	28.4863888888889	-100.691666666667
65298ba1bb426186d9049daa	87.04	2018	7440-43-9	5	COAHUILA	1	CFE GENERACIÓN VI,CFE GENERACIÓN VI CENTRAL TERMOELÉCTRICA JOSÉ LÓPEZ PORTILLO	CGV0502200023	Generación de energía eléctrica	Cadmio	kg/año	GENERACIÓN DE ENERGÍA ELÉCTRICA	Carretera  FEDERAL 57 KM 27.5	No disponible	334387.8057	3152258.7753	26170	22	AD	Generación, transmisión y distribución de energía eléctrica	No disponible	No disponible	"28°29'11"""	NAVA	"100°41'30"""	Nava	S/N 	 	NAVA 	221110	Generacion y transmision de energia electrica	28.4863888888889	-100.691666666667	1	1	28.4863888888889	-100.691666666667
65298ba1bb426186d9049dab	409.61	2018	50-00-0	5	COAHUILA	1	CFE GENERACIÓN VI,CFE GENERACIÓN VI CENTRAL TERMOELÉCTRICA JOSÉ LÓPEZ PORTILLO	CGV0502200023	Generación de energía eléctrica	Formaldehido	kg/año	GENERACIÓN DE ENERGÍA ELÉCTRICA	Carretera  FEDERAL 57 KM 27.5	No disponible	334387.8057	3152258.7753	26170	22	AD	Generación, transmisión y distribución de energía eléctrica	No disponible	No disponible	"28°29'11"""	NAVA	"100°41'30"""	Nava	S/N 	 	NAVA 	221110	Generacion y transmision de energia electrica	28.4863888888889	-100.691666666667	1	1	28.4863888888889	-100.691666666667
65298ba1bb426186d9049dae	477.88	2018	7440-02-0	5	COAHUILA	2B	CFE GENERACIÓN VI,CFE GENERACIÓN VI CENTRAL TERMOELÉCTRICA JOSÉ LÓPEZ PORTILLO	CGV0502200023	Generación de energía eléctrica	Níquel (polvos respirables, humos o vapores)	kg/año	GENERACIÓN DE ENERGÍA ELÉCTRICA	Carretera  FEDERAL 57 KM 27.5	No disponible	334387.8057	3152258.7753	26170	22	AD	Generación, transmisión y distribución de energía eléctrica	No disponible	No disponible	"28°29'11"""	NAVA	"100°41'30"""	Nava	S/N 	 	NAVA 	221110	Generacion y transmision de energia electrica	28.4863888888889	-100.691666666667	1	1	28.4863888888889	-100.691666666667
65298ba1bb426186d9049daf	716.82	2018	7439-92-1	5	COAHUILA	2B	CFE GENERACIÓN VI,CFE GENERACIÓN VI CENTRAL TERMOELÉCTRICA JOSÉ LÓPEZ PORTILLO	CGV0502200023	Generación de energía eléctrica	Plomo (polvos respirables, humos o vapores)	kg/año	GENERACIÓN DE ENERGÍA ELÉCTRICA	Carretera  FEDERAL 57 KM 27.5	No disponible	334387.8057	3152258.7753	26170	22	AD	Generación, transmisión y distribución de energía eléctrica	No disponible	No disponible	"28°29'11"""	NAVA	"100°41'30"""	Nava	S/N 	 	NAVA 	221110	Generacion y transmision de energia electrica	28.4863888888889	-100.691666666667	1	1	28.4863888888889	-100.691666666667
