CLAVE PARÁMETRO	NOMBRE PARÁMETRO	UNIDAD DE MEDIDA
ALC_FEN	Alcalinidad a la Fenoftaleína	mg CaCO3/L
ALC_TOT	Alcalinidad Total	mg CaCO3/L
CO3	Carbonatos	mg CaCO3/L
HCO3	Bicarbonatos	mg CaCO3/L
OH	Hidroxilos	mg CaCO3/L
CLOROF_A	Clorofila A	mg/m3
COLI_FEC	Coliformes Fecales	NMP/100 mL
COLI_TOT	Coliformes Totales	NMP/100 mL
E_COLI	Escherichia coli	NMP/100 mL
COT	Carbono Orgánico Total	mg/L
COT_SOL	Carbono Orgánico Soluble	mg/L
DBO_SOL	Demanda Bioquímica de Oxígeno Soluble	mg/L
DBO_TOT	Demanda Bioquímica de Oxígeno Total	mg/L
DQO_SOL	Demanda Química de Oxígeno Soluble	mg/L
DQO_TOT	Demanda Química de Oxígeno Total	mg/L
N_NH3	Nitrógeno Amoniacal	mg/L
N_NO2	Nitrógeno de Nitritos	mg/L
N_NO3	Nitrógeno de Nitratos	mg/L
N_ORG	Nitrógeno Orgánico	mg/L
N_TOT	Nitrógeno Total (Cálculo)	mg/L
N_TOTK	Nitrógeno Kjeldahl	mg/L
TOX_D_48_UT	Toxicidad Daphnia magna, 48 h	UT
TOX_D_48_SUP_UT	Toxicidad Daphnia magna, Superficial, 48 h	UT
TOX_D_48_FON_UT	Toxicidad Daphnia magna, Fondo, 48 h	UT
TOX_FIS_SUP_15_UT	Toxicidad Vibrio fischeri Superficial, 15min	UT
TOX_FIS_SUP_30_UT	Toxicidad Vibrio fischeri Superficial, 30min	UT
TOX_FIS_SUP_5_UT	Toxicidad Vibrio fischeri Superficial, 5min	UT
TOX_FIS_FON_15_UT	Toxicidad Vibrio fischeri Fondo, 15min	UT
TOX_FIS_FON_30_UT	Toxicidad Vibrio fischeri Fondo, 30min	UT
TOX_FIS_FON_5_UT	Toxicidad Vibrio fischeri Fondo, 5min	UT
TOX_V_15_UT	Toxicidad Vibrio fischeri 15min UT	UT
TOX_V_30_UT	Toxicidad Vibrio fischeri, 30min	UT
TOX_V_5_UT	Toxicidad Vibrio fischeri 5min UT	UT
AOXF	Halógeno Orgánico Absorbible Fijo (AOXF)	mg/L
P_TOT	Fósforo Total	mg/L
PO4_TOT	Fosfatos Totales (a partir de P total)	mg/L
ORTO_PO4	Fósforo Reactivo total (o-fosfatos)	mg/l
COLOR_VER	Color Verdadero	U Pt/Co
TRANSPARENCIA	Transparencia disco de Secchi	m
ABS_UV	Absorción UV	U Abs/cm
SDT	Sólidos Disueltos Totales (Cálculo)	mg/L
CONDUC_CAMPO	Conductividad eléctrica	µS/cm
CONDUC_CAMPO_SUP	Conductividad eléctrica superficie	µS/cm
CONDUC_CAMPO_MED	Conductividad eléctrica media	µS/cm
CONDUC_CAMPO_FON	Conductividad eléctrica fondo	µS/cm
pH_CAMPO	Potencial de Hidrógeno	UpH
pH_CAMPO_SUP	Potencial de Hidrógeno superficie	UpH
pH_CAMPO_MED	Potencial de Hidrógeno media	UpH
pH_CAMPO_FON	Potencial de Hidrógeno fondo	UpH
SALINIDAD_SUP	Salinidad superficie	%o
SALINIDAD_MED	Salinidad media	%o
SALINIDAD_FON	Salinidad fondo	%o
OD_%	Oxígeno Disuelto_%	% Saturación
OD_mg/L	Oxígeno Disuelto	mg/L
OD_%_SUP	Oxígeno Disuelto superficie_%	% Saturación
OD_mg/L_SUP	Oxígeno Disuelto superficie	mg/L
OD_%_MED	Oxígeno Disuelto media_%	% Saturación
OD_mg/L_MED	Oxígeno Disuelto media	mg/L
OD_%_FON	Oxígeno Disuelto fondo_%	% Saturación
OD_mg/L_FON	Oxígeno Disuelto fondo	mg/L
1,1,1,2_TTCETA	1,1,1,2-Tetracloroetano	mg/L
1,1,2,2_TETRACLETAN	1,1,2,2-Tetracloroetano	mg/L
1,1,2_TCETA	1,1,2-Tricloroetano	mg/L
1,1_DICLETILEN	1,1-Dicloroetileno	mg/L
1,2,4_TRICLBENCEN	1,2,4-Triclorobenceno	mg/L
1,2_DIBR_3_CLPROPAN	1,2-Dibromo-3-Cloropropano (DBCP)	mg/L
1,2_DICLETAN	1,2-Dicloroetano	mg/L
1,2_DICLPROPAN	1,2-Dicloropropano	mg/L
1,2_DIFENILHIDRACINA	1,2-Difenilhidracina	mg/L
1_C_NAF	1-Cloronaftaleno	mg/L
2,3_DICLOROFENOL_DCF	2,3-Diclorofenol	mg/L
2,4,5_T	2,4,5-T	mg/L
2,4,5_TRICLOROFENOL	2,4,5-Triclorofenol	mg/L
2,4,6_TRICLFENOL	2,4,6-Triclorofenol	mg/L
2,4_D_D_C_FENOXIACETICO	2,4-Diclorofenoxiacetico	mg/L
2,4_DICLFENOL	2,4-Diclorofenol	mg/L
2,4_DIMETILFEN	2,4-Dimetilfenol	mg/L
2,4_DINITOL	2,4-Dinitrotolueno	mg/L
2,4_DNF	2,4-Dinitrofenol	mg/L
2,6_DINTOL	2,6-Dinitrotolueno	mg/L
2_CEVE	2-Cloroetilvinil Éter	mg/L
2_CF	2-Clorofenol	mg/L
2_CLNAFT	2-Cloronaftaleno	mg/L
2_NIFENOL	2-Nitrofenol	mg/L
4_BRFENFENETER	4-Bromofenil Fenil Éter	mg/L
4_NITROFENOL	4-Nitrofenol	mg/L
ACENAF	Acenafteno	mg/L
ACENAFTIL	Acenaftileno	mg/L
ANTRA	Antraceno	mg/L
BEN_A_ANT	Benzo(A)Antraceno	mg/L
BEN_A_PIR	Benzo(A)Pireno	mg/L
BEN_B_FANT	Benzo(B)Fluoranteno	mg/L
BEN_G,H,I_PER	Benzo(GHI)Perileno	mg/L
BEN_K_FANT	Benzo(K)Fluoranteno	mg/L
CRISENO	Criseno	mg/L
DIBEN_ANT	Dibenzo(AH)Antraceno	mg/L
FENANTRENO	Fenantreno	mg/L
FLUORANTENO	Fluoranteno	mg/L
FLUORENO	Fluoreno	mg/L
IND_PIR	Indeno (1,2,3-CD) Pireno	mg/L
NAFTALENO	Naftaleno	mg/L
PIRENO	Pireno	mg/L
HAPS	Total de hidrocarburos poliaromáticos	mg/L
ACRILONITRILO	Acrilonitrilo	mg/L
ACROLEINA	Acroleina	mg/L
AL_TOT	Aluminio Total	mg/L
ALACLOR	Alaclor	mg/L
ALDICARB	Aldicarb	mg/L
ALDRIN	Aldrín	mg/L
ATRAZINA	Atrazina	mg/L
B_TOT	Boro Total	mg/L
B2_ETILHEXIL_FTALATO	Bis (2-Etilhexil) Ftalato	mg/L
BA_TOT	Bario Total	mg/L
BE_TOT	Berilio Total	mg/L
BENCENO	Benceno	mg/L
BENCIDINA	Bencidina	mg/L
BIS2_CLETETER	Bis (2-Cloroetil) Éter	mg/L
BIS2_CLIOISOPET	Bis (2-Cloroisopropil) Éter	mg/L
BOLSTAR	Bolstar	mg/L
BPCS	Bifenilos Policlorados	mg/L
BR_CLMET	Bromoclorometano	mg/L
BROMOMETANO	Bromometano	mg/L
CARBOFURANO	Carbofurano	mg/L
CIS_1,2_DICLETEN	Cis-1,2-Dicloroetileno	mg/L
CL_BENC	Clorobenceno	mg/L
CL_METILENO	Cloruro de Metileno	mg/L
CL_RES	Cloro Residual	mg/L
CLORATALONIL	Clorotalonil	mg/L
CLORDANO	CLORDANO	mg/L
CLOROMETANO	Clorometano	mg/L
CLOROTOLURON	Clorotoluron	mg/L
CLORPIRYFOS	Clorpiryfos	mg/L
CLORURO_DE_VINILO	Cloruro de Vinilo	mg/L
CLORUROS_TOT	Cloruros Totales	mg/L
COUMAFOS	Coumafos	mg/L
CR_HEX	Cromo Hexavalente	mg/L
CYANACINA	Cyanacina	mg/L
DALAPON	Dalapon	mg/L
DDD	DDD	mg/L
DDE	DDE	mg/L
DDT	DDT	mg/L
DELTAMETRINA	Deltametrina	mg/L
DEMETON_S	Demeton-S	mg/L
DI_2_ETILEXIL_ADIPATO	Di (2 Etilexil) Adipato	mg/L
DIAZINON	Diazinon	mg/L
DICAMBA	Dicamba	mg/L
DICLORVOS	Diclorvos	mg/L
DIELDRIN	Dieldrín	mg/L
DIET_FTAL	Dietilftalato	mg/L
DIMETIL_FTAL	Dimetilftalato	mg/L
DIMETOATO	Dimetoato	mg/L
DINITRO_O_CRESOL	Dinitro-o-Cresol	mg/L
DINOSEB	Dinoseb	mg/L
DIURON	Diuron	mg/L
END_ALD	Endrín Aldehído	mg/L
ENDO_SUL	Endosulfan (Endosulfano)	mg/L
ALFA_ENDO	Alfa-Endosulfan	mg/L
BETA_ENDO	Beta-Endosulfan	mg/L
ENDO_SULSO4	Endosulfan sulfato	mg/L
ENDRIN	Endrín	mg/L
ENTEROC_FEC	Enterococos Fecales	NMP/100 mL
EPN	EPN	mg/L
ESTIRENO	Estireno	mg/L
ETILBENCENO	Etilbenceno	mg/L
ETOPROP	Etoprop	mg/L
FE_TOT	Fierro Total	mg/L
FENITROTION	Fenitrotion	mg/L
FENOL	Fenol	mg/L
FENOLES_TOT	Fenoles Totales	mg/L
FENSULFOTION	Fensulfotión	mg/L
FENTION	Fentión	mg/L
FLUORUROS_TOT	Fluoruros Totales	mg/L
FORATO	Forato	mg/L
GLIFOSATO	Glifosato	mg/L
GRAS_ACEI	Grasas y Aceites	mg/L
H_HELMINTOS	Huevos de Helminto	No. de huevos / 5 L
HEPTA_EPOX	Heptacloro epóxido	mg/L
HEPTACLOR	Heptacloro	mg/L
HEXACL_BENC	Hexaclorobenceno	mg/L
HEXACL_BUT	Hexaclorobutadieno	mg/L
HEXACL_CICLOPEN	Hexaclorociclopentadieno	mg/L
HEXACL_ETANO	Hexacloroetano	mg/L
ISO_FOR	Isoforona	mg/L
ISOPROTURON	Isoproturon	mg/L
K_TOT	Potasio Total	mg/L
LINURON	Linuron	mg/L
MALATION	Malatión	mg/L
MAT_FLOTANTE	MATERIA FLOTANTE	AUSENTE/PRESENTE
MCPA	MCPA	mg/L
MERFOS	Merfos	mg/L
METIL_AZINF_GUT	Metilazinfos (Gution)	mg/L
METILPARATION	Metilparatión	mg/L
METILTERBUTILETER_MTBE_	Metilterbutiléter (MTBE)	mg/L
METOLACLOR	Metolaclor	mg/L
METOXICLO	Metoxicloro	mg/L
MEVINFOS	Mevinfos	mg/L
MIREX	Mirex	mg/L
MN_TOT	Manganeso Total	mg/L
MO_TOT	Molibdeno Total	mg/L
MOLINATO	Molinato	mg/L
N_NITROS_DIMETILA	N-Nitrosodimetilamina	mg/L
N_NITROS_N_PROPAM	N-Nitrosodi-N-Propilamina	mg/L
N_NITROSODIFENILAMINA	N-Nitrosodifenilamina	mg/L
NA_TOT	Sodio Total	mg/L
NITROBENCENO	Nitrobenceno	mg/L
OXAMIL	Oxamil	mg/L
PARATION	Paratión	mg/L
PCBEN	Pentaclorobenceno	mg/L
PENDIMETALIN	Pendimetalin	mg/L
PENTACLOROFENOL	Pentaclorofenol	mg/L
PICLORAN	Picloran	mg/L
PIRYPROXYFEN	Piryproxyfen	mg/L
RONNEL	Ronnel	mg/L
SAAM	Sustancias Activas al Azul de Metileno	mg/L
SB_TOT	Antimonio Total	mg/L
SE_TOT	Selenio Total	mg/L
SILVEX	Silvex	mg/L
SIMAZINA	Simazina	mg/L
SIO2	Silica Total (SiO2)	mg/L
SO4_TOT	Sulfatos Totales	mg/L
SOLID_SED	Sólidos Sedimentables	mL/L
SST	Sólidos Suspendidos Totales	mg/L
SULFOTEP	Sulfotep	mg/L
SULFUROS_TOT	Sulfuros (H2S)	mg/L
TALIO	Talio Total	mg/L
TERBUFOS	Terbufos	mg/L
TERBUTILAZINA	Terbutilazina	mg/L
TETRACL_CARB	Tetracloruro de Carbono	mg/L
TETRACLOROETILENO_	Tetracloroeteno (Tetracloroetileno)	mg/L
TOKUTION	Tokutión	mg/L
TOLUENO	Tolueno	mg/L
TOXAFENO	Toxafeno	mg/L
TRANS_1,2_DICLOROETILENO	Trans-1,2-Dicloroetileno	mg/L
TRIALATO	Trialato	mg/L
TRICLORANATO	Tricloranato	mg/L
TRICLORFON	Triclorfon	mg/L
TRICLOROETILENO	Tricloroetileno	mg/L
TRICLOROFLUOROMETANO	Triclorofluorometano	mg/L
TRIFLURALIN	Trifluralin	mg/L
TURBIEDAD	Turbiedad	UNT
AS_TOT	Arsénico Total	mg/L
CD_TOT	Cadmio Total	mg/L
CR_TOT	Cromo Total	mg/L
HG_TOT	Mercurio Total	mg/L
NI_TOT	Níquel Total	mg/L
PB_TOT	Plomo Total	mg/L
CN_TOT	Cianuros Totales	mg/L
CU_TOT	Cobre Total	mg/L
ZN_TOT	Zinc Total	mg/L
POT_REDOX_CAMPO	Potencial REDOX	mV
POT_REDOX_CAMPO_FON	Potencial REDOX fondo	mV
POT_REDOX_CAMPO_MED	Potencial REDOX media	mV
POT_REDOX_CAMPO_SUP	Potencial REDOX superficie	mV
ACENAF_8310	Acenafteno_8310	mg/L
ACENAFTIL_8310	Acenaftileno_8310	mg/L
ANTRA_8310	Antraceno_8310	mg/L
BEN_A_ANT_8310	Benzo(A)Antraceno_8310	mg/L
BEN_A_PIR_8310	Benzo(A)Pireno_8310	mg/L
BEN_B_FANT_8310	Benzo(B)Fluoranteno_8310	mg/L
BEN_G,H,I_PER_8310	Benzo(GHI)Perileno_8310	mg/L
BEN_K_FANT_8310	Benzo(K)Fluoranteno_8310	mg/L
CRISENO_8310	Criseno_8310	mg/L
DIBEN_ANT_8310	Dibenzo(AH)Antraceno_8310	mg/L
FENANTRENO_8310	Fenantreno_8310	mg/L
FLUORANTENO_8310	Fluoranteno_8310	mg/L
FLUORENO_8310	Fluoreno_8310	mg/L
IND_PIR_8310	Indeno (1,2,3-CD) Pireno_8310	mg/L
NAFTALENO_8310	Naftaleno_8310	mg/L
PIRENO_8310	Pireno_8310	mg/L
HAPS_8310	Total de hidrocarburos poliaromáticos	mg/L
1,2_DICLBENC	1,2-Diclorobenceno	mg/L
1,3_DICLBEN	1,3-Diclorobenceno	mg/L
1,4_DICLBEN	1,4-Diclorobenceno	mg/L
DICLOROBENCENOS	Diclorobencenos (Mezcla de Isomeros)	mg/L
BR_DICLMET	Bromodiclorometano	mg/L
BROMOF	Bromoformo	mg/L
CLOROFORMO	Cloroformo	mg/L
DIBR_CLMET	Dibromoclorometano	mg/L
THMs	Trihalometanos Totales	mg/L
M,P_XILENO	m,p-Xilenos	mg/L
O_XILENO	o-Xileno	mg/L
XILEN_ISOMEROS	Mezcla de Isómeros de Xilenos	mg/L
ALFA_BHC	Alfa-BHC	mg/L
BETA_BHC	Beta-BHC	mg/L
GAMA_BHC_LIN	Gama-BHC (Lindano)	mg/L
DELTA_BHC	Delta-BHC	mg/L
BHC_ISOMEROS	Mezcla de Isómeros BHC	mg/L
CA_TOT	Calcio Total	mg/L
MG_TOT	Magnesio Total	mg/L
DUR_TOT	Dureza Total	mg CaCO3/L
TEMP_AMB	Temperatura ambiente	°C
TEMP_AGUA	Temperatura agua	°C
TEMP_AGUA_SUP	Temperatura agua superficie	°C
TEMP_AGUA_MED	Temperatura agua media	°C
TEMP_AGUA_FON	Temperatura agua fondo	°C
TEMP_AGUA_0.5	Temperatura Prof. 0.5 m.	°C
TEMP_AGUA_1	Temperatura Prof. 1 m.	°C
TEMP_AGUA_2	Temperatura Prof. 2 m.	°C
TEMP_AGUA_3	Temperatura Prof. 3 m.	°C
TEMP_AGUA_4	Temperatura Prof. 4 m.	°C
TEMP_AGUA_5	Temperatura Prof. 5 m.	°C
TEMP_AGUA_6	Temperatura Prof. 6 m.	°C
TEMP_AGUA_7	Temperatura Prof. 7 m.	°C
TEMP_AGUA_8	Temperatura Prof. 8 m.	°C
TEMP_AGUA_9	Temperatura Prof. 9 m.	°C
TEMP_AGUA_10	Temperatura Prof. 10 m.	°C
TEMP_AGUA_11	Temperatura Prof. 11 m.	°C
TEMP_AGUA_12	Temperatura Prof. 12 m.	°C
TEMP_AGUA_13	Temperatura Prof. 13 m.	°C
TEMP_AGUA_14	Temperatura Prof. 14 m.	°C
TEMP_AGUA_15	Temperatura Prof. 15 m.	°C
TEMP_AGUA_16	Temperatura Prof. 16 m.	°C
TEMP_AGUA_17	Temperatura Prof. 17 m.	°C
TEMP_AGUA_18	Temperatura Prof. 18 m.	°C
TEMP_AGUA_19	Temperatura Prof. 19 m.	°C
TEMP_AGUA_20	Temperatura Prof. 20 m.	°C
TEMP_AGUA_21	Temperatura Prof. 21 m.	°C
TEMP_AGUA_22	Temperatura Prof. 22 m.	°C
