cas,sustancia,Clave Entidad,Entidad,Aire,Agua,Suelo,Alcant.,Coproc.,Disp. F.,Inciner.,Otros,Reciclado,Reutiliza.,Tratamien.
As,Arsénico (Compuestos solubles),1,Aguascalientes,0.0,0.0233261,0.036983199999999994,0.0587357,0.0,0.0,0.0,0.033152299999999996,0.0,0.0,0.0
As,Arsénico (Compuestos solubles),2,Baja California,0.0,97.1501265,0.0123491,0.0739619,0.0,0.0,0.0,0.077134,0.0,0.0,0.0
As,Arsénico (Compuestos solubles),3,Baja California Sur,0.0,25.3402451,0.0690286,0.0111994,0.0,0.0,0.0,0.0018804000000000002,0.0,0.0,0.0
As,Arsénico (Compuestos solubles),4,Campeche,0.0,2.4430825767,0.15311750000000002,0.0,0.0,0.0,0.0,1.7723662,0.0,0.0,0.0
As,Arsénico (Compuestos solubles),5,Coahuila de Zaragoza,0.172,1.4081817,0.284489886553,4.699717798825,0.0,1.507097771546,0.0,0.3331177548,0.00724,0.0,0.0018645
As,Arsénico (Compuestos solubles),6,Colima,0.0,11.084356,0.0433641,0.001786778,0.0,0.0,0.0,1.8759955,0.0,0.0,0.0
As,Arsénico (Compuestos solubles),7,Chiapas,0.0,2.7011608000000003,0.0094054,0.0,0.0,0.0,0.0,0.022008,0.0,0.0,0.0
As,Arsénico (Compuestos solubles),8,Chihuahua,0.0028027837,0.7065688709,2.2768027,0.08030159999999999,0.0070214,231.78026200000002,0.0,0.1919752,0.0010273,0.0,8.200000000000001e-06
As,Arsénico (Compuestos solubles),9,Ciudad de México,0.0,2.298e-06,0.0011058,0.1458349245,14.04,129.4179415477,0.0,0.0,0.2622,0.0,7.5e-05
As,Arsénico (Compuestos solubles),10,Durango,0.010024480047306,2.57358134,3.636003,0.0353579,0.0,0.0,0.0,0.7043101,0.0,0.0,0.0
As,Arsénico (Compuestos solubles),11,Guanajuato,0.0,0.9356485,0.5465525999999999,0.194147,0.0,1.7500000000000002e-05,0.0,0.8527518,0.0,0.0,0.0
As,Arsénico (Compuestos solubles),12,Guerrero,0.0,172.9156651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
As,Arsénico (Compuestos solubles),13,Hidalgo,0.001129,13.8025578126,0.0031726000000000002,0.0162459,0.0,0.0,0.0,0.0211052,0.0,0.0,0.0
As,Arsénico (Compuestos solubles),14,Jalisco,0.0,23.720544815228,0.47133226,0.10567205,0.0,0.0,0.0,0.4341022,0.0,0.0,0.0
As,Arsénico (Compuestos solubles),15,México,0.0293576,3.0108033,0.1000005,0.7486019443840001,0.02585,0.0,0.0,1.1357766,0.0,0.0,0.009587199999999999
As,Arsénico (Compuestos solubles),16,Michoacán de Ocampo,0.0,26.594803199999998,0.020331400000000003,0.0538923,0.0,0.0,0.0,0.25249989999999994,0.0,0.0,0.0
As,Arsénico (Compuestos solubles),17,Morelos,0.0,0.23667139699999998,0.0755925,0.9105791,0.0,0.0,0.0,1.138208,0.0,0.0,0.0
As,Arsénico (Compuestos solubles),18,Nayarit,0.0,15.0757685,14.8802296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
As,Arsénico (Compuestos solubles),19,Nuevo León,0.0,0.17911827687300003,0.0717401,0.24992931000000002,0.0,0.067454,0.0,0.11213920000000001,0.0,0.011589,0.020887819386
As,Arsénico (Compuestos solubles),20,Oaxaca,0.0,0.387154094,0.009044,0.0,0.0,0.0,0.0,0.1092895,0.0,0.0,0.0
As,Arsénico (Compuestos solubles),21,Puebla,0.0,0.0968451,8.854914899999999,0.0,0.0,0.0,0.0,0.10224889999999999,0.0,0.0,0.0
As,Arsénico (Compuestos solubles),22,Querétaro,0.0,0.4516332,0.4993931,0.2577259,0.0,0.0,0.0,0.0239282,0.0,0.0,0.0
As,Arsénico (Compuestos solubles),23,Quintana Roo,0.0,0.679981907961,2.2164862639389997,0.0324633,0.0,0.0,0.0,0.193965,0.0,0.0,0.0
As,Arsénico (Compuestos solubles),24,San Luis Potosí,0.00151,1.239982,1.1950396,0.0107922,0.0,0.0,0.0,0.2465693,0.0,0.0,0.0
As,Arsénico (Compuestos solubles),25,Sinaloa,0.0,4.312565194266,0.009108699999999999,0.00216,0.0,0.0,0.0,0.0687478,0.0,0.0,0.0
As,Arsénico (Compuestos solubles),26,Sonora,0.0,5.5525792353,7.1552362,0.17246513,0.0,0.02938,0.0,0.6379598,0.0,0.0,9.41e-06
As,Arsénico (Compuestos solubles),27,Tabasco,0.0,0.6392926999999999,0.0039369,0.0,0.0,0.0,0.0,0.0563042,0.0,0.0,0.0
As,Arsénico (Compuestos solubles),28,,0.0,0.0008567000000000001,0.00020830000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
As,Arsénico (Compuestos solubles),28,Tamaulipas,0.0,4.59856201913,0.1294085,2.688291428,0.0,0.0,0.0,1.6354899,1.7001,0.0,0.0
As,Arsénico (Compuestos solubles),29,Tlaxcala,0.0,0.0934848,0.016488500000000003,0.0013080999999999998,0.0,0.0,0.0,0.053347099999999995,0.0,0.0,0.0
As,Arsénico (Compuestos solubles),30,Veracruz de Ignacio de la Llave,0.0,113.968698732441,0.4501264,0.0028325,0.0,0.0,0.0,0.1421385,0.0,0.0,0.0
As,Arsénico (Compuestos solubles),31,Yucatán,0.0,0.19358531375,0.6477936999999999,0.0,0.00212125231,0.0,0.0,0.157861,0.0,0.0,0.0
As,Arsénico (Compuestos solubles),32,Zacatecas,0.0,0.193856445541951,1.4203268,0.1579389,0.0,0.0,0.0,0.0787149,0.0,0.0,0.0
