cas,sustancia,Clave Entidad,Entidad,Aire,Agua,Suelo,Alcant.,Coproc.,Disp. F.,Inciner.,Otros,Reciclado,Reutiliza.,Tratamien.
S/C1,Arsénico (compuestos),1,Aguascalientes,0.0,0.020976562214000002,0.00732726828135,0.31313133353651,0.0,0.0,0.0,0.0001008,0.0,0.0,0.0
S/C1,Arsénico (compuestos),2,Baja California,3.4176e-05,0.10555603090620001,0.47182984187329996,0.000380972141105,0.0,0.0,0.0,0.00039800443916,0.0,0.0,0.0
S/C1,Arsénico (compuestos),3,Baja California Sur,0.0,2.4724064928911402,0.00098989149942,1.5500000000000002e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S/C1,Arsénico (compuestos),4,Campeche,0.0,0.5056407789750405,4.566018275e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S/C1,Arsénico (compuestos),5,Coahuila de Zaragoza,1.060928403,0.34531030422500003,0.0365054867859425,0.62848575052875,0.0,1.371745,0.0,1.900810872,5.310148,0.0,0.0
S/C1,Arsénico (compuestos),6,Colima,0.0535,0.00434317852195,0.00419698252404,7.6023088e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S/C1,Arsénico (compuestos),7,Chiapas,0.0,0.003308063376,0.024881942578,9.000200000000001e-08,0.0,0.0,0.0,2.3e-12,0.0,0.0,0.0
S/C1,Arsénico (compuestos),8,Chihuahua,0.0,0.1862082556261,0.10375948033145001,0.00224921076,0.0,1748.0532220999999,0.0,1.02e-07,0.0,0.0,0.0
S/C1,Arsénico (compuestos),9,Ciudad de México,0.0,0.00143545480124,0.000724320159,4.268267808523069,66.0042,1112.2180484809999,0.0,4.2330815999999995e-06,0.0,0.0,0.00015283495999999998
S/C1,Arsénico (compuestos),10,Durango,0.08937878,0.019030233557,0.1304299563996,0.0038101559278,0.0,111.684,0.0,0.0008241237,0.0,0.0,0.0
