"cve_ent","entidad","cas","sustancia","agent","suma_eyt"
1,"Aguascalientes","75-07-0","Acetaldehido","Acetaldehyde associated with consumption of alcoholic beverages",0.0001511673945824
1,"Aguascalientes","As","Arsénico (Compuestos solubles)","Arsenic (soluble compounds)",0.1521973
1,"Aguascalientes","S/C1","Arsénico (compuestos)","Arsenic (compounds)",0.34153596403186
1,"Aguascalientes","7440-38-2","Arsénico (polvos, respirables, vapores o humos)","Arsenic (dusts, breathables, vapors or fumes)",5.61059047019814
1,"Aguascalientes","71-43-2","Benceno","Benzene",26.6828682549148
1,"Aguascalientes","1336-36-3","Bifenilos policlorados","Polychlorinated biphenyls",2.85
1,"Aguascalientes","Cd","Cadmio (Compuestos solubles)","Cadmium (soluble compounds)",0.9287973
1,"Aguascalientes","S/C2","Cadmio (compuestos)","Cadmium (compounds)",0.07021324373665
1,"Aguascalientes","7440-43-9","Cadmio (polvos, respirables, vapores o humos)","Cadmium (dusts, breathables, vapors or fumes)",1.52244171485415
1,"Aguascalientes","50-00-0","Formaldehido","Formaldehyde",53.3665246241753
1,"Aguascalientes","79-01-6","Tricloroetileno","Trichloroethylene",24.7876
2,"Baja California","75-07-0","Acetaldehido","Acetaldehyde associated with consumption of alcoholic beverages",5.07325205599194
2,"Baja California","As","Arsénico (Compuestos solubles)","Arsenic (soluble compounds)",97.3135715
2,"Baja California","S/C1","Arsénico (compuestos)","Arsenic (compounds)",0.578199025359765
2,"Baja California","7440-38-2","Arsénico (polvos, respirables, vapores o humos)","Arsenic (dusts, breathables, vapors or fumes)",0.67631730198451
2,"Baja California","71-43-2","Benceno","Benzene",47.3080243959843
2,"Baja California","1336-36-3","Bifenilos policlorados","Polychlorinated biphenyls",12.43
2,"Baja California","Cd","Cadmio (Compuestos solubles)","Cadmium (soluble compounds)",57.6384311
2,"Baja California","S/C2","Cadmio (compuestos)","Cadmium (compounds)",1.2885400957097
2,"Baja California","7440-43-9","Cadmio (polvos, respirables, vapores o humos)","Cadmium (dusts, breathables, vapors or fumes)",2.79226611862897
2,"Baja California","50-00-0","Formaldehido","Formaldehyde",118.939905745887
2,"Baja California","79-01-6","Tricloroetileno","Trichloroethylene",815.8737188265
3,"Baja California Sur","75-07-0","Acetaldehido","Acetaldehyde associated with consumption of alcoholic beverages",0.0523313074
3,"Baja California Sur","As","Arsénico (Compuestos solubles)","Arsenic (soluble compounds)",25.4223535
3,"Baja California Sur","S/C1","Arsénico (compuestos)","Arsenic (compounds)",2.47339793439056
3,"Baja California Sur","7440-38-2","Arsénico (polvos, respirables, vapores o humos)","Arsenic (dusts, breathables, vapors or fumes)",2.83405129601372
3,"Baja California Sur","71-43-2","Benceno","Benzene",0.0187944463
3,"Baja California Sur","1336-36-3","Bifenilos policlorados","Polychlorinated biphenyls",0.7996243
3,"Baja California Sur","Cd","Cadmio (Compuestos solubles)","Cadmium (soluble compounds)",57.457124
3,"Baja California Sur","S/C2","Cadmio (compuestos)","Cadmium (compounds)",6.72182481290026
