anio	cas	em_agua	em_aire	em_suelo	estado	gruposustancia	municipio	nombre	nra	sector	sustancia	tr_alcantarillado	tr_coprocesamiento	tr_dispfinal	tr_incineracion	tr_otros	tr_reciclado	tr_reutilizacion	tr_tratamiento	unidad
2005	7440-38-2	2.46e-06			JALISCO	Atributo no considerado en este año	Atributo no considerado en este año	ALVARADO GARCIA JESUS	AAG8A1403911	Quimica	Arsénico									ton/año
2005	7440-43-9	1.89e-07			JALISCO	Atributo no considerado en este año	Atributo no considerado en este año	ALVARADO GARCIA JESUS	AAG8A1403911	Quimica	Cadmio									ton/año
2005	S/C3	5.76e-06	0.002		JALISCO	Atributo no considerado en este año	Atributo no considerado en este año	ALVARADO GARCIA JESUS	AAG8A1403911	Quimica	Cromo (compuestos)									ton/año
2005	S/C4	1.89e-06			JALISCO	Atributo no considerado en este año	Atributo no considerado en este año	ALVARADO GARCIA JESUS	AAG8A1403911	Quimica	Mercurio (compuestos)									ton/año
2005	S/C5	1.404e-05	0.002		JALISCO	Atributo no considerado en este año	Atributo no considerado en este año	ALVARADO GARCIA JESUS	AAG8A1403911	Quimica	Níquel (compuestos)	0.06								ton/año
2005	57-12-5	1.8e-07			JALISCO	Atributo no considerado en este año	Atributo no considerado en este año	ALVARADO GARCIA JESUS	AAG8A1403911	Quimica	Cianuro inorgánico/orgánico									ton/año
2005	S/C6	1.404e-05			JALISCO	Atributo no considerado en este año	Atributo no considerado en este año	ALVARADO GARCIA JESUS	AAG8A1403911	Quimica	Plomo (compuestos)									ton/año
2005	57-12-5	0.00010298			AGUASCALIENTES	Atributo no considerado en este año	Atributo no considerado en este año	ALAN DE AGUASCALIENTES S.A. DE C.V.	AAGND0100511	Metalurgica (incluye la siderurgica) 	Cianuro inorgánico/orgánico	0.00010298								ton/año
2005	7439-97-6				AGUASCALIENTES	Atributo no considerado en este año	Atributo no considerado en este año	ALAN DE AGUASCALIENTES S.A. DE C.V.	AAGND0100511	Metalurgica (incluye la siderurgica) 	Mercurio	7.6e-08								ton/año
2005	7440-38-2	2.07099e-06			AGUASCALIENTES	Atributo no considerado en este año	Atributo no considerado en este año	ALAN DE AGUASCALIENTES S.A. DE C.V.	AAGND0100511	Metalurgica (incluye la siderurgica) 	Arsénico	2.07099e-06								ton/año
2005	7440-43-9	9.69e-06			AGUASCALIENTES	Atributo no considerado en este año	Atributo no considerado en este año	ALAN DE AGUASCALIENTES S.A. DE C.V.	AAGND0100511	Metalurgica (incluye la siderurgica) 	Cadmio	9.69e-06								ton/año
2005	S/C4	7.6e-08			AGUASCALIENTES	Atributo no considerado en este año	Atributo no considerado en este año	ALAN DE AGUASCALIENTES S.A. DE C.V.	AAGND0100511	Metalurgica (incluye la siderurgica) 	Mercurio (compuestos)									ton/año
2005	S/C3	9.88e-07			AGUASCALIENTES	Atributo no considerado en este año	Atributo no considerado en este año	ALAN DE AGUASCALIENTES S.A. DE C.V.	AAGND0100511	Metalurgica (incluye la siderurgica) 	Cromo (compuestos)	9.88e-07								ton/año
2005	S/C6	0.00012777			AGUASCALIENTES	Atributo no considerado en este año	Atributo no considerado en este año	ALAN DE AGUASCALIENTES S.A. DE C.V.	AAGND0100511	Metalurgica (incluye la siderurgica) 	Plomo (compuestos)	0.00012777								ton/año
2005	S/C5	1.7936e-05			AGUASCALIENTES	Atributo no considerado en este año	Atributo no considerado en este año	ALAN DE AGUASCALIENTES S.A. DE C.V.	AAGND0100511	Metalurgica (incluye la siderurgica) 	Níquel (compuestos)	1.7936e-05								ton/año
2005	S/C4	2.9518e-06			MEXICO	Atributo no considerado en este año	Atributo no considerado en este año	ALMEXA ALUMINIO S.A. DE C.V. PLANTA BARRIENTOS	AAL7Q1510411	Metalurgica (incluye la siderurgica) 	Mercurio (compuestos)									ton/año
2005	S/C3	0.000147256404			MEXICO	Atributo no considerado en este año	Atributo no considerado en este año	ALMEXA ALUMINIO S.A. DE C.V. PLANTA BARRIENTOS	AAL7Q1510411	Metalurgica (incluye la siderurgica) 	Cromo (compuestos)									ton/año
2005	7440-43-9	0.0002096475			MEXICO	Atributo no considerado en este año	Atributo no considerado en este año	ALMEXA ALUMINIO S.A. DE C.V. PLANTA BARRIENTOS	AAL7Q1510411	Metalurgica (incluye la siderurgica) 	Cadmio									ton/año
2005	7440-38-2	0.00011320965			MEXICO	Atributo no considerado en este año	Atributo no considerado en este año	ALMEXA ALUMINIO S.A. DE C.V. PLANTA BARRIENTOS	AAL7Q1510411	Metalurgica (incluye la siderurgica) 	Arsénico									ton/año
2005	S/C5	0.00043886			MEXICO	Atributo no considerado en este año	Atributo no considerado en este año	ALMEXA ALUMINIO S.A. DE C.V. PLANTA BARRIENTOS	AAL7Q1510411	Metalurgica (incluye la siderurgica) 	Níquel (compuestos)									ton/año
2005	S/C6	0.000670872			MEXICO	Atributo no considerado en este año	Atributo no considerado en este año	ALMEXA ALUMINIO S.A. DE C.V. PLANTA BARRIENTOS	AAL7Q1510411	Metalurgica (incluye la siderurgica) 	Plomo (compuestos)									ton/año
2005	57-12-5	3.6338e-05			MEXICO	Atributo no considerado en este año	Atributo no considerado en este año	ALMEXA ALUMINIO S.A. DE C.V. PLANTA BARRIENTOS	AAL7Q1510411	Metalurgica (incluye la siderurgica) 	Cianuro inorgánico/orgánico									ton/año
2005	S/C4	1.863e-09			MEXICO	Atributo no considerado en este año	Atributo no considerado en este año	AZINSA ALUMINIO S.A. DE C.V.	AAL7Q1510911	Metalurgica (incluye la siderurgica) 	Mercurio (compuestos)									ton/año
2005	S/C5	0.001			MEXICO	Atributo no considerado en este año	Atributo no considerado en este año	AZINSA ALUMINIO S.A. DE C.V.	AAL7Q1510911	Metalurgica (incluye la siderurgica) 	Níquel (compuestos)									ton/año
2005	S/C3	9e-10			MEXICO	Atributo no considerado en este año	Atributo no considerado en este año	AZINSA ALUMINIO S.A. DE C.V.	AAL7Q1510911	Metalurgica (incluye la siderurgica) 	Cromo (compuestos)									ton/año
2005	7440-43-9	1.863e-09			MEXICO	Atributo no considerado en este año	Atributo no considerado en este año	AZINSA ALUMINIO S.A. DE C.V.	AAL7Q1510911	Metalurgica (incluye la siderurgica) 	Cadmio									ton/año
2005	7440-38-2	1.863e-09			MEXICO	Atributo no considerado en este año	Atributo no considerado en este año	AZINSA ALUMINIO S.A. DE C.V.	AAL7Q1510911	Metalurgica (incluye la siderurgica) 	Arsénico									ton/año
2005	57-12-5	0.002			MEXICO	Atributo no considerado en este año	Atributo no considerado en este año	AZINSA ALUMINIO S.A. DE C.V.	AAL7Q1510911	Metalurgica (incluye la siderurgica) 	Cianuro inorgánico/orgánico									ton/año
2005	S/C6	0.018			MEXICO	Atributo no considerado en este año	Atributo no considerado en este año	AZINSA ALUMINIO S.A. DE C.V.	AAL7Q1510911	Metalurgica (incluye la siderurgica) 	Plomo (compuestos)									ton/año
2005	S/C5	5.2176e-05			DISTRITO FEDERAL	Atributo no considerado en este año	Atributo no considerado en este año	FRANCISCO JOSE ALCANTARA MARTINEZ	AAM5E0901411	Otros	Níquel (compuestos)									ton/año
2005	S/C4	0.006			DISTRITO FEDERAL	Atributo no considerado en este año	Atributo no considerado en este año	FRANCISCO JOSE ALCANTARA MARTINEZ	AAM5E0901411	Otros	Mercurio (compuestos)									ton/año
2005	S/C3	5.9963904e-06			DISTRITO FEDERAL	Atributo no considerado en este año	Atributo no considerado en este año	FRANCISCO JOSE ALCANTARA MARTINEZ	AAM5E0901411	Otros	Cromo (compuestos)									ton/año
