anio	cas	em_agua	em_aire	em_suelo	estado	gruposustancia	municipio	nombre	nra	sector	sustancia	tr_alcantarillado	tr_coprocesamiento	tr_dispfinal	tr_incineracion	tr_otros	tr_reciclado	tr_reutilizacion	tr_tratamiento	unidad
2012	57-12-5			0.000182903	GUERRERO	Otros	Acapulco de Juarez	AEROPUERTO DE ACAPULCO, S.A. DE C.V.	AACL71200111	Otros	Cianuro inorgánico/orgánico									kg/año
2012	7439-97-6			3.65806e-05	GUERRERO	Metales	Acapulco de Juarez	AEROPUERTO DE ACAPULCO, S.A. DE C.V.	AACL71200111	Otros	Mercurio									kg/año
2012	7440-38-2			0.00034019958	GUERRERO	Metales	Acapulco de Juarez	AEROPUERTO DE ACAPULCO, S.A. DE C.V.	AACL71200111	Otros	Arsénico									kg/año
2012	7440-43-9			0.000731612	GUERRERO	Metales	Acapulco de Juarez	AEROPUERTO DE ACAPULCO, S.A. DE C.V.	AACL71200111	Otros	Cadmio									kg/año
2012	S/C3			0.00182903	GUERRERO	Metales	Acapulco de Juarez	AEROPUERTO DE ACAPULCO, S.A. DE C.V.	AACL71200111	Otros	Cromo (compuestos)									kg/año
2012	S/C5			0.002194836	GUERRERO	Metales	Acapulco de Juarez	AEROPUERTO DE ACAPULCO, S.A. DE C.V.	AACL71200111	Otros	Níquel (compuestos)									kg/año
2012	S/C6			0.00365806	GUERRERO	Metales	Acapulco de Juarez	AEROPUERTO DE ACAPULCO, S.A. DE C.V.	AACL71200111	Otros	Plomo (compuestos)									kg/año
2012	57-12-5	0.05552			MORELOS	Otros	Cuernavaca	AUTOMOTRIZ Y AGRICOLA S.A DE C.V	AAGKE1700711	Otros	Cianuro inorgánico/orgánico									kg/año
2012	7439-97-6	0.0016656			MORELOS	Metales	Cuernavaca	AUTOMOTRIZ Y AGRICOLA S.A DE C.V	AAGKE1700711	Otros	Mercurio									kg/año
2012	7440-38-2	0.0049968			MORELOS	Metales	Cuernavaca	AUTOMOTRIZ Y AGRICOLA S.A DE C.V	AAGKE1700711	Otros	Arsénico									kg/año
2012	7440-43-9	0.019432			MORELOS	Metales	Cuernavaca	AUTOMOTRIZ Y AGRICOLA S.A DE C.V	AAGKE1700711	Otros	Cadmio									kg/año
2012	S/C3	0.11104			MORELOS	Metales	Cuernavaca	AUTOMOTRIZ Y AGRICOLA S.A DE C.V	AAGKE1700711	Otros	Cromo (compuestos)									kg/año
2012	S/C5	0.11104			MORELOS	Metales	Cuernavaca	AUTOMOTRIZ Y AGRICOLA S.A DE C.V	AAGKE1700711	Otros	Níquel (compuestos)									kg/año
2012	S/C6	0.19432			MORELOS	Metales	Cuernavaca	AUTOMOTRIZ Y AGRICOLA S.A DE C.V	AAGKE1700711	Otros	Plomo (compuestos)									kg/año
2012	124-38-9		0.009502296		AGUASCALIENTES	Gases de Efecto Invernadero	Jesus Maria	ALAN DE AGUASCALIENTES S.A. DE C.V.	AAGND0100511	Metalurgica (incluye la siderurgica)	Bióxido de carbono									ton/año
2012	57-12-5				AGUASCALIENTES	Otros	Jesus Maria	ALAN DE AGUASCALIENTES S.A. DE C.V.	AAGND0100511	Metalurgica (incluye la siderurgica)	Cianuro inorgánico/orgánico	0.008208								kg/año
2012	S/C1				AGUASCALIENTES	Metales	Jesus Maria	ALAN DE AGUASCALIENTES S.A. DE C.V.	AAGND0100511	Metalurgica (incluye la siderurgica)	Arsénico (compuestos)	0.004752								kg/año
2012	S/C2				AGUASCALIENTES	Metales	Jesus Maria	ALAN DE AGUASCALIENTES S.A. DE C.V.	AAGND0100511	Metalurgica (incluye la siderurgica)	Cadmio (compuestos)	0.0432								kg/año
2012	S/C3				AGUASCALIENTES	Metales	Jesus Maria	ALAN DE AGUASCALIENTES S.A. DE C.V.	AAGND0100511	Metalurgica (incluye la siderurgica)	Cromo (compuestos)	0.00432								kg/año
2012	S/C4				AGUASCALIENTES	Metales	Jesus Maria	ALAN DE AGUASCALIENTES S.A. DE C.V.	AAGND0100511	Metalurgica (incluye la siderurgica)	Mercurio (compuestos)	0.0003888								kg/año
2012	S/C5				AGUASCALIENTES	Metales	Jesus Maria	ALAN DE AGUASCALIENTES S.A. DE C.V.	AAGND0100511	Metalurgica (incluye la siderurgica)	Níquel (compuestos)	0.216								kg/año
2012	S/C6				AGUASCALIENTES	Metales	Jesus Maria	ALAN DE AGUASCALIENTES S.A. DE C.V.	AAGND0100511	Metalurgica (incluye la siderurgica)	Plomo (compuestos)	0.216								kg/año
2012	S/C6				DURANGO	Metales	Gomez Palacio	AUTOS ALAMEDA S.A. DE C.V.	AAL1000700012	Otros	Plomo (compuestos)						876.0			kg/año
2012	57-12-5				MEXICO	Otros	Ecatepec de Morelos	ALMEXA ALUMINIO S.A. DE C.V.	AAL7Q1503321	Metalurgica (incluye la siderurgica)	Cianuro inorgánico/orgánico	0.76006								kg/año
