_id,latitudnorte,longitudoeste
65bec4d6675c397043f14e15,"19°36'58""","-98°55'59"""
65bec4d6675c397043f14e16,20.64233,-103.34879
65bec4d6675c397043f14e17,21.95113,-102.32801
65bec4d6675c397043f14e18,19.64103,-99.1526
65bec4d6675c397043f14e19,"0°0'0""","0°0'0"""
65bec4d6675c397043f14e1a,20.90493,-101.38575
65bec4d6675c397043f14e1b,"25°43'25.27""","100°16'46.10"""
65bec4d6675c397043f14e1c,25.72484,-103.63808
65bec4d6675c397043f14e1d,"32°26'55""","-117°1'48"""
65bec4d6675c397043f14e1e,25.55178,-103.48431
65bec4d6675c397043f14e1f,"25°43'34.53""","100°18'0.26"""
65bec4d6675c397043f14e20,20.42301,-99.98039
65bec4d6675c397043f14e21,"28°25'42""","0.106°50'6"""
65bec4d6675c397043f14e22,28.65116,-106.12561
65bec4d6675c397043f14e23,"26°55'4""","105°41'43"""
65bec4d6675c397043f14e24,"28°16'31""","105°29'04"""
65bec4d6675c397043f14e25,30.38462,-107.89153
65bec4d6675c397043f14e26,20.62508,-100.43776
65bec4d6675c397043f14e27,"20°37'32""","100°26'16"""
65bec4d6675c397043f14e28,25.47413,-100.99611
65bec4d6675c397043f14e29,"0°0'0""","0°0'0"""
65bec4d6675c397043f14e2a,"19°38'35""","-99°9'9"""
65bec4d6675c397043f14e2b,20.4876,-100.80152
65bec4d6675c397043f14e2c,19.52775,-99.21127
65bec4d6675c397043f14e2d,19.52053,-99.12399
65bec4d6675c397043f14e2e,26.04288,-98.36888
65bec4d6675c397043f14e2f,"19°17'35""","99°35'0"""
65bec4d6675c397043f14e30,"0°0'0""","0°0'0"""
65bec4d6675c397043f14e31,"19°41'44""","101°12'44"""
65bec4d6675c397043f14e32,"19°18'6""","98°23'0"""
65bec4d6675c397043f14e33,"29°20'31""","101°0'2"""
65bec4d6675c397043f14e34,"20°34'26""","100°17'10"""
65bec4d6675c397043f14e35,"28°40'25""","-106°8'1"""
65bec4d6675c397043f14e36,"31°43'9""","106°27'50"""
65bec4d6675c397043f14e37,"26°2'27""","98°21'56"""
65bec4d6675c397043f14e38,"0°0'0""","0°0'0"""
65bec4d6675c397043f14e39,19.37596,-99.20882
65bec4d6675c397043f14e3a,19.29217,-99.62428
65bec4d6675c397043f14e3b,25.56799,-100.92327
