nra,anio,cantidad_reportes
AAA190000015,2014,1
AAA190000015,2015,1
AAA190000015,2016,1
AAA190000015,2017,1
AAA3107600009,2021,1
AAA3110200079,2022,1
AAC0803700160,2013,1
AACL71200111,2006,1
AACL71200111,2012,1
AACL71200111,2013,1
AADEA1500211,2004,1
AAE0901700310,2022,1
AAF0901700150,2021,1
AAG1100900010,2018,1
AAG1100900010,2019,1
AAG1100900010,2020,1
AAG1100900010,2021,1
AAG1403901019,2014,1
AAG1403901019,2015,1
AAG1403901019,2016,1
AAG1403901019,2017,1
AAG1403901019,2018,1
AAG1403901019,2019,1
AAG1403901019,2020,1
AAG1403901019,2021,1
AAG1403901019,2022,1
AAG8A1403911,2004,1
AAG8A1403911,2005,1
AAG8A1403911,2006,1
AAG8A1403911,2008,1
AAG8A1403911,2010,1
AAG8A1403911,2011,1
AAGKE1700711,2011,1
AAGKE1700711,2012,1
AAGL70100111,2006,1
AAGL70100111,2016,1
AAGL70100111,2017,1
AAGND0100511,2004,1
AAGND0100511,2005,1
AAGND0100511,2006,1
AAGND0100511,2007,1
AAGND0100511,2009,1
AAGND0100511,2010,1
AAGND0100511,2011,1
AAGND0100511,2012,1
AAGND0100511,2013,1
AAL1000700012,2012,1
AAL1000700012,2013,1
AAL1512102650,2019,1
AAL1512102650,2020,1
AAL1512102650,2021,1
AAL1512102650,2022,1
AAL7Q1503311,2006,1
AAL7Q1503311,2007,1
AAL7Q1503321,2010,1
AAL7Q1503321,2011,1
AAL7Q1503321,2012,1
AAL7Q1503321,2013,1
AAL7Q1503321,2014,1
AAL7Q1503321,2015,1
AAL7Q1503321,2016,1
AAL7Q1503321,2017,1
AAL7Q1503321,2018,1
AAL7Q1503321,2019,1
AAL7Q1503321,2020,1
AAL7Q1503321,2021,1
AAL7Q1503321,2022,1
AAL7Q1510411,2005,1
AAL7Q1510411,2006,1
AAL7Q1510411,2007,1
AAL7Q1510411,2008,1
AAL7Q1510411,2009,1
AAL7Q1510411,2010,1
