nra,estado,cve_ent,municipio,cve_mun,cadena,coincidencia,posicion,total,error
PEP100501812,Coahuila de Zaragoza,5,Monclova,18,5018,Yes,1,3,0
PEP100501812,Coahuila de Zaragoza,5,Zaragoza,38,5038,No,2,3,0
PEP100501812,Tamaulipas,28,Reynosa,32,28032,No,3,3,0
PEP100707417,Chiapas,7,Juárez,48,7048,No,1,3,0
PEP100707417,Chiapas,7,Reforma,74,7074,Yes,2,3,0
PEP100707417,Chiapas,7,Ostuacán,62,7062,No,3,3,0
AME2604200008,Sonora,26,Cajeme,18,26018,No,1,3,0
AME2604200008,Sonora,26,Navojoa,42,26042,Yes,2,3,0
AME2604200008,Michoacán de Ocampo,16,Copándaro,18,16018,No,3,3,0
PEP10301311G,Veracruz de Ignacio de la Llave,30,Cerro Azul,34,30034,No,1,2,0
PEP10301311G,Veracruz de Ignacio de la Llave,30,Poza Rica de Hidalgo,131,30131,Yes,2,2,0
AER5V1505111,México,15,Lerma,51,15051,Yes,1,2,0
AER5V1505111,México,15,Toluca,106,15106,No,2,2,0
TGN192403711,Veracruz de Ignacio de la Llave,30,Tantoyuca,155,30155,No,1,2,0
TGN192403711,San Luis Potosí,24,Tamazunchale,37,24037,Yes,2,2,0
PREMH3019311,Veracruz de Ignacio de la Llave,30,Veracruz,193,30193,Yes,1,2,0
PREMH3019311,Veracruz de Ignacio de la Llave,30,Medellín de Bravo,105,30105,No,2,2,0
WMP5Q2201111,Querétaro,22,El Marqués,11,22011,Yes,1,2,0
WMP5Q2201111,Querétaro,22,Querétaro,14,22014,No,2,2,0
CDE8A0901611,Ciudad de México,9,Venustiano Carranza,17,9017,No,1,2,0
CDE8A0901611,Ciudad de México,9,Miguel Hidalgo,16,9016,Yes,2,2,0
PEP102803218,Tamaulipas,28,Miguel Alemán,25,28025,No,1,2,0
PEP102803218,Tamaulipas,28,Reynosa,32,28032,Yes,2,2,0
IJD8C0502711,Nuevo León,19,Los Herreras,27,19027,No,1,2,0
IJD8C0502711,Coahuila de Zaragoza,5,Ramos Arizpe,27,5027,Yes,2,2,0
PASLX2700411,Tabasco,27,Jalpa de Méndez,10,27010,No,1,2,0
PASLX2700411,Tabasco,27,Centro,4,27004,Yes,2,2,0
EANEE1512111,México,15,Cuautitlán,24,15024,No,1,2,0
EANEE1512111,México,15,Cuautitlán Izcalli,121,15121,Yes,2,2,0
MOFK90400312,Campeche,4,Carmen,3,4003,Yes,1,2,0
MOFK90400312,Campeche,4,Campeche,2,4002,No,2,2,0
NMEAE2601311,Sonora,26,Banámichi,13,26013,Yes,1,2,0
NMEAE2601311,Sonora,26,Hermosillo,30,26030,No,2,2,0
MMA143205611,Zacatecas,32,Morelos,32,32032,No,1,2,0
MMA143205611,Zacatecas,32,Zacatecas,56,32056,Yes,2,2,0
PEP100706212,Chiapas,7,Pichucalco,68,7068,No,1,2,0
