nra	pag_1	nra_comp	pag_2	similitud
AAL7Q1503311	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=AAL7Q1503311	AAL7Q1503321	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=AAL7Q1503321	0.9166666666666666
AAL7Q1510411	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=AAL7Q1510411	AAL7Q1510911	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=AAL7Q1510911	0.9166666666666666
AAM1103700017	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=AAM1103700017	AAM1103700081	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=AAM1103700081	0.9230769230769231
AAM8V0803711	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=AAM8V0803711	AAM8V0803712	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=AAM8V0803712	0.9166666666666666
AAM8V0803711	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=AAM8V0803711	AAM8V0803715	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=AAM8V0803715	0.9166666666666666
AAM8V0803712	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=AAM8V0803712	AAM8V0803715	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=AAM8V0803715	0.9166666666666666
ABC8A0200411	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=ABC8A0200411	ABCEA0200411	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=ABCEA0200411	0.9166666666666666
ACA3105000082	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=ACA3105000082	ACA3105000083	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=ACA3105000083	0.9230769230769231
ACE8V0801711	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=ACE8V0801711	ACE8V0801911	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=ACE8V0801911	0.9166666666666666
ACE8V0804511	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=ACE8V0804511	ACE8V0805011	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=ACE8V0805011	0.9166666666666666
ACE9K2201111	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=ACE9K2201111	ACE9K2201112	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=ACE9K2201112	0.9166666666666666
ACUKE1903911	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=ACUKE1903911	ACUKE1903921	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=ACUKE1903921	0.9166666666666666
ACUKE1904611	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=ACUKE1904611	ACUKE1904811	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=ACUKE1904811	0.9166666666666666
ACURP2500611	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=ACURP2500611	ACURP2500612	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=ACURP2500612	0.9166666666666666
ADM7T2402811	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=ADM7T2402811	ADM7T2402821	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=ADM7T2402821	0.9166666666666666
AEA 91050021	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=AEA 91050021	AEA910500211	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=AEA910500211	0.9166666666666666
AEC9M0801911	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=AEC9M0801911	AEC9M0801913	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=AEC9M0801913	0.9166666666666666
AEEBU0900711	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=AEEBU0900711	AEEBU0900712	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=AEEBU0900712	0.9166666666666666
