nra,estado,municipio
AAA190000015,Nuevo León,San Nicolás de los Garza
AAA3107600009,Yucatán,Tecoh
AAA3110200079,Yucatán,Valladolid
AAC0803700160,Chihuahua,Juárez
AACL71200111,Guerrero,Acapulco de Juárez
AADEA1500211,México,Acolman
AAE0901700310,Ciudad de México,Venustiano Carranza
AAF0901700150,Ciudad de México,Venustiano Carranza
AAG1100900010,Guanajuato,Comonfort
AAG1403901019,Jalisco,Guadalajara
AAG8A1403911,Jalisco,Guadalajara
AAGKE1700711,Morelos,Cuernavaca
AAGL70100111,Aguascalientes,Aguascalientes
AAGND0100511,Aguascalientes,Jesús María
AAL1000700012,Durango,Gómez Palacio
AAL1512102650,México,Cuautitlán Izcalli
AAL7Q1503311,México,Ecatepec de Morelos
AAL7Q1503321,México,Ecatepec de Morelos
AAL7Q1510411,México,Tlalnepantla de Baz
AAL7Q1510911,México,Tultitlán
AAM1103700017,Guanajuato,Silao de la Victoria
AAM1103700081,Guanajuato,Silao de la Victoria
AAM1503900040,México,Ixtapaluca
AAM2402800314,San Luis Potosí,San Luis Potosí
AAM2603000075,Sonora,Hermosillo
AAM520803711,Chihuahua,Juárez
AAM5E0901411,Ciudad de México,Benito Juárez
AAM7X2201411,Querétaro,Querétaro
AAM8V0800511,Chihuahua,Ascensión
AAM8V0803711,Chihuahua,Juárez
AAM8V0803712,Chihuahua,Juárez
AAM8V0803715,Chihuahua,Juárez
AAM8V0805012,Chihuahua,Nuevo Casas Grandes
AAM952603012,Sonora,Hermosillo
AAM9I2803211,Tamaulipas,Reynosa
AAM9M1103711,Guanajuato,Silao de la Victoria
AAMEA1503911,México,Ixtapaluca
AAMKE2500111,Sinaloa,Ahome
AAMRP1103711,Guanajuato,Silao de la Victoria
AAN7L1510611,México,Toluca
AAN8Z1503311,México,Ecatepec de Morelos
AANEE0900711,Ciudad de México,Iztapalapa
AAO1409800253,Jalisco,San Pedro Tlaquepaque
AARKE1901911,Nuevo León,Monterrey
AARKE1901911,Nuevo León,San Pedro Garza García
AAT1412000676,Jalisco,Zapopan
AAU1901900044,Nuevo León,San Pedro Garza García
AAU1903900165,Nuevo León,Monterrey
AAU2112800014,Puebla,San José Chiapa
AAU5U1904611,Nuevo León,San Nicolás de los Garza
AAUEE1901911,Nuevo León,San Pedro Garza García
AAY3104400003,Yucatán,Kinchil
AAZEE0900211,Ciudad de México,Azcapotzalco
ABA1605200103,Michoacán de Ocampo,Lázaro Cárdenas
ABA1V0200411,Baja California,Tijuana
ABA5N1605311,Michoacán de Ocampo,Lázaro Cárdenas
ABA621000711,Durango,Gómez Palacio
ABA6E1505111,México,Lerma
ABC0200402352,Baja California,Tijuana
ABC8A0200411,Baja California,Tijuana
ABCEA0200411,Baja California,Tijuana
ABCHM0900411,Ciudad de México,Cuajimalpa de Morelos
ABCHM0901021,Ciudad de México,Álvaro Obregón
ABE1Z0801911,Chihuahua,Chihuahua
ABE5Q1507011,México,La Paz
ABFLJ1508111,México,Tecámac
ABI5J1100511,Guanajuato,Apaseo el Grande
ABI861900611,Nuevo León,Apodaca
ABL1902600106,Nuevo León,Guadalupe
ABL911904611,Nuevo León,San Nicolás de los Garza
ABL921902611,Nuevo León,Guadalupe
ABM6M1503311,México,Ecatepec de Morelos
ABM7U2402811,San Luis Potosí,San Luis Potosí
ABP1Z2601811,Sonora,Cajeme
ABPMC1000711,Durango,Gómez Palacio
ABR910803711,Chihuahua,Juárez
ABRLJ1505111,México,Lerma
ABS7T0503011,Coahuila de Zaragoza,Saltillo
ACA0900200355,Ciudad de México,Azcapotzalco
ACA2300500033,Quintana Roo,Benito Juárez
ACA2300800026,Quintana Roo,Solidaridad
ACA3002800384,Veracruz de Ignacio de la Llave,Boca del Río
ACA3105000082,Yucatán,Mérida
ACA3105000083,Yucatán,Mérida
ACA3105000380,Yucatán,Mérida
ACA3105900068,Yucatán,Progreso
ACA460801121,Chihuahua,Camargo
ACA8A1502411,México,Cuautitlán
ACA910900511,Ciudad de México,Gustavo A. Madero
ACA9M2402511,San Luis Potosí,San Luis Potosí
ACABF2102111,Puebla,Atzala
ACAEE1512111,México,Cuautitlán Izcalli
ACAKE1700711,Morelos,Cuernavaca
ACAKE1903911,Nuevo León,Monterrey
ACAKE2300531,Quintana Roo,Benito Juárez
ACAKE2300811,Quintana Roo,Solidaridad
ACARP2300511,Quintana Roo,Benito Juárez
ACAS73005311,Veracruz de Ignacio de la Llave,Cuitláhuac
ACC5U1901211,Nuevo León,Ciénega de Flores
ACC9M0801911,Chihuahua,Chihuahua
ACCEE1903921,Nuevo León,Monterrey
ACCQA1409711,Jalisco,Tlajomulco de Zúñiga
ACCUB1802011,Nayarit,Bahía de Banderas
