nra	estado	municipio	posicion	total
PEP100501812	Coahuila de Zaragoza	Zaragoza	1	3
PEP100501812	Coahuila de Zaragoza	Monclova	2	3
PEP100501812	Tamaulipas	Reynosa	3	3
PEP100707417	Chiapas	Ostuacán	1	3
PEP100707417	Chiapas	Reforma	2	3
PEP100707417	Chiapas	Juárez	3	3
AME2604200008	Sonora	Cajeme	1	3
AME2604200008	Sonora	Navojoa	2	3
AME2604200008	Michoacán de Ocampo	Copándaro	3	3
PEP10301311G	Veracruz de Ignacio de la Llave	Cerro Azul	1	2
PEP10301311G	Veracruz de Ignacio de la Llave	Poza Rica de Hidalgo	2	2
AER5V1505111	México	Lerma	1	2
AER5V1505111	México	Toluca	2	2
TGN192403711	Veracruz de Ignacio de la Llave	Tantoyuca	1	2
TGN192403711	San Luis Potosí	Tamazunchale	2	2
PREMH3019311	Veracruz de Ignacio de la Llave	Medellín de Bravo	1	2
PREMH3019311	Veracruz de Ignacio de la Llave	Veracruz	2	2
WMP5Q2201111	Querétaro	Querétaro	1	2
WMP5Q2201111	Querétaro	El Marqués	2	2
CDE8A0901611	Ciudad de México	Miguel Hidalgo	1	2
CDE8A0901611	Ciudad de México	Venustiano Carranza	2	2
PEP102803218	Tamaulipas	Miguel Alemán	1	2
PEP102803218	Tamaulipas	Reynosa	2	2
IJD8C0502711	Coahuila de Zaragoza	Ramos Arizpe	1	2
IJD8C0502711	Nuevo León	Los Herreras	2	2
PASLX2700411	Tabasco	Jalpa de Méndez	1	2
PASLX2700411	Tabasco	Centro	2	2
EANEE1512111	México	Cuautitlán Izcalli	1	2
EANEE1512111	México	Cuautitlán	2	2
MOFK90400312	Campeche	Campeche	1	2
MOFK90400312	Campeche	Carmen	2	2
NMEAE2601311	Sonora	Hermosillo	1	2
NMEAE2601311	Sonora	Banámichi	2	2
MMA143205611	Zacatecas	Zacatecas	1	2
MMA143205611	Zacatecas	Morelos	2	2
PEP100706212	Chiapas	Pichucalco	1	2
PEP100706212	Chiapas	Ostuacán	2	2
CFEAD1001211	Durango	Durango	1	2
CFEAD1001211	Durango	Lerdo	2	2
UMEND1900611	Nuevo León	Apodaca	1	2
UMEND1900611	Nuevo León	Aramberri	2	2
LTM5Y1512111	México	Cuautitlán	1	2
LTM5Y1512111	México	Cuautitlán Izcalli	2	2
DMC7T2903911	Tlaxcala	Xaloztoc	1	2
DMC7T2903911	Tlaxcala	Apizaco	2	2
PEP102700617	Tabasco	Cunduacán	1	2
PEP102700617	Tabasco	Centro	2	2
MOFK90400314	Campeche	Campeche	1	2
MOFK90400314	Campeche	Carmen	2	2
PMIUA3105011	Yucatán	Progreso	1	2
PMIUA3105011	Yucatán	Mérida	2	2
GOPAY2201611	Querétaro	San Juan del Río	1	2
