cve_ent,municipio,
1,Aguascalientes,
1,Asientos,
1,El Llano,
1,Jesús María,
1,Rincón de Romos,
1,San Francisco de los Romo,
1,Tepezala,
2,Ensenada,
2,Mexicali,
2,Playas de Rosarito,
2,Tecate,
2,Tijuana,
3,Comondú,
3,La Paz,
3,Los Cabos,
3,Mulege,Mulegé
3,Mulegé,
4,Calkiní,
4,Campeche,
4,Carmen,
4,Champotón,
4,Escarcega,
4,Hopelchén,
4,Palizada,
4,Tenabo,
5,Acuña,
5,Arteaga,
5,Castaños,
5,Cuatro Ciénegas,
5,Francisco I. Madero,
5,Frontera,
5,General Cepeda,
5,Hidalgo,
5,Matamoros,
5,Monclova,
5,Muzquiz,
5,Nava,
5,Ocampo,
5,Parras,
5,Piedras Negras,
5,Progreso,
5,Ramos Arizpe,
5,Sabinas,
5,Saltillo,
5,San Juan de Sabinas,
5,San Pedro,
5,Sierra Mojada,
5,Torreón,
5,Zaragoza,
6,Colima,
6,Coquimatlan,
6,Cuauhtémoc,
6,Ixtlahuacán,
6,Manzanillo,
6,Minatitlán,
6,Tecomán,
6,Villa de Alvarez,
7,Arriaga,
7,Benemérito de las Américas,
7,Chiapa de Corzo,
7,Chicoasen,
7,Frontera Comalapa,
7,Huixtla,
7,Jiquipilas,
7,Juárez,
7,Mapastepec,
7,Metapa,
7,Ocozocoautla de Espinosa,
7,Ostuacán,
7,Palenque,
7,Pichucalco,
7,Reforma,
7,San Cristobal de las Casas,
7,Soyalo,
7,Suchiate,
7,Sunuapa,
7,Tapachula,
7,Tecpatan,
7,Tuxtla Gutiérrez,
7,Venustiano Carranza,
7,Villaflores,
8,Ahumada,
8,Aquiles Serdán,
8,Ascensión,
8,Buenaventura,
8,Camargo,
8,Chihuahua,
8,Chínipas,
8,Cuauhtémoc,
8,Cusihuiriachi,
8,Delicias,
8,Guadalupe,
8,Guadalupe y Calvo,
8,Guerrero,
8,Hidalgo del Parral,
8,Jimenez,
8,Juárez,
8,Madera,
8,Meoqui,
8,Moris,
8,Nuevo Casas Grandes,
8,Ocampo,
8,Ojinaga,
8,Praxedis G. Guerrero,
8,San Francisco del Oro,
8,Satevó,
8,Saucillo,
8,Urique,
9,Alvaro Obregon,
9,Azcapotzalco,
9,Benito Juárez,
9,Coyoacán,
9,Cuajimalpa de Morelos,
9,Cuauhtémoc,
9,Gustavo A. Madero,
9,Iztacalco,
9,Iztapalapa,
9,La Magdalena Contreras,
9,Miguel Hidalgo,
9,Tlahuac,
9,Tlalpan,
9,Tláhuac,
9,Venustiano Carranza,
9,Xochimilco,
9,Álvaro Obregón,
10,Cuencamé,
10,Durango,
10,Gomez Palacio,Gómez Palacio
10,Guanaceví,
10,Gómez Palacio,
10,Inde,
10,Lerdo,
10,Mapimí,
10,Nombre de Dios,
10,Otáez,
10,Panuco de Coronado,
10,San Dimas,
10,San Juan del Río,
10,Santiago Papasquiaro,
10,Tepehuanes,
10,Tlahualilo,
10,Topia,
11,Abasolo,
11,Allende,
11,Apaseo el Alto,
11,Apaseo el Grande,
11,Celaya,
11,Comonfort,
11,Cortazar,
11,Guanajuato,
11,Irapuato,
11,Jaral del Progreso,
11,León,
11,Penjamo,
11,Purísima del Rincón,
11,Romita,
11,Salamanca,
11,Salvatierra,
11,San Francisco del Rincón,
11,San José Iturbide,
11,San Luis de la Paz,
11,San Miguel de Allende,
11,Santa Cruz de Juventino Rosas,
11,Silao de la Victoria,
11,Villagrán,
12,Acapulco de Juárez,
12,Arcelia,
12,Chilpancingo de los Bravo,
12,Cocula,
12,Cutzamala de Pinzon,
12,Eduardo Neri,
12,General Heliodoro Castillo,
12,Iguala de la Independencia,
12,La Unión de Isidoro Montes de Oca,
12,Taxco de Alarcon,
12,Teloloapan,
13,Acatlan,
13,Actopan,
13,Apan,
13,Atitalaquia,
13,Atotonilco de Tula,
13,Emiliano Zapata,
13,Huejutla de Reyes,
13,Huichapan,
13,Lolotla,
13,Metepec,
13,Mineral de la Reforma,
13,Molango de Escamilla,
13,Nopala de Villagran,
13,Pachuca de Soto,
13,Progreso de Obregón,
13,San Agustin Tlaxiaca,
13,Santiago de Anaya,
13,Tepeapulco,
13,Tepeji del Río de Ocampo,
13,Tizayuca,
13,Tlaxcoapan,
13,Tolcayuca,
13,Tula de Allende,
13,Tulancingo de Bravo,
13,Villa de Tezontepec,
13,Xochicoatlán,
13,Zimapán,
14,Acatic,
14,Acatlán de Juárez,
14,Amatitán,
14,Ameca,
14,Arandas,
14,Atotonilco el Alto,
14,Autlán de Navarro,
14,Ayotlan,
14,Bolanos,
14,Chapala,
14,EL Arenal,
14,El Salto,
14,Guadalajara,
14,Hostotipaquillo,
14,Ixtlahuacán de los Membrillos,
14,Jamay,
14,Jilotlán de los Dolores,
14,La Barca,
14,Lagos de Moreno,
14,Ocotlán,
14,Pihuamo,
14,Poncitlán,
14,Puerto Vallarta,
14,San Juan de los Lagos,
14,San Martin de Bolanos,
14,San Miguel el Alto,
14,San Pedro Tlaquepaque,
14,San Sebastián del Oeste,
14,Tala,
14,Tamazula de Gordiano,
14,Tecolotlán,
14,Teocuitatlan de Corona,
14,Tepatitlán de Morelos,
14,Tequila,
14,Tlajomulco de Zúñiga,
14,Tlaquepaque,
14,Tolimán,
14,Tonala,
14,Tonaya,
14,Tototlan,
14,Tuxpan,
14,Villa Corona,
14,Zacoalco de Torres,
14,Zapopan,
14,Zapotiltic,
14,Zapotlanejo,
14,Zapotlán el Grande,
15,Acambay,
15,Acolman,
15,Almoloya de Juárez,
15,Amecameca,
15,Apaxco,
15,Atizapán de Zaragoza,
15,Atlacomulco,
15,Axapusco,
15,Calimaya,
15,Capulhuac,
15,Chalco,
15,Chapa de Mota,
15,Chiautla,
15,Chicoloapan,
15,Chimalhuacan,
15,Coacalco de Berriozábal,
15,Coyotepec,
15,Cuautitlán,
15,Cuautitlán Izcalli,
15,Ecatepec de Morelos,
15,Huehuetoca,
15,Hueypoxtla,
15,Huixquilucan,
15,Ixtapaluca,
15,Ixtlahuaca,
15,Jilotepec,
15,Jocotitlán,
15,La Paz,
15,Lerma,
15,Metepec,
15,Morelos,
15,Naucalpan de Juárez,
15,Nextlalpan,
15,Nezahualcóyotl,
15,Nicolas Romero,
15,Ocoyoacac,
15,San Felipe del Progreso,
15,San Martín de las Pirámides,
15,San Mateo Atenco,
15,Soyaniquilpan de Juárez,
15,Tecámac,
15,Temascalcingo,
15,Temascaltepec,
15,Tenancingo,
15,Tenango del Valle,
15,Teoloyucan,
15,Teotihuacán,
15,Tepetlaoxtoc,
15,Tepotzotlán,
15,Texcoco,
15,Tezoyuca,
15,Tianguistenco,
15,Tlalmanalco,
15,Tlalnepantla de Baz,
15,Toluca,
15,Tultitlán,
15,Valle de Bravo,
