entidad,municipio,cve_ent,cve_mun
Aguascalientes,Aguascalientes,1,1
Aguascalientes,Asientos,1,2
Aguascalientes,Calvillo,1,3
Aguascalientes,Cosío,1,4
Aguascalientes,Jesús María,1,5
Aguascalientes,Pabellón de Arteaga,1,6
Aguascalientes,Rincón de Romos,1,7
Aguascalientes,San José de Gracia,1,8
Aguascalientes,Tepezalá,1,9
Aguascalientes,El Llano,1,10
Aguascalientes,San Francisco de los Romo,1,11
Baja California,Ensenada,2,1
Baja California,Mexicali,2,2
Baja California,Tecate,2,3
Baja California,Tijuana,2,4
Baja California,Playas de Rosarito,2,5
Baja California,San Quintín,2,6
Baja California Sur,Comondú,3,1
Baja California Sur,Mulegé,3,2
Baja California Sur,La Paz,3,3
Baja California Sur,Los Cabos,3,8
Baja California Sur,Loreto,3,9
Campeche,Calkiní,4,1
Campeche,Campeche,4,2
Campeche,Carmen,4,3
Campeche,Champotón,4,4
Campeche,Hecelchakán,4,5
Campeche,Hopelchén,4,6
Campeche,Palizada,4,7
Campeche,Tenabo,4,8
Campeche,Escárcega,4,9
Campeche,Calakmul,4,10
Campeche,Candelaria,4,11
Campeche,Seybaplaya,4,12
Coahuila de Zaragoza,Abasolo,5,1
Coahuila de Zaragoza,Acuña,5,2
Coahuila de Zaragoza,Allende,5,3
Coahuila de Zaragoza,Arteaga,5,4
Coahuila de Zaragoza,Candela,5,5
Coahuila de Zaragoza,Castaños,5,6
Coahuila de Zaragoza,Cuatro Ciénegas,5,7
Coahuila de Zaragoza,Escobedo,5,8
Coahuila de Zaragoza,Francisco I. Madero,5,9
Coahuila de Zaragoza,Frontera,5,10
Coahuila de Zaragoza,General Cepeda,5,11
Coahuila de Zaragoza,Guerrero,5,12
Coahuila de Zaragoza,Hidalgo,5,13
Coahuila de Zaragoza,Jiménez,5,14
Coahuila de Zaragoza,Juárez,5,15
Coahuila de Zaragoza,Lamadrid,5,16
Coahuila de Zaragoza,Matamoros,5,17
Coahuila de Zaragoza,Monclova,5,18
Coahuila de Zaragoza,Morelos,5,19
Coahuila de Zaragoza,Múzquiz,5,20
Coahuila de Zaragoza,Nadadores,5,21
Coahuila de Zaragoza,Nava,5,22
Coahuila de Zaragoza,Ocampo,5,23
Coahuila de Zaragoza,Parras,5,24
Coahuila de Zaragoza,Piedras Negras,5,25
Coahuila de Zaragoza,Progreso,5,26
Coahuila de Zaragoza,Ramos Arizpe,5,27
Coahuila de Zaragoza,Sabinas,5,28
Coahuila de Zaragoza,Sacramento,5,29
Coahuila de Zaragoza,Saltillo,5,30
Coahuila de Zaragoza,San Buenaventura,5,31
Coahuila de Zaragoza,San Juan de Sabinas,5,32
Coahuila de Zaragoza,San Pedro,5,33
Coahuila de Zaragoza,Sierra Mojada,5,34
Coahuila de Zaragoza,Torreón,5,35
Coahuila de Zaragoza,Viesca,5,36
Coahuila de Zaragoza,Villa Unión,5,37
Coahuila de Zaragoza,Zaragoza,5,38
Colima,Armería,6,1
Colima,Colima,6,2
Colima,Comala,6,3
Colima,Coquimatlán,6,4
Colima,Cuauhtémoc,6,5
Colima,Ixtlahuacán,6,6
Colima,Manzanillo,6,7
Colima,Minatitlán,6,8
Colima,Tecomán,6,9
Colima,Villa de Álvarez,6,10
Chiapas,Acacoyagua,7,1
Chiapas,Acala,7,2
Chiapas,Acapetahua,7,3
Chiapas,Altamirano,7,4
Chiapas,Amatán,7,5
Chiapas,Amatenango de la Frontera,7,6
Chiapas,Amatenango del Valle,7,7
Chiapas,Angel Albino Corzo,7,8
Chiapas,Arriaga,7,9
Chiapas,Bejucal de Ocampo,7,10
Chiapas,Bella Vista,7,11
Chiapas,Berriozábal,7,12
Chiapas,Bochil,7,13
Chiapas,El Bosque,7,14
Chiapas,Cacahoatán,7,15
Chiapas,Catazajá,7,16
Chiapas,Cintalapa,7,17
Chiapas,Coapilla,7,18
Chiapas,Comitán de Domínguez,7,19
Chiapas,La Concordia,7,20
Chiapas,Copainalá,7,21
Chiapas,Chalchihuitán,7,22
Chiapas,Chamula,7,23
Chiapas,Chanal,7,24
Chiapas,Chapultenango,7,25
Chiapas,Chenalhó,7,26
Chiapas,Chiapa de Corzo,7,27
Chiapas,Chiapilla,7,28
Chiapas,Chicoasén,7,29
Chiapas,Chicomuselo,7,30
Chiapas,Chilón,7,31
Chiapas,Escuintla,7,32
Chiapas,Francisco León,7,33
Chiapas,Frontera Comalapa,7,34
Chiapas,Frontera Hidalgo,7,35
Chiapas,La Grandeza,7,36
Chiapas,Huehuetán,7,37
Chiapas,Huixtán,7,38
Chiapas,Huitiupán,7,39
Chiapas,Huixtla,7,40
Chiapas,La Independencia,7,41
Chiapas,Ixhuatán,7,42
Chiapas,Ixtacomitán,7,43
Chiapas,Ixtapa,7,44
Chiapas,Ixtapangajoya,7,45
Chiapas,Jiquipilas,7,46
Chiapas,Jitotol,7,47
Chiapas,Juárez,7,48
Chiapas,Larráinzar,7,49
Chiapas,La Libertad,7,50
Chiapas,Mapastepec,7,51
Chiapas,Las Margaritas,7,52
Chiapas,Mazapa de Madero,7,53
Chiapas,Mazatán,7,54
Chiapas,Metapa,7,55
Chiapas,Mitontic,7,56
Chiapas,Motozintla,7,57
Chiapas,Nicolás Ruíz,7,58
Chiapas,Ocosingo,7,59
Chiapas,Ocotepec,7,60
Chiapas,Ocozocoautla de Espinosa,7,61
Chiapas,Ostuacán,7,62
Chiapas,Osumacinta,7,63
Chiapas,Oxchuc,7,64
Chiapas,Palenque,7,65
Chiapas,Pantelhó,7,66
Chiapas,Pantepec,7,67
Chiapas,Pichucalco,7,68
Chiapas,Pijijiapan,7,69
Chiapas,El Porvenir,7,70
Chiapas,Villa Comaltitlán,7,71
Chiapas,Pueblo Nuevo Solistahuacán,7,72
Chiapas,Rayón,7,73
Chiapas,Reforma,7,74
Chiapas,Las Rosas,7,75
Chiapas,Sabanilla,7,76
Chiapas,Salto de Agua,7,77
Chiapas,San Cristóbal de las Casas,7,78
Chiapas,San Fernando,7,79
Chiapas,Siltepec,7,80
Chiapas,Simojovel,7,81
Chiapas,Sitalá,7,82
Chiapas,Socoltenango,7,83
Chiapas,Solosuchiapa,7,84
Chiapas,Soyaló,7,85
Chiapas,Suchiapa,7,86
Chiapas,Suchiate,7,87
Chiapas,Sunuapa,7,88
Chiapas,Tapachula,7,89
Chiapas,Tapalapa,7,90
Chiapas,Tapilula,7,91
Chiapas,Tecpatán,7,92
Chiapas,Tenejapa,7,93
Chiapas,Teopisca,7,94
Chiapas,Tila,7,96
Chiapas,Tonalá,7,97
Chiapas,Totolapa,7,98
Chiapas,La Trinitaria,7,99
Chiapas,Tumbalá,7,100
Chiapas,Tuxtla Gutiérrez,7,101
Chiapas,Tuxtla Chico,7,102
Chiapas,Tuzantán,7,103
Chiapas,Tzimol,7,104
Chiapas,Unión Juárez,7,105
Chiapas,Venustiano Carranza,7,106
Chiapas,Villa Corzo,7,107
Chiapas,Villaflores,7,108
Chiapas,Yajalón,7,109
Chiapas,San Lucas,7,110
Chiapas,Zinacantán,7,111
Chiapas,San Juan Cancuc,7,112
Chiapas,Aldama,7,113
Chiapas,Benemérito de las Américas,7,114
Chiapas,Maravilla Tenejapa,7,115
Chiapas,Marqués de Comillas,7,116
Chiapas,Montecristo de Guerrero,7,117
Chiapas,San Andrés Duraznal,7,118
Chiapas,Santiago el Pinar,7,119
Chiapas,Capitán Luis Ángel Vidal,7,120
Chiapas,Rincón Chamula San Pedro,7,121
Chiapas,El Parral,7,122
Chiapas,Emiliano Zapata,7,123
Chiapas,Mezcalapa,7,124
Chihuahua,Ahumada,8,1
Chihuahua,Aldama,8,2
Chihuahua,Allende,8,3
Chihuahua,Aquiles Serdán,8,4
Chihuahua,Ascensión,8,5
Chihuahua,Bachíniva,8,6
Chihuahua,Balleza,8,7
