_id,latitudnorte,longitudoeste
65be16a76925a840ab8f4629,"19°36'58""","-98°55'59"""
65be16a76925a840ab8f462d,"0°0'0""","0°0'0"""
65be16a76925a840ab8f462f,"25°43'25.27""","100°16'46.10"""
65be16a76925a840ab8f4631,"32°26'55""","-117°1'48"""
65be16a76925a840ab8f4633,"25°43'34.53""","100°18'0.26"""
65be16a76925a840ab8f4635,"28°25'42""","0.106°50'6"""
65be16a76925a840ab8f4637,"26°55'4""","105°41'43"""
65be16a76925a840ab8f4638,"28°16'31""","105°29'04"""
65be16a76925a840ab8f463b,"20°37'32""","100°26'16"""
65be16a76925a840ab8f463d,"0°0'0""","0°0'0"""
65be16a76925a840ab8f463e,"19°38'35""","-99°9'9"""
65be16a76925a840ab8f4643,"19°17'35""","99°35'0"""
65be16a76925a840ab8f4644,"0°0'0""","0°0'0"""
65be16a76925a840ab8f4645,"19°41'44""","101°12'44"""
65be16a76925a840ab8f4646,"19°18'6""","98°23'0"""
65be16a76925a840ab8f4647,"29°20'31""","101°0'2"""
65be16a76925a840ab8f4648,"20°34'26""","100°17'10"""
65be16a76925a840ab8f4649,"28°40'25""","-106°8'1"""
65be16a76925a840ab8f464a,"31°43'9""","106°27'50"""
65be16a76925a840ab8f464b,"26°2'27""","98°21'56"""
65be16a76925a840ab8f464c,"0°0'0""","0°0'0"""
65be16a76925a840ab8f4650,"29°20'28""","0.1°59'10"""
65be16a76925a840ab8f4651,"29°20'24""","0.1°58'42"""
65be16a76925a840ab8f4652,"29°20'22""","0.1°59'9"""
65be16a76925a840ab8f4653,"29°20'23""","100°59'7"""
65be16a76925a840ab8f4654,"29°20'25""","100°59'5"""
65be16a76925a840ab8f4655,"29°20'19""","-100°59'7"""
65be16a76925a840ab8f4656,"29°20'29""","-100°59'8"""
65be16a76925a840ab8f4657,"20°38'32""","103°22'47"""
65be16a76925a840ab8f465a,"20°7'12""","0.98°44'15"""
65be16a76925a840ab8f465b,"20°39'24""","100°23'18"""
65be16a76925a840ab8f465c,"20°55'57""","0.89°40'46"""
