nra,estado,municipio
AAA190000015,NUEVO LEON,San Nicolas de los Garza
AAA3107600009,YUCATAN,Tecoh
AAA3110200079,Yucatán,Valladolid
AAC0803700160,CHIHUAHUA,Juarez
AACL71200111,GUERRERO,Acapulco de Juarez
AADEA1500211,MEXICO,Acolman
AAE0901700310,Ciudad de México,Venustiano Carranza
AAF0901700150,DISTRITO FEDERAL,Venustiano Carranza
AAG1100900010,GUANAJUATO,Comonfort
AAG1403901019,JALISCO,Guadalajara
AAG1403901019,Jalisco,Guadalajara
AAG8A1403911,JALISCO,Guadalajara
AAGKE1700711,MORELOS,Cuernavaca
AAGL70100111,AGUASCALIENTES,Aguascalientes
AAGND0100511,AGUASCALIENTES,Jesus Maria
AAL1000700012,DURANGO,Gomez Palacio
AAL1512102650,MEXICO,Cuautitlan Izcalli
AAL1512102650,México,Cuautitlán Izcalli
AAL7Q1503311,MEXICO,Ecatepec de Morelos
AAL7Q1503321,MEXICO,Ecatepec de Morelos
AAL7Q1503321,México,Ecatepec de Morelos
AAL7Q1510411,MEXICO,Tlalnepantla de Baz
AAL7Q1510911,MEXICO,Tultitlan
AAL7Q1510911,México,Tultitlán
AAM1103700017,GUANAJUATO,Silao
AAM1103700017,Guanajuato,Silao de la Victoria
AAM1103700081,GUANAJUATO,Silao
AAM1503900040,MEXICO,Ixtapaluca
AAM1503900040,México,Ixtapaluca
AAM2402800314,SAN LUIS POTOSI,San Luis Potosi
AAM2402800314,San Luis Potosí,San Luis Potosí
AAM2603000075,SONORA,Hermosillo
AAM2603000075,Sonora,Hermosillo
AAM520803711,CHIHUAHUA,Juarez
AAM5E0901411,DISTRITO FEDERAL,Benito Juarez
AAM7X2201411,QUERETARO,Queretaro
AAM8V0800511,CHIHUAHUA,Ascension
AAM8V0803711,CHIHUAHUA,Juarez
AAM8V0803712,CHIHUAHUA,Juarez
AAM8V0803715,CHIHUAHUA,Juarez
AAM8V0805012,CHIHUAHUA,Nuevo Casas Grandes
AAM952603012,SONORA,Hermosillo
AAM9I2803211,TAMAULIPAS,Reynosa
AAM9M1103711,GUANAJUATO,Silao
AAM9M1103711,Guanajuato,Silao de la Victoria
AAMEA1503911,MEXICO,Ixtapaluca
AAMKE2500111,SINALOA,Ahome
AAMRP1103711,GUANAJUATO,Silao
AAN7L1510611,MEXICO,Toluca
AAN8Z1503311,MEXICO,Ecatepec de Morelos
AANEE0900711,DISTRITO FEDERAL,Iztapalapa
AAO1409800253,JALISCO,Tlaquepaque
AAO1409800253,Jalisco,San Pedro Tlaquepaque
AARKE1901911,NUEVO LEON,Monterrey
AARKE1901911,NUEVO LEON,San Pedro Garza Garcia
AARKE1901911,Nuevo León,San Pedro Garza García
AAT1412000676,JALISCO,Zapopan
AAU1901900044,Nuevo León,San Pedro Garza García
AAU1903900165,NUEVO LEON,Monterrey
AAU2112800014,PUEBLA,San Jose Chiapa
AAU2112800014,Puebla,San José Chiapa
AAU5U1904611,NUEVO LEON,San Nicolas de los Garza
AAUEE1901911,NUEVO LEON,San Pedro Garza Garcia
AAUEE1901911,Nuevo León,San Pedro Garza García
AAY3104400003,YUCATAN,Kinchil
AAY3104400003,Yucatán,Kinchil
AAZEE0900211,Ciudad de México,Azcapotzalco
AAZEE0900211,DISTRITO FEDERAL,Azcapotzalco
ABA1605200103,MICHOACAN,Lazaro Cardenas
ABA1605200103,Michoacán de Ocampo,Lázaro Cárdenas
ABA1V0200411,BAJA CALIFORNIA,Tijuana
ABA5N1605311,MICHOACAN,Lazaro Cardenas
ABA621000711,DURANGO,Gomez Palacio
ABA621000711,Durango,Gómez Palacio
ABA6E1505111,MEXICO,Lerma
ABC0200402352,Baja California,Tijuana
ABC8A0200411,BAJA CALIFORNIA,Tijuana
ABCEA0200411,BAJA CALIFORNIA,Tijuana
