estado,municipio,cve_ent
Aguascalientes,Tepezala,01
Aguascalientes,Tepezala,01
Aguascalientes,Tepezala,01
Aguascalientes,Tepezala,01
Aguascalientes,Tepezala,01
Aguascalientes,Tepezala,01
Aguascalientes,Tepezala,01
Aguascalientes,Tepezala,01
Aguascalientes,Tepezala,01
Aguascalientes,Tepezala,01
Aguascalientes,Tepezala,01
Aguascalientes,Tepezala,01
Aguascalientes,Tepezala,01
Aguascalientes,Tepezala,01
Baja California Sur,Mulege,03
Baja California Sur,Mulege,03
Baja California Sur,Mulege,03
Baja California Sur,Mulege,03
Baja California Sur,Mulege,03
Baja California Sur,Mulege,03
Baja California Sur,Mulege,03
Baja California Sur,Mulege,03
Baja California Sur,Mulege,03
Baja California Sur,Mulege,03
Baja California Sur,Mulege,03
Baja California Sur,Mulege,03
Baja California Sur,Mulege,03
Baja California Sur,Mulege,03
Baja California Sur,Mulege,03
Baja California Sur,Mulege,03
Baja California Sur,Mulege,03
Baja California Sur,Mulege,03
Baja California Sur,Mulege,03
Baja California Sur,Mulege,03
Baja California Sur,Mulege,03
Baja California Sur,Mulege,03
Baja California Sur,Mulege,03
Baja California Sur,Mulege,03
Baja California Sur,Mulege,03
Baja California Sur,Mulege,03
Baja California Sur,Mulege,03
Baja California Sur,Mulege,03
Baja California Sur,Mulege,03
Baja California Sur,Mulege,03
Baja California Sur,Mulege,03
Baja California Sur,Mulege,03
Baja California Sur,Mulege,03
Baja California Sur,Mulege,03
Baja California Sur,Mulege,03
Baja California Sur,Mulege,03
Baja California Sur,Mulege,03
Baja California Sur,Mulege,03
Baja California Sur,Mulege,03
Baja California Sur,Mulege,03
Baja California Sur,Mulege,03
Baja California Sur,Mulege,03
Baja California Sur,Mulege,03
Baja California Sur,Mulege,03
Baja California Sur,Mulege,03
Baja California Sur,Mulege,03
Baja California Sur,Mulege,03
Baja California Sur,Mulege,03
Baja California Sur,Mulege,03
Baja California Sur,Mulege,03
Baja California Sur,Mulege,03
Baja California Sur,Mulege,03
Baja California Sur,Mulege,03
Baja California Sur,Mulege,03
Baja California Sur,Mulege,03
Baja California Sur,Mulege,03
Baja California Sur,Mulege,03
Baja California Sur,Mulege,03
Baja California Sur,Mulege,03
Baja California Sur,Mulege,03
Baja California Sur,Mulege,03
Baja California Sur,Mulege,03
Baja California Sur,Mulege,03
Baja California Sur,Mulege,03
Baja California Sur,Mulege,03
Baja California Sur,Mulege,03
Baja California Sur,Mulege,03
Baja California Sur,Mulege,03
Baja California Sur,Mulege,03
Baja California Sur,Mulege,03
Baja California Sur,Mulege,03
Campeche,Escarcega,04
Campeche,Escarcega,04
Coahuila de Zaragoza,Muzquiz,05
