actprincipal	actsemarnat	anio	calle	claveambiental	codigopostal	colonia	descscian	entrec1	entrec2	establecimiento	estado	latitudnorte	localidad	longitudoeste	municipio	nra	numexterior	numinterior	parqueindustrial	scian	sector	subsector	utmx	utmy
GRANJA PORCICOLA	Atributo no considerado en este año	2022	Camino 7.0 KM AL NORESTE DEL KM 9+000 DE LA CARRETERA VALLADOLID-CHEMAX	1M	97794	Pueblo YALCOBA	Explotación de porcinos en granja	Atributo no considerado en este año	Atributo no considerado en este año	JUSTINA ANSELMA ABASCAL ALMADA,GRANJA PORCICOLA YALCOBA SITIO 3	Yucatán	"20°41'27"""	YALCOBA	"88°3'43"""	Valladolid	AAA3110200079	SN 	SN 		112211	Alimenticio y/o de consumo humano	Matanza de ganado y aves	389389.4295	2288304.2371
COMPRA VENTA DE AUTOMÓVILES NUEVOS Y USADOS CON SERVICIO AUTOMOTRIZ 	Atributo no considerado en este año	2022	Boulevard  PUERTO AEREO	KE	15700	Colonia FEDERAL	Comercio al por menor de automóviles y camionetas nuevos	Atributo no considerado en este año	Atributo no considerado en este año	AEROPLASA AEROPUERTO SA DE CV,	Ciudad de México	"19°25'30"""	VENUSTIANO CARRANZA	"99°5'35"""	Venustiano Carranza	AAE0901700310	141 	 		468111	Otros	Reparacion y mantenimiento automotriz	490224.004	2147859.0763
MAQUILA DE GALVANOPLASTIA	Atributo no considerado en este año	2022	Calle  10a	8A	44440	Colonia FERROCARRIL	Recubrimientos y terminados metálicos	Atributo no considerado en este año	Atributo no considerado en este año	JESUS ALVARADO GARCIA,TALLER DEL SR. JESUS ALVARADO	Jalisco	"20°38'33"""	GUADALAJARA	"103°20'57"""	Guadalajara	AAG1403901019	2083 	 		332810	Quimica	Galvanoplastia	671986.3405	2283474.4223
FUNDICIÓN Y LAMINACIÓN DE ALUMINIO	Atributo no considerado en este año	2022	Calle BENJAMIN FRANKLIN	LJ	54730	Colonia CONJUNTO IND. LA JOYA	Industria básica del aluminio	Atributo no considerado en este año	Atributo no considerado en este año	ALMEXA ALUMINIO SA DE CV,	México	"19°38'20"""	CUAUTITLAN IZCALLI	"99°12'24"""	Cuautitlán Izcalli	AAL1512102650	9 	 		331310	Cemento y Cal	Fundicion de chatarra de fierro, de aluminio, de bronce, de plomo y de otros materiales metalicos	478326.458	2171540.3221
TRANSFORMACIÓN DE ALUMINIO	Atributo no considerado en este año	2022	Calle VIA MORELOS	7Q	55400	Colonia STA. MARIA TULPETLAC	Industria básica del aluminio	Atributo no considerado en este año	Atributo no considerado en este año	ALMEXA ALUMINIO SA DE CV,	México	"19°33'24"""	ECATEPEC DE MORELOS	"99°3'0"""	Ecatepec de Morelos	AAL7Q1503321	347 	 		331310	Metalurgica (incluye la siderurgica)	Afinacion y laminacion de aluminio	494746.4971	2162444.2738
AFINACIÓN Y LAMINACION DE ALUMINIO (INCLUYE FUNDICION, EXTRUSION O ESTIRAJE)	Atributo no considerado en este año	2022	Calle AV. DOS	7Q	54900	Colonia FRACC. INDUSTRIAL CARTAGENA	Industria básica del aluminio	Atributo no considerado en este año	Atributo no considerado en este año	AZINSA ALUMINIO, S.A.P.I. DE C.V.,	México	"19°38'34"""	TULTITLAN DE MARIANO ESCOBEDO	"99°9'9"""	Tultitlán	AAL7Q1510911	4 	 		331310	Metalurgica (incluye la siderurgica)	Afinacion y laminacion de aluminio	483998.7598	2171967.9268
Fabricación de Partes de Aluminio para Motores y Transmisiones	Atributo no considerado en este año	2022	Avenida  DE MINERAL DE VALENCIANA	9M	36275		Moldeo por fundición de piezas metálicas no ferrosas	Atributo no considerado en este año	Atributo no considerado en este año	ASAHI ALUMINIUM MEXICO, S.A. DE C.V.,ASAHI	Guanajuato	"21°0'45"""	SILAO DE LA VICTORIA	"101°28'39"""	Silao de la Victoria	AAM1103700017	140 	 	PUERTO INTERIOR	331520	Automotriz	Produccion de otras auto partes	242476.2698	2325538.4811
LAMINACIÓN DE VARILLA Y SIMILARES	Atributo no considerado en este año	2022	Calle Seminario	7I	56576	Colonia SAN JUAN TLALPIZAHUAC	Complejos siderúrgicos	Atributo no considerado en este año	Atributo no considerado en este año	ACEROS AMERICA S.A. DE C.V.,	México	"19°19'51"""	IXTAPALUCA	"98°56'58"""	Ixtapaluca	AAM1503900040	3 	 		331111	Metalurgica (incluye la siderurgica)	Laminacion secundaria de hierro y acero	505305.747	2137438.0757
Manufactura y venta de partes automotrices	Atributo no considerado en este año	2022	Calle CIRCUITO SAN MIGUELITO PONIENTE	9I	78423	Colonia CIUDAD SATELITE	Fabricación de motores y sus partes para vehículos automotrices	Atributo no considerado en este año	Atributo no considerado en este año	AISAN AUTOPARTES MÉXICO, S.A. DE C.V.,	San Luis Potosí	"22°7'16"""	SAN LUIS POTOSI	"100°48'48"""	San Luis Potosí	AAM2402800314	106 	 		336310	Automotriz	Produccion de motores automotrices a gasolina y diesel	312936.8919	2447357.0094
Producción, Manufactura y Ensamble de Productos de Interconexion y de todas clases de Arti	Atributo no considerado en este año	2022	Boulevard ANTONIO QUIROGA	91	83210		Fabricación de componentes electrónicos	Atributo no considerado en este año	Atributo no considerado en este año	AMP AMERMEX SA DE CV,AMP AMERMEX, S.A. DE C.V. PLANTA QUIROGA	Sonora	"29°5'53"""	HERMOSILLO	"111°1'24"""	Hermosillo	AAM2603000075	22 	 	EL LLANO	334410	Equipos y articulos electronicos, electricos y domesticos	Produccion de aparatos, equipos y/o accesorios electricos y/o electronicos	497722.1676	3218864.3483
