	cas	sustancia	grupo	iarc
0	76-13-1	1,1,2-Tricloro-1.2.2-Trifluoroetano (CFC-113)	Sustancias Agotadoras de la Capa de Ozono	Ejemplo 0
1	75-01-4	Cloruro de vinilo	Sustancias Organohalogenadas	Ejemplo 1
2	PFCs	Perfluorocarbonos	Gases de Efecto Invernadero (GEI)	Ejemplo 2
3	HFCs	Hidrofluorocarbonos	Gases de Efecto Invernadero (GEI)	Ejemplo 3
4	87-68-3	Hexacloro-1,3-Butadieno	Sustancias Organohalogenadas	Ejemplo 4
5	S/C1	Arsénico (compuestos)	Metales y sus Compuestos	Ejemplo 5
6	Pb	Plomo (compuestos)	Metales y sus Compuestos	Ejemplo 6
7	1717-00-6	1,1-Dicloro-1-Fluoroetano (HCFC-141b)	Sustancias Agotadoras de la Capa de Ozono	Ejemplo 7
8	58-89-9	Lindano (HCH)	Plaguicidas	Ejemplo 8
9	7440-47-3	Cromo (polvos respirables, humos o vapores)	Metales y sus Compuestos	Ejemplo 9
10	83-32-9	Acenafteno		Ejemplo 10
11	108-90-7	Clorobenceno (monoclorobenceno)	Sustancias Organohalogenadas	Ejemplo 11
12	124-38-9	Bióxido de carbono	Gases de Efecto Invernadero (GEI)	Ejemplo 12
13	138261-41-3	Imidacloprid		Ejemplo 13
14	74-83-9	Bromuro de metilo	Sustancias Agotadoras de la Capa de Ozono	Ejemplo 14
15	87-86-5	Pentaclorofenol	Sustancias Organohalogenadas	Ejemplo 15
16	101-14-4	4,4'metileno-bis (2-cloroanilina) (MBOCA)		Ejemplo 16
17	71-55-6	1,1,1-Tricloroetano	Sustancias Agotadoras de la Capa de Ozono	Ejemplo 17
18	5124-30-1	1,1-metileno bis(4-isocianato de ciclohexano)	Sustancias Agotadoras de la Capa de Ozono	Ejemplo 18
19	76-15-3	Cloropentafluoroetano (CFC-115)	Sustancias Agotadoras de la Capa de Ozono	Ejemplo 19
20	S/C4	Mercurio (compuestos)	Metales y sus Compuestos	Ejemplo 20
21	88-06-2	2,4,6-Triclorofenol	Sustancias Organohalogenadas	Ejemplo 21
