	cas	sustancia	grupo	iarc	silentsprint
0	76-13-1	1,1,2-Tricloro-1.2.2-Trifluoroetano (CFC-113)	Sustancias Agotadoras de la Capa de Ozono	No aparece en el listado	No aparece en el listado
1	75-01-4	Cloruro de vinilo	Sustancias Organohalogenadas	1	Industrial chemicals
2	PFCs	Perfluorocarbonos	Gases de Efecto Invernadero (GEI)	No aparece en el listado	No aparece en el listado
3	HFCs	Hidrofluorocarbonos	Gases de Efecto Invernadero (GEI)	No aparece en el listado	No aparece en el listado
4	87-68-3	Hexacloro-1,3-Butadieno	Sustancias Organohalogenadas	3	No aparece en el listado
5	S/C1	Arsénico (compuestos)	Metales y sus Compuestos	No aparece en el listado	No aparece en el listado
6	Pb	Plomo (compuestos)	Metales y sus Compuestos	No aparece en el listado	No aparece en el listado
7	1717-00-6	1,1-Dicloro-1-Fluoroetano (HCFC-141b)	Sustancias Agotadoras de la Capa de Ozono	No aparece en el listado	No aparece en el listado
8	58-89-9	Lindano (HCH)	Plaguicidas	1	No aparece en el listado
9	7440-47-3	Cromo (polvos respirables, humos o vapores)	Metales y sus Compuestos	3	No aparece en el listado
10	83-32-9	Acenafteno		3	No aparece en el listado
11	108-90-7	Clorobenceno (monoclorobenceno)	Sustancias Organohalogenadas	No aparece en el listado	No aparece en el listado
12	124-38-9	Bióxido de carbono	Gases de Efecto Invernadero (GEI)	No aparece en el listado	No aparece en el listado
13	138261-41-3	Imidacloprid		No aparece en el listado	No aparece en el listado
14	74-83-9	Bromuro de metilo	Sustancias Agotadoras de la Capa de Ozono	3	No aparece en el listado
15	87-86-5	Pentaclorofenol	Sustancias Organohalogenadas	1	No aparece en el listado
16	101-14-4	4,4'metileno-bis (2-cloroanilina) (MBOCA)		1	Industrial chemicals
17	71-55-6	1,1,1-Tricloroetano	Sustancias Agotadoras de la Capa de Ozono	2A	No aparece en el listado
18	5124-30-1	1,1-metileno bis(4-isocianato de ciclohexano)	Sustancias Agotadoras de la Capa de Ozono	No aparece en el listado	No aparece en el listado
19	76-15-3	Cloropentafluoroetano (CFC-115)	Sustancias Agotadoras de la Capa de Ozono	No aparece en el listado	No aparece en el listado
20	S/C4	Mercurio (compuestos)	Metales y sus Compuestos	No aparece en el listado	No aparece en el listado
21	88-06-2	2,4,6-Triclorofenol	Sustancias Organohalogenadas	2B	No aparece en el listado
22	26628-22-8	Azida de sodio		No aparece en el listado	No aparece en el listado
23	100-42-5	Estireno (fenil etileno)	Hidrocarburos Aromáticos y Alifáticos	2A	Industrial chemicals
24	121-14-2	2,4-Dinitrotolueno	Hidrocarburos Aromáticos y Alifáticos	2B	Industrial chemicals
25	Ni	Níquel (compuestos)	Metales y sus Compuestos	No aparece en el listado	No aparece en el listado
26	95-95-4	2,4,5-Triclorofenol	Sustancias Organohalogenadas	No aparece en el listado	No aparece en el listado
27	298-00-0	Metil paration	Plaguicidas	3	No aparece en el listado
28	62-75-9	Nitrosodimetilamina	Hidrocarburos Aromáticos y Alifáticos	2A	No aparece en el listado
29	6923-22-4	Monocrotofos		No aparece en el listado	No aparece en el listado
30	S/C3	Cromo (compuestos)	Metales y sus Compuestos	No aparece en el listado	No aparece en el listado
31	S/C11	Furanos	Compuestos Orgánicos Persistentes (COP)	No aparece en el listado	No aparece en el listado
32	S/C5	Níquel (compuestos)	Metales y sus Compuestos	No aparece en el listado	No aparece en el listado
33	58-90-2	2,3,4,6-Tetraclorofenol	Sustancias Organohalogenadas	No aparece en el listado	No aparece en el listado
34	S/C10	Dioxinas	Compuestos Orgánicos Persistentes (COP)	No aparece en el listado	No aparece en el listado
35	118-52-5	1,3-dicloro-5,5-dimetilhidantoína		No aparece en el listado	No aparece en el listado
36	79-00-5	1,1,2-Tricloroetano	Sustancias Organohalogenadas	3	No aparece en el listado
37	Hg	Mercurio (compuestos)	Metales y sus Compuestos	No aparece en el listado	No aparece en el listado
38	2837-89-0	2-Cloro-1,1,2,2-Tetrafluoroetano (HCFC-124)	Sustancias Agotadoras de la Capa de Ozono	No aparece en el listado	No aparece en el listado
39	74-82-8	Metano	Gases de Efecto Invernadero (GEI)	No aparece en el listado	No aparece en el listado
40	72-20-8	Endrin	Compuestos Orgánicos Persistentes (COP)	3	No aparece en el listado
41	92-52-4	Bifenilo	Hidrocarburos Aromáticos y Alifáticos	No aparece en el listado	No aparece en el listado
42	95-50-1	1,2-Diclorobenceno	Sustancias Organohalogenadas	3	No aparece en el listado
43	55-56-1	Clorhexidina		No aparece en el listado	No aparece en el listado
44	105-39-5	Cloroacetato de etilo		No aparece en el listado	No aparece en el listado
45	7439-97-6	Mercurio	Metales y sus Compuestos	3	No aparece en el listado
46	107-13-1	Acrilonitrilo	Otras sustancias RETC	2B	Industrial chemicals
47	PCDDs	Dioxinas	Compuestos Orgánicos Persistentes (COP)	No aparece en el listado	No aparece en el listado
48	56-23-5	Tetracloruro de carbono	Sustancias Agotadoras de la Capa de Ozono	2B	Chlorinated solvent
49	76-14-2	Diclorotetrafluoroetano (CFC-114)	Sustancias Agotadoras de la Capa de Ozono	No aparece en el listado	No aparece en el listado
50	10049-04-4	Dioxido de cloro	Otras sustancias RETC	No aparece en el listado	No aparece en el listado
51	207-08-9	Benzo(k)fluoranteno		2B	No aparece en el listado
52	72-55-9	Diclorodifenildicloroetileno (DDE)		No aparece en el listado	No aparece en el listado
53	108-95-2	Fenol	Hidrocarburos Aromáticos y Alifáticos	3	No aparece en el listado
54	75-25-2	Bromoformo	Sustancias Organohalogenadas	3	No aparece en el listado
55	75-45-6	Clorodifluorometano (HCFC-22)	Sustancias Agotadoras de la Capa de Ozono	3	No aparece en el listado
56	302-01-2	Hidracina	Otras sustancias RETC	2A	Industrial chemicals
57	110-80-5	2-Etoxietanol (Termonoetilico de etilenglicol)	Otras sustancias RETC	No aparece en el listado	No aparece en el listado
58	62-53-3	Anilina	Hidrocarburos Aromáticos y Alifáticos	2A	No aparece en el listado
59	As	Arsénico (compuestos)	Metales y sus Compuestos	No aparece en el listado	No aparece en el listado
60	56-55-3	Benzo(a)antraceno		2B	No aparece en el listado
61	7758-98-7	Sulfato de cobre		No aparece en el listado	No aparece en el listado
62	75-69-4	Triclorofluoroetano (CFC-11)	Sustancias Agotadoras de la Capa de Ozono	No aparece en el listado	No aparece en el listado
63	1332-21-4	Asbesto	Otras sustancias RETC	1	No aparece en el listado
64	7761-88-8	Nitrato de plata		No aparece en el listado	No aparece en el listado
65	115-29-7	Endosulfan	Plaguicidas	No aparece en el listado	No aparece en el listado
66	50-32-8	Benzo(a)pireno		1	Product of combustion
67	10102-44-0	Bióxido de nitrógeno	Gases de Efecto Invernadero (GEI)	No aparece en el listado	No aparece en el listado
