cas	sustancia	grupo	iarc
76-13-1	1,1,2-Tricloro-1.2.2-Trifluoroetano (CFC-113)	Sustancias Agotadoras de la Capa de Ozono	No Considerado
75-01-4	Cloruro de vinilo	Sustancias Organohalogenadas	No Considerado
PFCs	Perfluorocarbonos	Gases de Efecto Invernadero (GEI)	No Considerado
HFCs	Hidrofluorocarbonos	Gases de Efecto Invernadero (GEI)	No Considerado
87-68-3	Hexacloro-1,3-Butadieno	Sustancias Organohalogenadas	No Considerado
S/C1	Arsénico (compuestos)	Metales y sus Compuestos	No Considerado
Pb	Plomo (compuestos)	Metales y sus Compuestos	No Considerado
1717-00-6	1,1-Dicloro-1-Fluoroetano (HCFC-141b)	Sustancias Agotadoras de la Capa de Ozono	No Considerado
58-89-9	Lindano (HCH)	Plaguicidas	No Considerado
7440-47-3	Cromo (polvos respirables, humos o vapores)	Metales y sus Compuestos	No Considerado
83-32-9	Acenafteno		No Considerado
108-90-7	Clorobenceno (monoclorobenceno)	Sustancias Organohalogenadas	No Considerado
124-38-9	Bióxido de carbono	Gases de Efecto Invernadero (GEI)	No Considerado
138261-41-3	Imidacloprid		No Considerado
74-83-9	Bromuro de metilo	Sustancias Agotadoras de la Capa de Ozono	No Considerado
87-86-5	Pentaclorofenol	Sustancias Organohalogenadas	No Considerado
101-14-4	4,4'metileno-bis (2-cloroanilina) (MBOCA)		No Considerado
71-55-6	1,1,1-Tricloroetano	Sustancias Agotadoras de la Capa de Ozono	No Considerado
5124-30-1	1,1-metileno bis(4-isocianato de ciclohexano)	Sustancias Agotadoras de la Capa de Ozono	No Considerado
76-15-3	Cloropentafluoroetano (CFC-115)	Sustancias Agotadoras de la Capa de Ozono	No Considerado
S/C4	Mercurio (compuestos)	Metales y sus Compuestos	No Considerado
88-06-2	2,4,6-Triclorofenol	Sustancias Organohalogenadas	No Considerado
26628-22-8	Azida de sodio		No Considerado
100-42-5	Estireno (fenil etileno)	Hidrocarburos Aromáticos y Alifáticos	No Considerado
121-14-2	2,4-Dinitrotolueno	Hidrocarburos Aromáticos y Alifáticos	No Considerado
Ni	Níquel (compuestos)	Metales y sus Compuestos	No Considerado
95-95-4	2,4,5-Triclorofenol	Sustancias Organohalogenadas	No Considerado
298-00-0	Metil paration	Plaguicidas	No Considerado
62-75-9	Nitrosodimetilamina	Hidrocarburos Aromáticos y Alifáticos	No Considerado
6923-22-4	Monocrotofos		No Considerado
S/C3	Cromo (compuestos)	Metales y sus Compuestos	No Considerado
S/C11	Furanos	Compuestos Orgánicos Persistentes (COP)	No Considerado
S/C5	Níquel (compuestos)	Metales y sus Compuestos	No Considerado
58-90-2	2,3,4,6-Tetraclorofenol	Sustancias Organohalogenadas	No Considerado
S/C10	Dioxinas	Compuestos Orgánicos Persistentes (COP)	No Considerado
118-52-5	1,3-dicloro-5,5-dimetilhidantoína		No Considerado
79-00-5	1,1,2-Tricloroetano	Sustancias Organohalogenadas	No Considerado
Hg	Mercurio (compuestos)	Metales y sus Compuestos	No Considerado
2837-89-0	2-Cloro-1,1,2,2-Tetrafluoroetano (HCFC-124)	Sustancias Agotadoras de la Capa de Ozono	No Considerado
74-82-8	Metano	Gases de Efecto Invernadero (GEI)	No Considerado
72-20-8	Endrin	Compuestos Orgánicos Persistentes (COP)	No Considerado
92-52-4	Bifenilo	Hidrocarburos Aromáticos y Alifáticos	No Considerado
