Aldrin,309-00-2,Compuestos Orgánicos Persistentes (COP)
Bifenilos policlorados,1336-36-3,Compuestos Orgánicos Persistentes (COP)
Clordano,57-74-9,Compuestos Orgánicos Persistentes (COP)
DDT,50-29-3,Compuestos Orgánicos Persistentes (COP)
Dieldrin,60-57-1,Compuestos Orgánicos Persistentes (COP)
Endrin,72-02-8,Compuestos Orgánicos Persistentes (COP)
Heptacloro,76-44-8,Compuestos Orgánicos Persistentes (COP)
Hexaclorobenceno,118-74-1,Compuestos Orgánicos Persistentes (COP)
Mirex,2385-85-5,Compuestos Orgánicos Persistentes (COP)
Toxafeno,8001-35-2,Compuestos Orgánicos Persistentes (COP)
Dioxinas,SC10,Compuestos Orgánicos Persistentes (COP)
Furanos,SC11,Compuestos Orgánicos Persistentes (COP)
,,
Arsénico,7440-38-2,Metales y sus Compuestos
Arsénico (compuestos),S/C1,Metales y sus Compuestos
Cadmio,7440-43-9,Metales y sus Compuestos
Cadmio (Compuestos),S/C2,Metales y sus Compuestos
Cromo (Compuestos),7440-47-3,Metales y sus Compuestos
Mercurio,7439-97-6,Metales y sus Compuestos
Mercurio (Compuestos),S/C4,Metales y sus Compuestos
Niquel (Compuestos),7440-02-0,Metales y sus Compuestos
Plomo (Compuestos),S/C6,Metales y sus Compuestos
