cas	sustancia	grupo	iarc
76-13-1	1,1,2-Tricloro-1.2.2-Trifluoroetano (CFC-113)	Sustancias Agotadoras de la Capa de Ozono	NC
75-01-4	Cloruro de vinilo	Sustancias Organohalogenadas	1
PFCs	Perfluorocarbonos	Gases de Efecto Invernadero (GEI)	NC
HFCs	Hidrofluorocarbonos	Gases de Efecto Invernadero (GEI)	NC
87-68-3	Hexacloro-1,3-Butadieno	Sustancias Organohalogenadas	3
S/C1	Arsénico (compuestos)	Metales y sus Compuestos	NC
Pb	Plomo (compuestos)	Metales y sus Compuestos	NC
1717-00-6	1,1-Dicloro-1-Fluoroetano (HCFC-141b)	Sustancias Agotadoras de la Capa de Ozono	NC
58-89-9	Lindano (HCH)	Plaguicidas	1
7440-47-3	Cromo (polvos respirables, humos o vapores)	Metales y sus Compuestos	3
83-32-9	Acenafteno		3
108-90-7	Clorobenceno (monoclorobenceno)	Sustancias Organohalogenadas	NC
124-38-9	Bióxido de carbono	Gases de Efecto Invernadero (GEI)	NC
138261-41-3	Imidacloprid		NC
74-83-9	Bromuro de metilo	Sustancias Agotadoras de la Capa de Ozono	3
87-86-5	Pentaclorofenol	Sustancias Organohalogenadas	1
101-14-4	4,4'metileno-bis (2-cloroanilina) (MBOCA)		1
71-55-6	1,1,1-Tricloroetano	Sustancias Agotadoras de la Capa de Ozono	2A
5124-30-1	1,1-metileno bis(4-isocianato de ciclohexano)	Sustancias Agotadoras de la Capa de Ozono	NC
76-15-3	Cloropentafluoroetano (CFC-115)	Sustancias Agotadoras de la Capa de Ozono	NC
S/C4	Mercurio (compuestos)	Metales y sus Compuestos	NC
88-06-2	2,4,6-Triclorofenol	Sustancias Organohalogenadas	2B
26628-22-8	Azida de sodio		NC
100-42-5	Estireno (fenil etileno)	Hidrocarburos Aromáticos y Alifáticos	2A
121-14-2	2,4-Dinitrotolueno	Hidrocarburos Aromáticos y Alifáticos	2B
Ni	Níquel (compuestos)	Metales y sus Compuestos	NC
95-95-4	2,4,5-Triclorofenol	Sustancias Organohalogenadas	NC
298-00-0	Metil paration	Plaguicidas	3
62-75-9	Nitrosodimetilamina	Hidrocarburos Aromáticos y Alifáticos	2A
6923-22-4	Monocrotofos		NC
S/C3	Cromo (compuestos)	Metales y sus Compuestos	NC
S/C11	Furanos	Compuestos Orgánicos Persistentes (COP)	NC
S/C5	Níquel (compuestos)	Metales y sus Compuestos	NC
58-90-2	2,3,4,6-Tetraclorofenol	Sustancias Organohalogenadas	NC
S/C10	Dioxinas	Compuestos Orgánicos Persistentes (COP)	NC
118-52-5	1,3-dicloro-5,5-dimetilhidantoína		NC
79-00-5	1,1,2-Tricloroetano	Sustancias Organohalogenadas	3
Hg	Mercurio (compuestos)	Metales y sus Compuestos	NC
2837-89-0	2-Cloro-1,1,2,2-Tetrafluoroetano (HCFC-124)	Sustancias Agotadoras de la Capa de Ozono	NC
