_id,additional_information,agent,anio_registro,cas,group,volume,year
65c51084da5b75bbd86e6c14,,"Aloe vera, whole leaf extract",2023,,2B,108,2016
65c51084da5b75bbd86e6c15,,Clonorchis sinensis (infection with),2023,,1,"61, 100B",2012
65c51084da5b75bbd86e6c16,,"Fusarium graminearum, F. culmorum, and F. crookwellense, toxins derived from (zearalenone, deoxynivalenol, nivalenol, and fusarenone X)",2023,,3,"Sup 7, 56",1993
65c51084da5b75bbd86e6c17,,"Fusarium sporotrichioides, toxins derived from (T-2 toxin)",2023,,3,56,1993
65c51084da5b75bbd86e6c18,,Helicobacter pylori (infection with),2023,,1,"61, 100B",2012
65c51084da5b75bbd86e6c19,,Microcystis extracts,2023,,3,94,2010
65c51084da5b75bbd86e6c1a,,Opisthorchis felineus (infection with),2023,,3,61,1994
65c51084da5b75bbd86e6c1b,,Opisthorchis viverrini (infection with),2023,,1,"61, 100B",2012
65c51084da5b75bbd86e6c1c,,Schistosoma haematobium (infection with),2023,,1,"61, 100B",2012
65c51084da5b75bbd86e6c1d,,Schistosoma japonicum (infection with),2023,,2B,61,1994
65c51084da5b75bbd86e6c1e,,Schistosoma mansoni (infection with),2023,,3,61,1994
65c51084da5b75bbd86e6c1f,,"Acheson process, occupational exposure associated with",2023,,1,111,2017
65c51084da5b75bbd86e6c20,,"Acid mists, strong inorganic",2023,,1,"54, 100F",2012
65c51084da5b75bbd86e6c21,,Acrylic fibres,2023,,3,"19, Sup 7",1987
65c51084da5b75bbd86e6c22,,Acrylonitrile-butadiene-styrene copolymers,2023,,3,"19, Sup 7",1987
65c51084da5b75bbd86e6c23,,Alcoholic beverages,2023,,1,"44, 96, 100E",2012
65c51084da5b75bbd86e6c24,,Alpha particles (see Radionuclides),2023,,,,
65c51084da5b75bbd86e6c25,,Aluminium production,2023,,1,"34, Sup 7, 92, 100F",2012
65c51084da5b75bbd86e6c26,,"Anaesthetics, volatile",2023,,3,"11, Sup 7",1987
65c51084da5b75bbd86e6c27,,Androgenic (anabolic) steroids,2023,,2A,Sup 7,1987
65c51084da5b75bbd86e6c28,,Areca nut,2023,,1,"85, 100E",2012
65c51084da5b75bbd86e6c29,,Arecoline,2023,,2B,128,2021 online
65c51084da5b75bbd86e6c2a,,"Art glass, glass containers and pressed ware (manufacture of)",2023,,2A,58,1993
65c51084da5b75bbd86e6c2b,,Auramine production,2023,,1,"Sup 7, 99, 100F",2012
65c51084da5b75bbd86e6c2c,,BK polyomavirus (BKV),2023,,2B,104,2014
65c51084da5b75bbd86e6c2d,NB Overall evaluation upgraded to Group 1 based on mechanistic and other relevant data,"Benzidine, dyes metabolized to",2023,,1,"99, 100F",2012
65c51084da5b75bbd86e6c2e,,Beta particles (see Radionuclides),2023,,,,
65c51084da5b75bbd86e6c2f,,Betel quid with tobacco,2023,,1,"Sup 7, 85, 100E",2012
65c51084da5b75bbd86e6c30,,Betel quid without tobacco,2023,,1,"Sup 7, 85, 100E",2012
65c51084da5b75bbd86e6c31,,"Biomass fuel (primarily wood), indoor emissions from household combustion of",2023,,2A,95,2010
65c51084da5b75bbd86e6c32,,Bisulfites,2023,,3,54,1992
65c51084da5b75bbd86e6c33,,"Bitumens, occupational exposure to hard bitumens and their emissions during mastic asphalt work",2023,,2B,103,2013
65c51084da5b75bbd86e6c34,,"Boot and shoe manufacture and repair (see Leather dust, Benzene)",2023,,,"25, Sup 7",1987
65c51084da5b75bbd86e6c35,,Bracken fern,2023,,2B,"40, Sup 7",1987
65c51084da5b75bbd86e6c36,,Calcium carbide production,2023,,3,92,2010
65c51084da5b75bbd86e6c37,,Carbon electrode manufacture,2023,,2A,92,2010
65c51084da5b75bbd86e6c38,,Carpentry and joinery,2023,,2B,"25, Sup 7",1987
65c51084da5b75bbd86e6c39,,Ceramic implants,2023,,3,74,1999
65c51084da5b75bbd86e6c3a,,Chimney sweeping (see Soot),2023,,,92,2010
65c51084da5b75bbd86e6c3b,,Chlorinated drinking-water,2023,,3,52,1991
65c51084da5b75bbd86e6c3c,,Chlorinated paraffins of average carbon chain length C12 and average degree of chlorination approximately 60%,2023,,2B,48,1990
65c51084da5b75bbd86e6c3d,,Chlorophenols (see Polychlorophenols),2023,,,,
65c51084da5b75bbd86e6c3e,,Chlorophenoxy herbicides,2023,,2B,"41, Sup 7",1987
65c51084da5b75bbd86e6c3f,,Coal dust,2023,,3,68,1997
65c51084da5b75bbd86e6c40,,Coal gasification,2023,,1,"Sup 7, 92, 100F",2012
