Nombre común	Número CAS	MPU	Emision/Transferencia
1,1,2,2-tetracloroetano	79-34-5	5000	500
1,1,2-tricloroetano	79-00-5	5000	1000
1,1-dicloro-1-fluoroetano (HCFC-141b)	1717-00-6	5000	1000
1,1'-dimetil-4,4'-bipiridinio	4685-14-72	500	100
1,1-metileno bis(4-isocianato de ciclohexano)	5124-30-1	5000	100
1,2,4-triclorobenceno	120-82-1	5000	1000
1,2,5,6,9,10-hexabromociclodecano	3194-55-6	5000	1000
1,2-diclorobenceno	95-50-1	5000	1000
1,2-dicloroetano	107-06-2	5000	1000
1,2-dicloropropano	78-87-5	5000	1000
1,3-dicloro-1,1,2,2,3-pentafluoropropano (HCFC-225cb)	507-55-1	2500	1000
1,3-dicloro-5,5-dimetilhidantoína	118-52-5	5000	500
1,4-diclorobenceno	106-46-7	5000	500
1-cloro-1,1-difluoretano (HCFC-142b)	75-68-3	5000	1000
2,2,4-trimetilhexametileno diisocianato	15646-96-5	5000	100
2,2-dicloro-1,1,1-trifluoroetano (HCFC-123)	306-83-2	5000	1000
2,3,3-trimetil-3H-indol	1640-39-7	5000	1000
2,3,4,6-tetraclorofenol	58-90-2	5000	1000
2,4,4-trimetilhexametileno diisocianato	16938-22-0	5000	100
2,4,5-triclorofenol	95-95-42	500	1000
2,4,6-tricloro-1,3,5-triazina	108-77-0	5000	500
2,4,6-triclorofenol	88-06-2	2500	1000
2,4-dinitrotolueno	121-14-2	5000	100
2-cloro-1,1,1,2-tetrafluoroetano (HCFC-124)	2837-89-0	5000	1000
2-etoxietanol (Éter monoetílico del etilenglicol)	110-80-5	2500	100
2-fluoroacetamida	640-19-7	5000	500
2-nitropropano	79-46-9	2500	100
3,3-dicloro-1,1,1,2,2-pentafluoropropano (HCFC-225ca)	422-56-0	2500	1000
4,4'metileno-bis (2-cloroanilina) (MBOCA)	101-14-4	2500	500
4,6-dinitro-o-cresol	534-52-1	2500	100
4-alilveratrol	93-15-2	5000	500
4-amino difenilo	92-67-1	2500	500
4-dimetilaminoazobenceno	60-11-7	5000	500
4-nitrodifenilo	92-93-3	2500	500
Acenafteno	83-32-9	5000	1000
Acetaldehído	75-07-0	2500	100
Acetato de vinilo	108-05-4	5000	500
Ácido (4-cloro-2-metilfenoxi)acético	94-74-6	2500	500
Ácido 2,4 diclorofenoxiacético (2, 4-D)	94-75-72	500	100
Ácido dicloroacético	79-43-6	5000	1000
Ácido sulfhídrico	7783-06-4	2500	500
